»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/12/2025 - 15:38:41
Configured:	06/12/25 03:03:03 PM
Executed:	06/12/25 03:38:15 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1570
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0401	-1.432972	0.000327	3.274677	1.109490	0.026684
   2	5.0000e-04	0.0561	-1.299553	0.000327	3.274677	1.109490	0.026684
   3	1.0000e-03	0.1203	-1.369684	-0.000172	-1.721304	-0.583194	-0.014026
   4	1.5000e-03	0.1460	-1.277744	0.000226	2.256588	0.764553	0.018388
   5	2.0000e-03	0.2069	-1.137483	0.000344	3.442609	1.166387	0.028052
   6	2.5000e-03	0.2214	-0.875777	0.000642	6.423404	2.176308	0.052341
   7	3.0000e-03	0.2743	-0.844132	0.000078	0.776686	0.263148	0.006329
   8	3.5000e-03	0.3160	-0.890743	-0.000114	-1.144038	-0.387610	-0.009322
   9	4.0000e-03	0.3674	-0.679497	0.000518	5.184905	1.756693	0.042249
  10	4.5000e-03	0.4107	-0.526407	0.000376	3.757481	1.273069	0.030618
  11	5.0000e-03	0.4444	-0.366475	0.000393	3.925414	1.329966	0.031986
  12	5.5000e-03	0.4652	-0.222365	0.000354	3.537071	1.198392	0.028822
  13	6.0000e-03	0.5310	-0.044473	0.000437	4.366235	1.479321	0.035578
  14	6.5000e-03	0.5519	0.022237	0.000164	1.637338	0.554745	0.013342
  15	7.0000e-03	0.5888	0.219372	0.000484	4.838545	1.639343	0.039427
  16	7.5000e-03	0.6593	0.216806	-0.000006	-0.062975	-0.021336	-0.000513
  17	8.0000e-03	0.6770	0.279239	0.000153	1.532381	0.519185	0.012487
  18	8.5000e-03	0.7299	0.566603	0.000705	7.053150	2.389672	0.057473
  19	9.0000e-03	0.7460	0.776140	0.000514	5.142922	1.742469	0.041907
  20	9.5000e-03	0.8069	0.828738	0.000129	1.290978	0.437395	0.010520
  21	1.0000e-02	0.8262	0.977979	0.000366	3.663020	1.241065	0.029848
  22	1.0500e-02	0.8567	1.156299	0.000438	4.376731	1.482877	0.035664
  23	1.1000e-02	0.9224	1.179818	0.000058	0.577267	0.195583	0.004704
  24	1.1500e-02	0.9657	1.406032	0.000555	5.552256	1.881155	0.045243
  25	1.2000e-02	1.0010	1.477445	0.000175	1.752792	0.593862	0.014283
  26	1.2500e-02	1.0508	1.583069	0.000259	2.592452	0.878347	0.021125
  27	1.3000e-02	1.0748	1.830664	0.000608	6.077044	2.058958	0.049519
  28	1.3500e-02	1.1438	1.833657	0.000007	0.073470	0.024892	0.000599
  29	1.4000e-02	1.1550	2.031220	0.000485	4.849040	1.642899	0.039513
  30	1.4500e-02	1.1935	2.081680	0.000124	1.238499	0.419615	0.010092
  31	1.5000e-02	1.2144	2.346380	0.000650	6.496874	2.201201	0.052940
  32	1.5500e-02	1.2802	2.416938	0.000173	1.731800	0.586750	0.014112
  33	1.6000e-02	1.3299	2.492200	0.000185	1.847253	0.625866	0.015052
  34	1.6500e-02	1.3652	2.553351	0.000150	1.500893	0.508516	0.012230
  35	1.7000e-02	1.4005	2.765025	0.000520	5.195400	1.760249	0.042335
  36	1.7500e-02	1.4342	2.951470	0.000458	4.576151	1.550442	0.037289
  37	1.8000e-02	1.4743	3.110119	0.000389	3.893926	1.319298	0.031730
