»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/11/2025 - 14:51:51
Configured:	06/11/25 01:55:56 PM
Executed:	06/11/25 02:50:28 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1287
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0642	0.300371	0.000090	0.903827	0.306225	0.709967
   2	1.0000e-04	0.6176	1.010338	0.000090	0.903827	0.306225	0.709967
   3	2.0000e-04	1.4486	5.543206	0.000577	5.770586	1.955127	4.532868
   4	3.0000e-04	2.0037	12.249666	0.000854	8.537686	2.892646	6.706460
   5	4.0000e-04	2.9486	16.418448	0.000531	5.307085	1.798089	4.168782
   6	5.0000e-04	3.8181	19.717065	0.000420	4.199318	1.422767	3.298617
   7	6.0000e-04	4.5592	23.186802	0.000442	4.417163	1.496575	3.469737
   8	7.0000e-04	5.3373	27.067957	0.000494	4.940919	1.674029	3.881154
   9	8.0000e-04	6.1554	31.302274	0.000539	5.390515	1.826356	4.234318
  10	9.0000e-04	6.9832	35.106970	0.000484	4.843584	1.641051	3.804696
  11	1.0000e-03	7.7645	39.170168	0.000517	5.172670	1.752548	4.063197
  12	1.1000e-03	8.5859	42.334073	0.000403	4.027823	1.364663	3.163905
  13	1.2000e-03	9.3735	45.709148	0.000430	4.296653	1.455745	3.375075
  14	1.3000e-03	10.1532	49.379133	0.000467	4.672089	1.582947	3.669985
  15	1.4000e-03	10.9553	52.630418	0.000414	4.139063	1.402352	3.251286
  16	1.5000e-03	11.7799	56.111078	0.000443	4.431068	1.501287	3.480660
  17	1.6000e-03	12.6061	58.998279	0.000368	3.675562	1.245314	2.887200
  18	1.7000e-03	13.3793	62.107571	0.000396	3.958297	1.341107	3.109292
  19	1.8000e-03	14.2055	65.195018	0.000393	3.930487	1.331685	3.087447
  20	1.9000e-03	15.0012	67.907457	0.000345	3.453082	1.169936	2.712439
  21	2.0000e-03	15.8129	71.202434	0.000419	4.194683	1.421197	3.294976
  22	2.1000e-03	16.6182	73.998612	0.000356	3.559687	1.206055	2.796179
  23	2.2000e-03	17.3835	76.550853	0.000325	3.249141	1.100839	2.552241
  24	2.3000e-03	18.2241	78.931974	0.000303	3.031296	1.027031	2.381121
  25	2.4000e-03	19.0118	81.476934	0.000324	3.239871	1.097698	2.544960
  26	2.5000e-03	19.7898	84.655403	0.000405	4.046363	1.370945	3.178469
  27	2.6000e-03	19.5668	85.940625	-0.000164	-1.636158	-0.554345	1.285223
  28	2.7000e-03	18.5225	80.985418	0.000631	6.308247	2.137292	-4.955207
  29	2.8000e-03	17.9081	75.178250	0.000739	7.392839	2.504762	-5.807168
  30	2.9000e-03	16.9134	75.549618	-0.000047	-0.472771	-0.160179	0.371367
  31	3.0000e-03	16.2028	74.785038	0.000097	0.973352	0.329781	-0.764580
  32	3.1000e-03	15.5274	70.466980	0.000550	5.497120	1.862475	-4.318057
  33	3.2000e-03	14.6611	67.073701	0.000432	4.319828	1.463597	-3.393279
  34	3.3000e-03	13.8221	65.042102	0.000259	2.586335	0.876274	-2.031599
  35	3.4000e-03	12.9959	62.544474	0.000318	3.179616	1.077283	-2.497628
  36	3.5000e-03	12.3205	59.697323	0.000362	3.624577	1.228040	-2.847151
  37	3.6000e-03	11.4446	56.628080	0.000391	3.907312	1.323833	-3.069243
  38	3.7000e-03	10.6425	53.598887	0.000386	3.856327	1.306559	-3.029194
  39	3.8000e-03	9.8660	50.154635	0.000438	4.384718	1.485583	-3.444251
  40	3.9000e-03	9.0639	46.837814	0.000422	4.222493	1.430619	-3.316821
  41	4.0000e-03	8.2843	43.987022	0.000363	3.629212	1.229610	-2.850792
  42	4.1000e-03	7.4468	40.506362	0.000443	4.431068	1.501287	-3.480660
  43	4.2000e-03	6.6608	36.810892	0.000470	4.704534	1.593939	-3.695471
  44	4.3000e-03	5.8779	33.006195	0.000484	4.843584	1.641051	-3.804696
  45	4.4000e-03	5.0934	29.263394	0.000476	4.764789	1.614354	-3.742802
  46	4.5000e-03	4.3090	26.074002	0.000406	4.060268	1.375656	-3.189391
  47	4.6000e-03	3.5101	21.519289	0.000580	5.798396	1.964550	-4.554713
  48	4.7000e-03	2.7272	17.496142	0.000512	5.121685	1.735274	-4.023148
  49	4.8000e-03	1.8882	13.181725	0.000549	5.492485	1.860904	-4.314416
  50	4.9000e-03	1.1085	8.721675	0.000568	5.677886	1.923720	-4.460051
  51	5.0000e-03	0.3128	4.724013	0.000509	5.089240	1.724281	-3.997662
  52	5.1000e-03	-0.4556	0.078278	0.000591	5.914271	2.003809	-4.645734
  53	5.2000e-03	-1.2545	-3.977637	0.000516	5.163400	1.749407	-4.055915
  54	5.3000e-03	-2.1320	-8.583322	0.000586	5.863286	1.986535	-4.605685
  55	5.4000e-03	-2.8395	-13.057936	0.000570	5.696426	1.930001	-4.474614
  56	5.5000e-03	-3.6753	-17.266768	0.000536	5.358070	1.815363	-4.208831
  57	5.6000e-03	-4.4822	-21.362733	0.000521	5.214385	1.766681	-4.095965
  58	5.7000e-03	-5.2956	-25.181992	0.000486	4.862124	1.647332	-3.819260
  59	5.8000e-03	-6.1201	-29.004893	0.000487	4.866759	1.648903	-3.822901
  60	5.9000e-03	-6.9223	-32.718568	0.000473	4.727709	1.601791	-3.713675
  61	6.0000e-03	-7.7051	-36.596081	0.000494	4.936284	1.672458	-3.877513
  62	6.1000e-03	-8.5169	-39.745423	0.000401	4.009283	1.358382	-3.149342
  63	6.2000e-03	-9.3302	-42.920251	0.000404	4.041728	1.369374	-3.174828
  64	6.3000e-03	-10.1243	-46.368143	0.000439	4.389353	1.487153	-3.447892
  65	6.4000e-03	-10.9312	-49.375492	0.000383	3.828517	1.297137	-3.007348
  66	6.5000e-03	-11.7462	-52.561242	0.000406	4.055633	1.374086	-3.185750
  67	6.6000e-03	-12.5258	-55.663253	0.000395	3.949027	1.337967	-3.102011
  68	6.7000e-03	-13.3729	-58.561376	0.000369	3.689467	1.250025	-2.898123
  69	6.8000e-03	-14.1445	-61.350273	0.000355	3.550417	1.202914	-2.788897
  70	6.9000e-03	-14.9498	-63.705908	0.000300	2.998851	1.016038	-2.355635
  71	7.0000e-03	-15.7520	-66.928067	0.000410	4.101983	1.389789	-3.222159
  72	7.1000e-03	-16.5348	-69.964542	0.000387	3.865597	1.309700	-3.036475
  73	7.2000e-03	-17.3257	-72.979172	0.000384	3.837787	1.300278	-3.014630
  74	7.3000e-03	-18.1455	-76.001084	0.000385	3.847057	1.303418	-3.021912
  75	7.4000e-03	-18.9091	-79.230525	0.000411	4.111253	1.392930	-3.229441
  76	7.5000e-03	-19.6775	-83.566786	0.000552	5.520295	1.870327	-4.336262
  77	7.6000e-03	-19.3470	-85.940625	-0.000302	-3.022026	-1.023890	-2.373839
  78	7.7000e-03	-18.4358	-81.749998	0.000533	5.334895	1.807511	4.190627
  79	7.8000e-03	-17.8503	-77.282666	0.000569	5.687156	1.926861	4.467332
  80	7.9000e-03	-16.8412	-77.020524	0.000033	0.333721	0.113068	0.262142
  81	8.0000e-03	-16.1723	-76.321479	0.000089	0.889922	0.301514	0.699045
  82	8.1000e-03	-15.3974	-72.458529	0.000492	4.917744	1.666177	3.862950
  83	8.2000e-03	-14.5536	-69.727886	0.000348	3.476257	1.177788	2.730643
  84	8.3000e-03	-13.7386	-67.594344	0.000272	2.716115	0.920245	2.133543
  85	8.4000e-03	-12.9109	-65.111279	0.000316	3.161076	1.071002	2.483065
  86	8.5000e-03	-12.2515	-62.893996	0.000282	2.822720	0.956364	2.217282
  87	8.6000e-03	-11.3564	-60.003155	0.000368	3.680197	1.246884	2.890841
  88	8.7000e-03	-10.5815	-56.959398	0.000387	3.874867	1.312841	3.043757
  89	8.8000e-03	-9.7826	-53.464175	0.000445	4.449608	1.507568	3.495223
  90	8.9000e-03	-9.0062	-50.566052	0.000369	3.689467	1.250025	2.898123
  91	9.0000e-03	-8.2153	-48.483482	0.000265	2.651225	0.898259	2.082571
  92	9.1000e-03	-7.3779	-44.642377	0.000489	4.889934	1.656755	3.841105
  93	9.2000e-03	-6.5982	-41.001519	0.000464	4.635009	1.570383	3.640858
  94	9.3000e-03	-5.8442	-37.342457	0.000466	4.658184	1.578235	3.659062
  95	9.4000e-03	-5.0020	-34.145784	0.000407	4.069538	1.378797	3.196673
  96	9.5000e-03	-4.2432	-31.553493	0.000330	3.300126	1.118113	2.592291
  97	9.6000e-03	-3.4571	-26.827660	0.000602	6.016241	2.038358	4.725833
  98	9.7000e-03	-2.6342	-22.993837	0.000488	4.880664	1.653614	3.833823
  99	9.8000e-03	-1.8272	-18.726752	0.000543	5.432230	1.840489	4.267085
 100	9.9000e-03	-1.0604	-14.699963	0.000513	5.126320	1.736844	4.026789
 101	1.0000e-02	-0.3192	-11.292120	0.000513	5.126320	1.736844	3.407843

Center data before PMax,+/-Pr and +/-Vc Calc.

