»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/12/2025 - 11:33:45
Configured:	06/12/25 10:06:17 AM
Executed:	06/12/25 11:32:39 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1390
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0818	-0.819193	0.000030	0.298598	0.101168	0.236656
   2	1.0000e-04	0.6353	-0.582537	0.000030	0.298598	0.101168	0.236656
   3	2.0000e-04	1.6347	0.553410	0.000143	1.433273	0.485606	1.135948
   4	3.0000e-04	2.2812	1.711203	0.000146	1.460836	0.494944	1.157793
   5	4.0000e-04	3.0994	2.679671	0.000122	1.221957	0.414010	0.968468
   6	5.0000e-04	3.9207	3.578963	0.000113	1.134674	0.384438	0.899292
   7	6.0000e-04	4.7020	4.904235	0.000167	1.672151	0.566540	1.325272
   8	7.0000e-04	5.5154	5.949161	0.000132	1.318427	0.446695	1.044926
   9	8.0000e-04	6.2934	7.248948	0.000164	1.639995	0.555645	1.299786
  10	9.0000e-04	7.1308	8.221057	0.000123	1.226551	0.415567	0.972109
  11	1.0000e-03	7.8864	9.145835	0.000117	1.166831	0.395333	0.924778
  12	1.1000e-03	8.6677	10.114303	0.000122	1.221957	0.414010	0.968468
  13	1.2000e-03	9.5291	11.166511	0.000133	1.327615	0.449808	1.052208
  14	1.3000e-03	10.2976	12.142260	0.000123	1.231144	0.417123	0.975750
  15	1.4000e-03	11.1013	13.005144	0.000109	1.088736	0.368874	0.862883
  16	1.5000e-03	11.9018	13.835259	0.000105	1.047392	0.354866	0.830116
  17	1.6000e-03	12.7135	14.745474	0.000115	1.148456	0.389107	0.910214
  18	1.7000e-03	13.5333	15.546462	0.000101	1.010641	0.342414	0.800989
  19	1.8000e-03	14.2841	16.445754	0.000113	1.134674	0.384438	0.899292
  20	1.9000e-03	15.1135	17.144799	0.000088	0.882014	0.298834	0.699045
  21	2.0000e-03	15.9108	17.982196	0.000106	1.056579	0.357979	0.837397
  22	2.1000e-03	16.6904	18.764981	0.000099	0.987672	0.334632	0.782784
  23	2.2000e-03	17.5102	19.500434	0.000093	0.927952	0.314399	0.735453
  24	2.3000e-03	18.3155	20.246810	0.000094	0.941734	0.319068	0.746376
  25	2.4000e-03	19.1080	20.909446	0.000084	0.836076	0.283270	0.662636
  26	2.5000e-03	19.8877	21.612131	0.000089	0.886608	0.300391	0.702686
  27	2.6000e-03	19.6085	21.968935	-0.000045	-0.450195	-0.152530	0.356804
  28	2.7000e-03	18.2145	20.778375	0.000150	1.502180	0.508952	-1.190560
  29	2.8000e-03	17.6835	20.377881	0.000051	0.505320	0.171207	-0.400494
  30	2.9000e-03	17.0129	19.930055	0.000057	0.565040	0.191441	-0.447825
  31	3.0000e-03	16.1097	19.289264	0.000081	0.808513	0.273932	-0.640791
  32	3.1000e-03	15.3477	18.521043	0.000097	0.969297	0.328407	-0.768221
  33	3.2000e-03	14.5632	17.923942	0.000075	0.753387	0.255254	-0.597101
  34	3.3000e-03	13.7338	17.122954	0.000101	1.010641	0.342414	-0.800989
  35	3.4000e-03	12.9301	16.300120	0.000104	1.038204	0.351753	-0.822834
  36	3.5000e-03	12.1601	15.688456	0.000077	0.771762	0.261480	-0.611664
  37	3.6000e-03	11.3516	14.865622	0.000104	1.038204	0.351753	-0.822834
  38	3.7000e-03	10.5366	14.071915	0.000100	1.001453	0.339302	-0.793707
  39	3.8000e-03	9.7409	13.187187	0.000112	1.116299	0.378212	-0.884728
  40	3.9000e-03	8.9580	12.306099	0.000111	1.111705	0.376656	-0.881088
  41	4.0000e-03	8.1736	11.599773	0.000089	0.891202	0.301947	-0.706326
  42	4.1000e-03	7.3249	10.627664	0.000123	1.226551	0.415567	-0.972109
  43	4.2000e-03	6.5164	9.713808	0.000115	1.153049	0.390664	-0.913855
  44	4.3000e-03	5.7817	8.767185	0.000119	1.194394	0.404672	-0.946623
  45	4.4000e-03	4.9699	7.795076	0.000123	1.226551	0.415567	-0.972109
  46	4.5000e-03	4.1630	6.855735	0.000119	1.185206	0.401559	-0.939341
  47	4.6000e-03	3.3577	5.723428	0.000143	1.428679	0.484049	-1.132307
  48	4.7000e-03	2.5620	4.784087	0.000119	1.185206	0.401559	-0.939341
  49	4.8000e-03	1.7550	3.593527	0.000150	1.502180	0.508952	-1.190560
  50	4.9000e-03	0.9369	2.373839	0.000154	1.538931	0.521404	-1.219687
  51	5.0000e-03	0.1444	1.339836	0.000130	1.304646	0.442026	-1.034004
  52	5.1000e-03	-0.6192	-0.058254	0.000176	1.764028	0.597669	-1.398089
  53	5.2000e-03	-1.4486	-1.165074	0.000140	1.396522	0.473154	-1.106821
  54	5.3000e-03	-2.2572	-2.464861	0.000164	1.639995	0.555645	-1.299786
  55	5.4000e-03	-3.0288	-3.717316	0.000158	1.580275	0.535412	-1.252455
  56	5.5000e-03	-3.8437	-4.754960	0.000131	1.309239	0.443582	-1.037644
  57	5.6000e-03	-4.6475	-5.963725	0.000153	1.525149	0.516734	-1.208765
  58	5.7000e-03	-5.4383	-7.015933	0.000133	1.327615	0.449808	-1.052208
  59	5.8000e-03	-6.2629	-8.035373	0.000129	1.286270	0.435800	-1.019440
  60	5.9000e-03	-7.0955	-9.123989	0.000137	1.373553	0.465372	-1.088616
  61	6.0000e-03	-7.8287	-9.979591	0.000108	1.079548	0.365761	-0.855602
  62	6.1000e-03	-8.6388	-10.926214	0.000119	1.194394	0.404672	-0.946623
  63	6.2000e-03	-9.4586	-11.854633	0.000117	1.171425	0.396889	-0.928419
  64	6.3000e-03	-10.2350	-12.702953	0.000107	1.070361	0.362648	-0.848320
  65	6.4000e-03	-11.0564	-13.536709	0.000105	1.051985	0.356422	-0.833756
  66	6.5000e-03	-11.8296	-14.301289	0.000096	0.964703	0.326850	-0.764580
  67	6.6000e-03	-12.6766	-15.145968	0.000107	1.065767	0.361092	-0.844679
  68	6.7000e-03	-13.5092	-15.954238	0.000102	1.019829	0.345527	-0.808270
  69	6.8000e-03	-14.2697	-16.678769	0.000091	0.914171	0.309729	-0.724531
  70	6.9000e-03	-15.0156	-17.403300	0.000091	0.914171	0.309729	-0.724531
  71	7.0000e-03	-15.8562	-18.076858	0.000085	0.849857	0.287939	-0.673559
  72	7.1000e-03	-16.6359	-18.812312	0.000093	0.927952	0.314399	-0.735453
  73	7.2000e-03	-17.4701	-19.576892	0.000096	0.964703	0.326850	-0.764580
  74	7.3000e-03	-18.2578	-20.170352	0.000075	0.748793	0.253698	-0.593460
  75	7.4000e-03	-19.0374	-20.913087	0.000094	0.937140	0.317512	-0.742735
  76	7.5000e-03	-19.8476	-21.637617	0.000091	0.914171	0.309729	-0.724531
  77	7.6000e-03	-19.4946	-21.968935	-0.000042	-0.418038	-0.141635	-0.331318
  78	7.7000e-03	-18.2032	-21.069643	0.000113	1.134674	0.384438	0.899292
  79	7.8000e-03	-17.6594	-20.545360	0.000066	0.661510	0.224126	0.524284
  80	7.9000e-03	-16.9054	-20.159429	0.000049	0.486945	0.164981	0.385931
  81	8.0000e-03	-16.0568	-19.529561	0.000079	0.794731	0.269262	0.629868
  82	8.1000e-03	-15.2563	-18.819593	0.000090	0.895795	0.303504	0.709967
  83	8.2000e-03	-14.4830	-18.142394	0.000085	0.854451	0.289496	0.677200
  84	8.3000e-03	-13.6729	-17.468835	0.000085	0.849857	0.287939	0.673559
  85	8.4000e-03	-12.8226	-16.773431	0.000088	0.877420	0.297278	0.695404
  86	8.5000e-03	-12.0943	-16.165408	0.000077	0.767168	0.259924	0.608023
  87	8.6000e-03	-11.3147	-15.448159	0.000090	0.904983	0.306617	0.717249
  88	8.7000e-03	-10.4740	-14.607121	0.000106	1.061173	0.359535	0.841038
  89	8.8000e-03	-9.6767	-13.849823	0.000096	0.955515	0.323737	0.757298
  90	8.9000e-03	-8.8891	-13.132574	0.000090	0.904983	0.306617	0.717249
  91	9.0000e-03	-8.0998	-12.462656	0.000085	0.845263	0.286383	0.669918
  92	9.1000e-03	-7.2559	-11.505110	0.000121	1.208175	0.409341	0.957546
  93	9.2000e-03	-6.4522	-10.583973	0.000116	1.162237	0.393777	0.921137
  94	9.3000e-03	-5.6902	-9.739294	0.000107	1.065767	0.361092	0.844679
