»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/12/2025 - 12:18:4
Configured:	06/12/25 10:06:17 AM
Executed:	06/12/25 12:17:32 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1390
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0385	-1.210011	0.000115	1.148785	0.389219	0.000046
   2	9.9500e-02	0.0529	-1.163981	0.000115	1.148785	0.389219	0.000046
   3	1.9900e-01	0.0946	-1.096770	0.000168	1.677430	0.568329	0.000068
   4	2.9850e-01	0.1332	-1.033224	0.000159	1.585934	0.537329	0.000064
   5	3.9800e-01	0.1989	-0.961125	0.000180	1.799425	0.609662	0.000072
   6	4.9750e-01	0.2150	-0.896765	0.000161	1.606266	0.544218	0.000065
   7	5.9700e-01	0.2487	-0.831997	0.000162	1.616432	0.547662	0.000065
   8	6.9650e-01	0.2968	-0.759083	0.000182	1.819757	0.616550	0.000073
   9	7.9600e-01	0.3706	-0.699611	0.000148	1.484271	0.502885	0.000060
  10	8.9550e-01	0.3754	-0.635658	0.000160	1.596100	0.540773	0.000064
  11	9.9500e-01	0.4203	-0.570076	0.000164	1.636765	0.554551	0.000066
  12	1.0945e+00	0.4684	-0.502457	0.000169	1.687596	0.571773	0.000068
  13	1.1940e+00	0.4861	-0.434023	0.000171	1.707928	0.578662	0.000069
  14	1.2935e+00	0.5390	-0.368849	0.000163	1.626599	0.551107	0.000066
  15	1.3930e+00	0.5743	-0.310599	0.000145	1.453772	0.492551	0.000059
  16	1.4925e+00	0.6144	-0.240128	0.000176	1.758760	0.595884	0.000071
  17	1.5920e+00	0.6561	-0.172510	0.000169	1.687596	0.571773	0.000068
  18	1.6915e+00	0.6930	-0.108557	0.000160	1.596100	0.540773	0.000064
  19	1.7910e+00	0.7251	-0.045011	0.000159	1.585934	0.537329	0.000064
  20	1.8905e+00	0.7781	0.023422	0.000171	1.707928	0.578662	0.000069
  21	1.9900e+00	0.8085	0.086560	0.000158	1.575767	0.533884	0.000063
  22	2.0895e+00	0.8743	0.155809	0.000173	1.728261	0.585551	0.000070
  23	2.1890e+00	0.9144	0.225871	0.000175	1.748593	0.592440	0.000070
  24	2.2885e+00	0.9256	0.288602	0.000157	1.565601	0.530440	0.000063
  25	2.3880e+00	0.9706	0.358665	0.000175	1.748593	0.592440	0.000070
  26	2.4875e+00	1.0267	0.427506	0.000172	1.718095	0.582106	0.000069
  27	2.5870e+00	1.0668	0.490644	0.000158	1.575767	0.533884	0.000063
  28	2.6865e+00	1.0813	0.558263	0.000169	1.687596	0.571773	0.000068
  29	2.7860e+00	1.1342	0.622623	0.000161	1.606266	0.544218	0.000065
  30	2.8855e+00	1.1599	0.689020	0.000166	1.657097	0.561440	0.000067
  31	2.9850e+00	1.2016	0.757453	0.000171	1.707928	0.578662	0.000069
  32	3.0845e+00	1.2449	0.821406	0.000160	1.596100	0.540773	0.000064
  33	3.1840e+00	1.2962	0.892284	0.000177	1.768926	0.599328	0.000071
  34	3.2835e+00	1.3058	0.954607	0.000156	1.555435	0.526996	0.000063
  35	3.3830e+00	1.3796	1.021004	0.000166	1.657097	0.561440	0.000067
  36	3.4825e+00	1.4197	1.090252	0.000173	1.728261	0.585551	0.000070
  37	3.5820e+00	1.4438	1.157871	0.000169	1.687596	0.571773	0.000068
  38	3.6815e+00	1.4759	1.222231	0.000161	1.606266	0.544218	0.000065
  39	3.7810e+00	1.5256	1.289850	0.000169	1.687596	0.571773	0.000068
  40	3.8805e+00	1.5834	1.352174	0.000156	1.555435	0.526996	0.000063
  41	3.9800e+00	1.6074	1.420200	0.000170	1.697762	0.575217	0.000068
  42	4.0795e+00	1.6684	1.484560	0.000161	1.606266	0.544218	0.000065
  43	4.1790e+00	1.6780	1.552179	0.000169	1.687596	0.571773	0.000068
  44	4.2785e+00	1.7294	1.616946	0.000162	1.616432	0.547662	0.000065
  45	4.3780e+00	1.7839	1.687009	0.000175	1.748593	0.592440	0.000070
  46	4.4775e+00	1.8032	1.743222	0.000140	1.402941	0.475329	0.000056
  47	4.5770e+00	1.8609	1.807990	0.000162	1.616432	0.547662	0.000065
  48	4.6765e+00	1.8834	1.876831	0.000172	1.718095	0.582106	0.000069
  49	4.7760e+00	1.9507	1.939969	0.000158	1.575767	0.533884	0.000063
  50	4.8755e+00	1.9556	2.001885	0.000155	1.545269	0.523551	0.000062
  51	4.9750e+00	2.0021	2.066652	0.000162	1.616432	0.547662	0.000065
  52	5.0745e+00	2.0663	2.134271	0.000169	1.687596	0.571773	0.000068
  53	5.1740e+00	2.0791	2.203520	0.000173	1.728261	0.585551	0.000070
  54	5.2735e+00	2.1288	2.265028	0.000154	1.535102	0.520107	0.000062
  55	5.3730e+00	2.1689	2.327352	0.000156	1.555435	0.526996	0.000063
  56	5.4725e+00	2.1914	2.388453	0.000152	1.524936	0.516662	0.000061
  57	5.5720e+00	2.2556	2.454035	0.000164	1.636765	0.554551	0.000066
  58	5.6715e+00	2.2989	2.524098	0.000175	1.748593	0.592440	0.000070
  59	5.7710e+00	2.3181	2.588051	0.000160	1.596100	0.540773	0.000064
  60	5.8705e+00	2.3646	2.654040	0.000165	1.646931	0.557995	0.000066
  61	5.9700e+00	2.4096	2.715142	0.000152	1.524936	0.516662	0.000061
  62	6.0695e+00	2.4352	2.785205	0.000175	1.748593	0.592440	0.000070
  63	6.1690e+00	2.4737	2.846713	0.000154	1.535102	0.520107	0.000062
  64	6.2685e+00	2.5010	2.911074	0.000161	1.606266	0.544218	0.000065
  65	6.3680e+00	2.5796	2.979100	0.000170	1.697762	0.575217	0.000068
  66	6.4675e+00	2.6149	3.041016	0.000155	1.545269	0.523551	0.000062
  67	6.5670e+00	2.6438	3.107413	0.000166	1.657097	0.561440	0.000067
  68	6.6665e+00	2.6839	3.175439	0.000170	1.697762	0.575217	0.000068
  69	6.7660e+00	2.7256	3.233689	0.000145	1.453772	0.492551	0.000059
  70	6.8655e+00	2.7657	3.298864	0.000163	1.626599	0.551107	0.000066
  71	6.9650e+00	2.8090	3.368519	0.000174	1.738427	0.588995	0.000070
  72	7.0645e+00	2.8443	3.429621	0.000152	1.524936	0.516662	0.000061
  73	7.1640e+00	2.8812	3.496832	0.000168	1.677430	0.568329	0.000068
  74	7.2635e+00	2.9213	3.560378	0.000159	1.585934	0.537329	0.000064
  75	7.3630e+00	2.9646	3.625552	0.000163	1.626599	0.551107	0.000066
  76	7.4625e+00	2.9839	3.690320	0.000162	1.616432	0.547662	0.000065
  77	7.5620e+00	3.0577	3.756309	0.000165	1.646931	0.557995	0.000066
  78	7.6615e+00	3.0898	3.824336	0.000170	1.697762	0.575217	0.000068
  79	7.7610e+00	3.1202	3.885030	0.000151	1.514770	0.513218	0.000061
  80	7.8605e+00	3.1555	3.951834	0.000167	1.667264	0.564884	0.000067
  81	7.9600e+00	3.2165	4.013750	0.000155	1.545269	0.523551	0.000062
