»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/12/2025 - 15:8:57
Configured:	06/12/25 03:03:03 PM
Executed:	06/12/25 03:07:42 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1570
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0385	2.841689	0.000072	0.722708	0.244860	0.571615
   2	1.0000e-04	0.6898	3.413304	0.000072	0.722708	0.244860	0.571615
   3	2.0000e-04	1.6331	3.664523	0.000032	0.317623	0.107614	0.251219
   4	3.0000e-04	2.2058	6.511674	0.000360	3.599728	1.219621	2.847151
   5	4.0000e-04	3.0994	9.198627	0.000340	3.397186	1.150998	2.686953
   6	5.0000e-04	3.8855	11.667128	0.000312	3.120992	1.057421	2.468502
   7	6.0000e-04	4.6667	14.015482	0.000297	2.969085	1.005953	2.348353
   8	7.0000e-04	5.4720	15.129584	0.000141	1.408589	0.477243	1.114102
   9	8.0000e-04	6.2902	16.720639	0.000201	2.011613	0.681553	1.591055
  10	9.0000e-04	7.1132	19.367543	0.000335	3.346550	1.133842	2.646904
  11	1.0000e-03	7.8720	21.857889	0.000315	3.148611	1.066778	2.490347
  12	1.1000e-03	8.6901	24.100658	0.000284	2.835592	0.960724	2.242768
  13	1.2000e-03	9.4858	25.338549	0.000157	1.565099	0.530270	1.237892
  14	1.3000e-03	10.2735	26.802174	0.000185	1.850500	0.626966	1.463625
  15	1.4000e-03	11.0532	29.354415	0.000323	3.226866	1.093292	2.552241
  16	1.5000e-03	11.8729	31.724614	0.000300	2.996705	1.015311	2.370198
  17	1.6000e-03	12.6991	33.894565	0.000274	2.743527	0.929532	2.169951
  18	1.7000e-03	13.5092	34.986822	0.000138	1.380970	0.467885	1.092257
  19	1.8000e-03	14.2713	36.355785	0.000173	1.730816	0.586416	1.368962
  20	1.9000e-03	15.0782	38.616757	0.000286	2.858608	0.968523	2.260973
  21	2.0000e-03	15.8691	41.019723	0.000304	3.038134	1.029348	2.402966
  22	2.1000e-03	16.7065	42.774617	0.000222	2.218758	0.751736	1.754893
  23	2.2000e-03	17.4541	43.845029	0.000135	1.353351	0.458528	1.070412
  24	2.3000e-03	18.2931	45.068357	0.000155	1.546686	0.524032	1.223328
  25	2.4000e-03	19.0936	47.300203	0.000282	2.821782	0.956046	2.231846
  26	2.5000e-03	19.8460	49.539330	0.000283	2.830988	0.959165	2.239127
  27	2.6000e-03	19.4337	50.121867	-0.000074	-0.736517	-0.249539	0.582537
  28	2.7000e-03	18.2193	47.496809	0.000332	3.318931	1.124484	-2.625058
  29	2.8000e-03	17.7605	46.251636	0.000157	1.574306	0.533389	-1.245173
  30	2.9000e-03	16.9214	45.341421	0.000115	1.150808	0.389904	-0.910214
  31	3.0000e-03	16.0712	43.768571	0.000199	1.988597	0.673755	-1.572851
  32	3.1000e-03	15.3092	42.035523	0.000219	2.191139	0.742378	-1.733048
  33	3.2000e-03	14.4734	40.655637	0.000174	1.744625	0.591095	-1.379885
  34	3.3000e-03	13.6857	39.348570	0.000165	1.652561	0.559903	-1.307068
  35	3.4000e-03	12.8772	37.648289	0.000215	2.149710	0.728341	-1.700281
  36	3.5000e-03	12.1473	36.231995	0.000179	1.790658	0.606691	-1.416294
  37	3.6000e-03	11.3179	34.309623	0.000243	2.430507	0.823478	-1.922373
  38	3.7000e-03	10.5141	32.627546	0.000213	2.126694	0.720543	-1.682076
  39	3.8000e-03	9.7072	31.240379	0.000175	1.753832	0.594214	-1.387167
  40	3.9000e-03	8.9340	29.292521	0.000246	2.462730	0.834395	-1.947859
  41	4.0000e-03	8.1575	27.533986	0.000222	2.223362	0.753295	-1.758534
  42	4.1000e-03	7.3313	25.349472	0.000276	2.761940	0.935771	-2.184515
  43	4.2000e-03	6.4923	23.521761	0.000231	2.310823	0.782928	-1.827711
  44	4.3000e-03	5.7223	22.007164	0.000191	1.914945	0.648801	-1.514597
  45	4.4000e-03	4.9442	20.001052	0.000254	2.536381	0.859349	-2.006113
  46	4.5000e-03	4.1100	17.794692	0.000279	2.789559	0.945128	-2.206360
  47	4.6000e-03	3.3272	15.395367	0.000303	3.033531	1.027788	-2.399325
  48	4.7000e-03	2.5588	13.538529	0.000235	2.347649	0.795405	-1.856837
  49	4.8000e-03	1.7310	11.881939	0.000209	2.094471	0.709626	-1.656590
  50	4.9000e-03	0.9465	9.642812	0.000283	2.830988	0.959165	-2.239127
  51	5.0000e-03	0.1075	7.258050	0.000302	3.015118	1.021550	-2.384762
  52	5.1000e-03	-0.6112	4.603865	0.000336	3.355757	1.136961	-2.654185
  53	5.2000e-03	-1.4631	2.805281	0.000227	2.273997	0.770451	-1.798584
  54	5.3000e-03	-2.2844	0.981211	0.000231	2.306220	0.781368	-1.824070
  55	5.4000e-03	-3.0256	-1.163254	0.000271	2.711304	0.918615	-2.144465
  56	5.5000e-03	-3.8566	-3.802876	0.000334	3.337344	1.130723	-2.639622
  57	5.6000e-03	-4.6507	-6.482547	0.000339	3.387980	1.147879	-2.679671
  58	5.7000e-03	-5.4464	-8.273849	0.000226	2.264791	0.767332	-1.791302
  59	5.8000e-03	-6.2790	-9.963207	0.000214	2.135900	0.723663	-1.689358
  60	5.9000e-03	-7.0586	-12.133158	0.000274	2.743527	0.929532	-2.169951
  61	6.0000e-03	-7.8351	-14.699963	0.000325	3.245279	1.099530	-2.566805
  62	6.1000e-03	-8.6596	-17.132056	0.000307	3.074960	1.041825	-2.432093
  63	6.2000e-03	-9.4409	-18.926999	0.000227	2.269394	0.768891	-1.794943
  64	6.3000e-03	-10.2623	-20.518054	0.000201	2.011613	0.681553	-1.591055
  65	6.4000e-03	-11.0291	-22.465912	0.000246	2.462730	0.834395	-1.947859
  66	6.5000e-03	-11.8617	-24.974463	0.000317	3.171628	1.074577	-2.508551
  67	6.6000e-03	-12.6734	-27.279126	0.000291	2.913847	0.987238	-2.304663
  68	6.7000e-03	-13.4948	-28.935717	0.000209	2.094471	0.709626	-1.656590
  69	6.8000e-03	-14.2263	-30.421186	0.000188	1.878119	0.636324	-1.485470
  70	6.9000e-03	-15.0477	-32.343559	0.000243	2.430507	0.823478	-1.922373
  71	7.0000e-03	-15.8530	-35.037794	0.000341	3.406393	1.154117	-2.694235
  72	7.1000e-03	-16.6680	-37.433478	0.000303	3.028927	1.026228	-2.395684
  73	7.2000e-03	-17.4428	-39.428668	0.000252	2.522572	0.854670	-1.995190
  74	7.3000e-03	-18.2353	-41.423858	0.000252	2.522572	0.854670	-1.995190
  75	7.4000e-03	-19.0262	-44.129016	0.000342	3.420202	1.158796	-2.705157
  76	7.5000e-03	-19.7994	-47.562345	0.000434	4.340849	1.470719	-3.433329
  77	7.6000e-03	-19.2829	-50.121867	-0.000324	-3.236073	-1.096411	-2.559523
  78	7.7000e-03	-18.2562	-47.900944	0.000281	2.807972	0.951367	2.220923
  79	7.8000e-03	-17.7139	-47.038061	0.000109	1.090966	0.369629	0.862883
  80	7.9000e-03	-16.8910	-46.160614	0.000111	1.109379	0.375868	0.877447
  81	8.0000e-03	-16.1001	-45.028308	0.000143	1.431606	0.485041	1.132307
