»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/12/2025 - 17:53:21
Configured:	06/12/25 03:03:03 PM
Executed:	06/12/25 05:52:27 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1570
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0112	-0.540435	0.000152	1.515484	0.513460	0.012099
   2	5.0000e-04	0.0305	-0.479939	0.000152	1.515484	0.513460	0.012099
   3	1.0000e-03	0.0658	-0.475906	0.000010	0.101032	0.034231	0.000807
   4	1.5000e-03	0.0995	-0.492038	-0.000040	-0.404129	-0.136923	-0.003226
   5	2.0000e-03	0.1380	-0.516237	-0.000061	-0.606193	-0.205384	-0.004840
   6	2.5000e-03	0.1717	-0.488005	0.000071	0.707226	0.239615	0.005646
   7	3.0000e-03	0.2134	-0.471873	0.000040	0.404129	0.136923	0.003226
   8	3.5000e-03	0.2583	-0.467839	0.000010	0.101032	0.034231	0.000807
   9	4.0000e-03	0.2872	-0.399277	0.000172	1.717548	0.581921	0.013713
  10	4.5000e-03	0.3401	-0.383144	0.000040	0.404129	0.136923	0.003226
  11	5.0000e-03	0.3770	-0.379111	0.000010	0.101032	0.034231	0.000807
  12	5.5000e-03	0.4203	-0.395244	-0.000040	-0.404129	-0.136923	-0.003226
  13	6.0000e-03	0.4540	-0.342813	0.000131	1.313419	0.444998	0.010486
  14	6.5000e-03	0.4957	-0.258118	0.000212	2.121677	0.718844	0.016939
  15	7.0000e-03	0.5326	-0.326681	-0.000172	-1.717548	-0.581921	-0.013713
  16	7.5000e-03	0.5759	-0.306515	0.000051	0.505161	0.171153	0.004033
  17	8.0000e-03	0.6144	-0.197622	0.000273	2.727871	0.924228	0.021779
  18	8.5000e-03	0.6561	-0.165357	0.000081	0.808258	0.273845	0.006453
  19	9.0000e-03	0.6882	-0.161324	0.000010	0.101032	0.034231	0.000807
  20	9.5000e-03	0.7379	-0.125026	0.000091	0.909290	0.308076	0.007260
  21	1.0000e-02	0.7700	-0.048397	0.000192	1.919613	0.650382	0.015326
  22	1.0500e-02	0.8182	-0.008066	0.000101	1.010322	0.342306	0.008066
  23	1.1000e-02	0.8551	0.064530	0.000182	1.818580	0.616152	0.014519
  24	1.1500e-02	0.8903	0.129059	0.000162	1.616516	0.547690	0.012906
  25	1.2000e-02	0.9337	0.205688	0.000192	1.919613	0.650382	0.015326
  26	1.2500e-02	0.9690	0.185523	-0.000051	-0.505161	-0.171153	-0.004033
  27	1.3000e-02	1.0139	0.250052	0.000162	1.616516	0.547690	0.012906
  28	1.3500e-02	1.0572	0.342813	0.000232	2.323742	0.787305	0.018552
  29	1.4000e-02	1.0941	0.399277	0.000141	1.414451	0.479229	0.011293
  30	1.4500e-02	1.1438	0.608998	0.000525	5.253677	1.779994	0.041944
  31	1.5000e-02	1.1775	0.596899	-0.000030	-0.303097	-0.102692	-0.002420
  32	1.5500e-02	1.2240	0.576733	-0.000051	-0.505161	-0.171153	-0.004033
  33	1.6000e-02	1.2497	0.629163	0.000131	1.313419	0.444998	0.010486
  34	1.6500e-02	1.2930	0.717892	0.000222	2.222709	0.753074	0.017746
  35	1.7000e-02	1.3411	0.778388	0.000152	1.515484	0.513460	0.012099
  36	1.7500e-02	1.3684	0.814686	0.000091	0.909290	0.308076	0.007260
  37	1.8000e-02	1.4101	0.923580	0.000273	2.727871	0.924228	0.021779
  38	1.8500e-02	1.4534	1.016341	0.000232	2.323742	0.787305	0.018552
  39	1.9000e-02	1.4984	1.121201	0.000263	2.626838	0.889997	0.020972
  40	1.9500e-02	1.5336	1.185731	0.000162	1.616516	0.547690	0.012906
  41	2.0000e-02	1.5673	1.282525	0.000242	2.424774	0.821536	0.019359
  42	2.0500e-02	1.6090	1.322856	0.000101	1.010322	0.342306	0.008066
  43	2.1000e-02	1.6652	1.419651	0.000242	2.424774	0.821536	0.019359
  44	2.1500e-02	1.6973	1.484180	0.000162	1.616516	0.547690	0.012906
  45	2.2000e-02	1.7310	1.560809	0.000192	1.919613	0.650382	0.015326
  46	2.2500e-02	1.7791	1.685835	0.000313	3.131999	1.061150	0.025005
  47	2.3000e-02	1.8176	1.726166	0.000101	1.010322	0.342306	0.008066
  48	2.3500e-02	1.8513	1.818927	0.000232	2.323742	0.787305	0.018552
  49	2.4000e-02	1.8946	1.891523	0.000182	1.818580	0.616152	0.014519
  50	2.4500e-02	1.9315	2.032682	0.000354	3.536128	1.198073	0.028232
  51	2.5000e-02	1.9684	2.125443	0.000232	2.323742	0.787305	0.018552
  52	2.5500e-02	2.0069	2.246436	0.000303	3.030967	1.026919	0.024199
  53	2.6000e-02	2.0598	2.310965	0.000162	1.616516	0.547690	0.012906
  54	2.6500e-02	2.1048	2.456157	0.000364	3.637161	1.232303	0.029038
  55	2.7000e-02	2.1288	2.528753	0.000182	1.818580	0.616152	0.014519
  56	2.7500e-02	2.1785	2.625547	0.000242	2.424774	0.821536	0.019359
  57	2.8000e-02	2.2154	2.706209	0.000202	2.020645	0.684613	0.016132
  58	2.8500e-02	2.2539	2.843335	0.000344	3.435096	1.163842	0.027425
  59	2.9000e-02	2.2989	2.887699	0.000111	1.111355	0.376537	0.008873
  60	2.9500e-02	2.3277	2.972394	0.000212	2.121677	0.718844	0.016939
  61	3.0000e-02	2.3791	3.101453	0.000323	3.233032	1.095381	0.025812
  62	3.0500e-02	2.4192	3.202280	0.000253	2.525806	0.855766	0.020165
  63	3.1000e-02	2.4593	3.355538	0.000384	3.839225	1.300765	0.030652
  64	3.1500e-02	2.4978	3.448299	0.000232	2.323742	0.787305	0.018552
  65	3.2000e-02	2.5315	3.468465	0.000051	0.505161	0.171153	0.004033
  66	3.2500e-02	2.5780	3.605590	0.000344	3.435096	1.163842	0.027425
  67	3.3000e-02	2.6181	3.718517	0.000283	2.828903	0.958458	0.022585
  68	3.3500e-02	2.6502	3.883874	0.000414	4.142322	1.403457	0.033071
  69	3.4000e-02	2.6903	4.049231	0.000414	4.142322	1.403457	0.033071
  70	3.4500e-02	2.7384	4.093595	0.000111	1.111355	0.376537	0.008873
  71	3.5000e-02	2.7817	4.190389	0.000242	2.424774	0.821536	0.019359
  72	3.5500e-02	2.8154	4.339614	0.000374	3.738193	1.266534	0.029845
  73	3.6000e-02	2.8459	4.412210	0.000182	1.818580	0.616152	0.014519
  74	3.6500e-02	2.8860	4.525137	0.000283	2.828903	0.958458	0.022585
  75	3.7000e-02	2.9357	4.646130	0.000303	3.030967	1.026919	0.024199
  76	3.7500e-02	2.9807	4.783255	0.000344	3.435096	1.163842	0.027425
  77	3.8000e-02	3.0160	4.876016	0.000232	2.323742	0.787305	0.018552
  78	3.8500e-02	3.0593	5.017175	0.000354	3.536128	1.198073	0.028232
  79	3.9000e-02	3.0898	5.085737	0.000172	1.717548	0.581921	0.013713
  80	3.9500e-02	3.1395	5.247061	0.000404	4.041290	1.369226	0.032265
  81	4.0000e-02	3.1635	5.331756	0.000212	2.121677	0.718844	0.016939
  82	4.0500e-02	3.2181	5.521312	0.000475	4.748515	1.608841	0.037911
