»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 10:46:30
Configured:	06/13/25 10:12:58 AM
Executed:	06/13/25 10:45:56 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1704
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0209	-1.606588	0.000505	5.051865	1.711618	0.040539
   2	5.0000e-04	0.0465	-1.403894	0.000505	5.051865	1.711618	0.040539
   3	1.0000e-03	0.1251	-1.476162	-0.000180	-1.801192	-0.610261	-0.014454
   4	1.5000e-03	0.1684	-1.306395	0.000423	4.231204	1.433571	0.033953
   5	2.0000e-03	0.1925	-1.297415	0.000022	0.223817	0.075831	0.001796
   6	2.5000e-03	0.2278	-1.213601	0.000209	2.088957	0.707758	0.016763
   7	3.0000e-03	0.2743	-0.939920	0.000682	6.821084	2.311046	0.054736
   8	3.5000e-03	0.3273	-0.890316	0.000124	1.236321	0.418877	0.009921
   9	4.0000e-03	0.3144	-0.696602	-0.000483	-4.828048	-1.635787	0.038743
  10	4.5000e-03	0.3914	-0.643576	0.000132	1.321585	0.447765	0.010605
  11	5.0000e-03	0.4315	-0.432329	0.000527	5.265024	1.783838	0.042249
  12	5.5000e-03	0.4684	-0.389994	0.000106	1.055136	0.357490	0.008467
  13	6.0000e-03	0.5150	-0.221082	0.000421	4.209888	1.426349	0.033782
  14	6.5000e-03	0.5519	-0.055164	0.000414	4.135282	1.401072	0.033184
  15	7.0000e-03	0.5952	0.082959	0.000344	3.442516	1.166356	0.027625
  16	7.5000e-03	0.6369	0.230490	0.000368	3.676991	1.245798	0.029506
  17	8.0000e-03	0.6770	0.203977	-0.000066	-0.660793	-0.223883	-0.005303
  18	8.5000e-03	0.7075	0.545650	0.000852	8.515697	2.885196	0.068335
  19	9.0000e-03	0.7893	0.487920	-0.000144	-1.438822	-0.487486	-0.011546
  20	9.5000e-03	0.7941	0.588412	0.000250	2.504617	0.848587	0.020098
  21	1.0000e-02	0.8422	0.614498	0.000065	0.650135	0.220272	0.005217
  22	1.0500e-02	0.8631	0.954887	0.000848	8.483723	2.874363	0.068078
  23	1.1000e-02	0.9272	0.918111	-0.000092	-0.916583	-0.310547	-0.007355
  24	1.1500e-02	0.9625	1.164851	0.000615	6.149634	2.083552	0.049348
