»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 12:10:39
Configured:	06/13/25 10:12:58 AM
Executed:	06/13/25 12:10:10 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1704
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0096	-2.428337	0.000264	2.636066	0.893123	0.000105
   2	9.9500e-02	0.0305	-2.323372	0.000264	2.636066	0.893123	0.000105
   3	1.9900e-01	0.0674	-2.169960	0.000385	3.852712	1.305334	0.000154
   4	2.9850e-01	0.1219	-2.044809	0.000314	3.143002	1.064878	0.000126
   5	3.9800e-01	0.1556	-1.887361	0.000395	3.954099	1.339685	0.000158
   6	4.9750e-01	0.1957	-1.733950	0.000385	3.852712	1.305334	0.000154
   7	5.9700e-01	0.2310	-1.608799	0.000314	3.143002	1.064878	0.000126
   8	6.9650e-01	0.2647	-1.455387	0.000385	3.852712	1.305334	0.000154
   9	7.9600e-01	0.3016	-1.285828	0.000426	4.258260	1.442738	0.000170
  10	8.9550e-01	0.3417	-1.152602	0.000335	3.345776	1.133580	0.000134
  11	9.9500e-01	0.3914	-1.003228	0.000375	3.751325	1.270983	0.000150
  12	1.0945e+00	0.4331	-0.825594	0.000446	4.461035	1.511439	0.000179
  13	1.1940e+00	0.4797	-0.676220	0.000375	3.751325	1.270983	0.000150
  14	1.2935e+00	0.5166	-0.518772	0.000395	3.954099	1.339685	0.000158
  15	1.3930e+00	0.5454	-0.385546	0.000335	3.345776	1.133580	0.000134
  16	1.4925e+00	0.5920	-0.260395	0.000314	3.143002	1.064878	0.000126
  17	1.5920e+00	0.6401	-0.139281	0.000304	3.041615	1.030527	0.000122
  18	1.6915e+00	0.6690	0.022204	0.000406	4.055486	1.374036	0.000162
  19	1.7910e+00	0.7139	0.163504	0.000355	3.548550	1.202281	0.000142
  20	1.8905e+00	0.7540	0.300767	0.000345	3.447163	1.167930	0.000138
  21	1.9900e+00	0.7925	0.454178	0.000385	3.852712	1.305334	0.000154
  22	2.0895e+00	0.8278	0.611626	0.000395	3.954099	1.339685	0.000158
  23	2.1890e+00	0.8743	0.704480	0.000233	2.331904	0.790071	0.000093
  24	2.2885e+00	0.9048	0.870003	0.000416	4.156873	1.408387	0.000166
  25	2.3880e+00	0.9417	1.007265	0.000345	3.447163	1.167930	0.000138
  26	2.4875e+00	0.9914	1.180862	0.000436	4.359648	1.477089	0.000174
  27	2.5870e+00	1.0379	1.358496	0.000446	4.461035	1.511439	0.000179
  28	2.6865e+00	1.0636	1.495759	0.000345	3.447163	1.167930	0.000138
  29	2.7860e+00	1.0989	1.645133	0.000375	3.751325	1.270983	0.000150
  30	2.8855e+00	1.1470	1.830841	0.000466	4.663809	1.580141	0.000187
  31	2.9850e+00	1.1887	1.976178	0.000365	3.649937	1.236632	0.000146
  32	3.0845e+00	1.2240	2.081143	0.000264	2.636066	0.893123	0.000105
  33	3.1840e+00	1.2641	2.266852	0.000466	4.663809	1.580141	0.000187
  34	3.2835e+00	1.3074	2.383929	0.000294	2.940227	0.996176	0.000118
  35	3.3830e+00	1.3492	2.509080	0.000314	3.143002	1.064878	0.000126
  36	3.4825e+00	1.3941	2.622120	0.000284	2.838840	0.961825	0.000114
  37	3.5820e+00	1.4262	2.783605	0.000406	4.055486	1.374036	0.000162
  38	3.6815e+00	1.4679	2.904719	0.000304	3.041615	1.030527	0.000122
  39	3.7810e+00	1.5016	3.054093	0.000375	3.751325	1.270983	0.000150
  40	3.8805e+00	1.5513	3.203467	0.000375	3.751325	1.270983	0.000150
  41	3.9800e+00	1.5882	3.373027	0.000426	4.258260	1.442738	0.000170
