»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 14:8:8
Configured:	06/13/25 01:30:53 PM
Executed:	06/13/25 02:07:36 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1922
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0016	0.115058	0.000365	3.649132	1.236359	0.000146
   2	9.9500e-02	0.0273	0.260395	0.000365	3.649132	1.236359	0.000146
   3	1.9900e-01	0.0690	0.454178	0.000487	4.865509	1.648479	0.000195
   4	2.9850e-01	0.1107	0.611626	0.000395	3.953226	1.339389	0.000158
   5	3.9800e-01	0.1540	0.853854	0.000608	6.081887	2.060599	0.000243
   6	4.9750e-01	0.1989	1.039562	0.000466	4.662780	1.579793	0.000187
   7	5.9700e-01	0.2342	1.253531	0.000537	5.372333	1.820196	0.000215
   8	6.9650e-01	0.2647	1.447313	0.000487	4.865509	1.648479	0.000195
   9	7.9600e-01	0.3144	1.612836	0.000416	4.155956	1.408076	0.000166
  10	8.9550e-01	0.3481	1.802581	0.000476	4.764145	1.614136	0.000191
  11	9.9500e-01	0.3914	2.036735	0.000588	5.879157	1.991912	0.000235
  12	1.0945e+00	0.4396	2.194183	0.000395	3.953226	1.339389	0.000158
  13	1.1940e+00	0.4732	2.408151	0.000537	5.372333	1.820196	0.000215
  14	1.2935e+00	0.5069	2.634231	0.000568	5.676428	1.923226	0.000227
  15	1.3930e+00	0.5551	2.836088	0.000507	5.068239	1.717166	0.000203
  16	1.4925e+00	0.5791	2.981425	0.000365	3.649132	1.236359	0.000146
  17	1.5920e+00	0.6257	3.215579	0.000588	5.879157	1.991912	0.000235
  18	1.6915e+00	0.6754	3.421473	0.000517	5.169604	1.751509	0.000207
  19	1.7910e+00	0.7123	3.595069	0.000436	4.358686	1.476763	0.000174
  20	1.8905e+00	0.7492	3.760592	0.000416	4.155956	1.408076	0.000166
  21	1.9900e+00	0.7861	4.006857	0.000618	6.183252	2.094942	0.000248
  22	2.0895e+00	0.8246	4.192565	0.000466	4.662780	1.579793	0.000187
  23	2.1890e+00	0.8695	4.402497	0.000527	5.270969	1.785853	0.000211
  24	2.2885e+00	0.9032	4.600316	0.000497	4.966874	1.682823	0.000199
  25	2.3880e+00	0.9513	4.790062	0.000476	4.764145	1.614136	0.000191
  26	2.4875e+00	0.9898	5.020178	0.000578	5.777793	1.957569	0.000231
  27	2.5870e+00	1.0203	5.193775	0.000436	4.358686	1.476763	0.000174
  28	2.6865e+00	1.0748	5.399669	0.000517	5.169604	1.751509	0.000207
  29	2.7860e+00	1.1021	5.561154	0.000405	4.054591	1.373733	0.000162
  30	2.8855e+00	1.1502	5.783197	0.000558	5.575063	1.888882	0.000223
  31	2.9850e+00	1.1855	6.001202	0.000547	5.473698	1.854539	0.000219
  32	3.0845e+00	1.2208	6.166725	0.000416	4.155956	1.408076	0.000166
  33	3.1840e+00	1.2657	6.376656	0.000527	5.270969	1.785853	0.000211
  34	3.2835e+00	1.3074	6.554290	0.000446	4.460050	1.511106	0.000179
  35	3.3830e+00	1.3588	6.780369	0.000568	5.676428	1.923226	0.000227
