»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 14:50:40
Configured:	06/13/25 01:30:53 PM
Executed:	06/13/25 02:50:11 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1922
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0096	-4.989900	0.000193	1.925699	0.652445	0.000077
   2	9.9500e-02	0.0433	-4.913194	0.000193	1.925699	0.652445	0.000077
   3	1.9900e-01	0.0738	-4.719412	0.000486	4.864924	1.648281	0.000195
   4	2.9850e-01	0.1107	-4.582149	0.000345	3.445988	1.167532	0.000138
   5	3.9800e-01	0.1524	-4.473146	0.000274	2.736520	0.927158	0.000110
   6	4.9750e-01	0.1797	-4.311661	0.000405	4.054103	1.373567	0.000162
   7	5.9700e-01	0.2310	-4.186510	0.000314	3.141930	1.064515	0.000126
   8	6.9650e-01	0.2647	-4.057321	0.000324	3.243283	1.098854	0.000130
   9	7.9600e-01	0.3048	-3.920059	0.000345	3.445988	1.167532	0.000138
  10	8.9550e-01	0.3593	-3.746462	0.000436	4.358161	1.476585	0.000174
  11	9.9500e-01	0.3914	-3.637459	0.000274	2.736520	0.927158	0.000110
  12	1.0945e+00	0.4396	-3.492122	0.000365	3.648693	1.236211	0.000146
  13	1.1940e+00	0.4668	-3.354860	0.000345	3.445988	1.167532	0.000138
  14	1.2935e+00	0.5053	-3.225671	0.000324	3.243283	1.098854	0.000130
  15	1.3930e+00	0.5583	-3.092446	0.000334	3.344635	1.133193	0.000134
  16	1.4925e+00	0.5920	-2.926923	0.000416	4.155456	1.407907	0.000166
  17	1.5920e+00	0.6353	-2.817921	0.000274	2.736520	0.927158	0.000110
  18	1.6915e+00	0.6754	-2.672584	0.000365	3.648693	1.236211	0.000146
  19	1.7910e+00	0.7075	-2.551470	0.000304	3.040577	1.030176	0.000122
  20	1.8905e+00	0.7444	-2.402096	0.000375	3.750046	1.270550	0.000150
  21	1.9900e+00	0.7941	-2.228499	0.000436	4.358161	1.476585	0.000174
  22	2.0895e+00	0.8326	-2.083162	0.000365	3.648693	1.236211	0.000146
  23	2.1890e+00	0.8759	-1.978197	0.000264	2.635167	0.892819	0.000105
  24	2.2885e+00	0.9144	-1.849008	0.000324	3.243283	1.098854	0.000130
  25	2.3880e+00	0.9449	-1.707708	0.000355	3.547340	1.201871	0.000142
  26	2.4875e+00	0.9882	-1.566409	0.000355	3.547340	1.201871	0.000142
  27	2.5870e+00	1.0347	-1.449332	0.000294	2.939225	0.995836	0.000118
  28	2.6865e+00	1.0684	-1.283809	0.000416	4.155456	1.407907	0.000166
  29	2.7860e+00	1.1069	-1.166732	0.000294	2.939225	0.995836	0.000118
  30	2.8855e+00	1.1390	-0.981024	0.000466	4.662219	1.579602	0.000187
  31	2.9850e+00	1.1903	-0.851836	0.000324	3.243283	1.098854	0.000130
  32	3.0845e+00	1.2208	-0.702462	0.000375	3.750046	1.270550	0.000150
  33	3.1840e+00	1.2722	-0.613645	0.000223	2.229757	0.755462	0.000089
  34	3.2835e+00	1.3123	-0.448122	0.000416	4.155456	1.407907	0.000166
  35	3.3830e+00	1.3460	-0.306822	0.000355	3.547340	1.201871	0.000142
  36	3.4825e+00	1.3877	-0.169560	0.000345	3.445988	1.167532	0.000138
  37	3.5820e+00	1.4310	-0.008074	0.000405	4.054103	1.373567	0.000162
  38	3.6815e+00	1.4695	0.100928	0.000274	2.736520	0.927158	0.000110
  39	3.7810e+00	1.5112	0.226080	0.000314	3.141930	1.064515	0.000126
  40	3.8805e+00	1.5513	0.367379	0.000355	3.547340	1.201871	0.000142
  41	3.9800e+00	1.5914	0.553088	0.000466	4.662219	1.579602	0.000187
  42	4.0795e+00	1.6219	0.678239	0.000314	3.141930	1.064515	0.000126
  43	4.1790e+00	1.6684	0.803390	0.000314	3.141930	1.064515	0.000126
  44	4.2785e+00	1.7005	0.985061	0.000456	4.560866	1.545263	0.000183
  45	4.3780e+00	1.7438	1.090027	0.000264	2.635167	0.892819	0.000105
  46	4.4775e+00	1.7791	1.239401	0.000375	3.750046	1.270550	0.000150
  47	4.5770e+00	1.8352	1.412998	0.000436	4.358161	1.476585	0.000174
  48	4.6765e+00	1.8673	1.534112	0.000304	3.040577	1.030176	0.000122
  49	4.7760e+00	1.9074	1.683486	0.000375	3.750046	1.270550	0.000150
  50	4.8755e+00	1.9491	1.865157	0.000456	4.560866	1.545263	0.000183
  51	4.9750e+00	1.9892	1.933788	0.000172	1.722994	0.583766	0.000069
  52	5.0745e+00	2.0326	2.087199	0.000385	3.851398	1.304889	0.000154
  53	5.1740e+00	2.0775	2.236573	0.000375	3.750046	1.270550	0.000150
  54	5.2735e+00	2.1080	2.353650	0.000294	2.939225	0.995836	0.000118
  55	5.3730e+00	2.1481	2.515136	0.000405	4.054103	1.373567	0.000162
  56	5.4725e+00	2.1834	2.648361	0.000334	3.344635	1.133193	0.000134
  57	5.5720e+00	2.2267	2.785624	0.000345	3.445988	1.167532	0.000138
  58	5.6715e+00	2.2780	2.943072	0.000395	3.952751	1.339228	0.000158
  59	5.7710e+00	2.2989	3.076297	0.000334	3.344635	1.133193	0.000134
  60	5.8705e+00	2.3486	3.217597	0.000355	3.547340	1.201871	0.000142
  61	5.9700e+00	2.3855	3.354860	0.000345	3.445988	1.167532	0.000138
  62	6.0695e+00	2.4320	3.496160	0.000355	3.547340	1.201871	0.000142
  63	6.1690e+00	2.4609	3.625348	0.000324	3.243283	1.098854	0.000130
  64	6.2685e+00	2.5010	3.778759	0.000385	3.851398	1.304889	0.000154
  65	6.3680e+00	2.5379	3.903910	0.000314	3.141930	1.064515	0.000126
  66	6.4675e+00	2.5892	4.077507	0.000436	4.358161	1.476585	0.000174
  67	6.5670e+00	2.6229	4.198621	0.000304	3.040577	1.030176	0.000122
  68	6.6665e+00	2.6598	4.331847	0.000334	3.344635	1.133193	0.000134
  69	6.7660e+00	2.6999	4.461035	0.000324	3.243283	1.098854	0.000130
  70	6.8655e+00	2.7464	4.590223	0.000324	3.243283	1.098854	0.000130
  71	6.9650e+00	2.7914	4.731523	0.000355	3.547340	1.201871	0.000142
