»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 16:26:10
Configured:	06/13/25 01:30:53 PM
Executed:	06/13/25 04:25:42 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1922
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0032	-2.986510	0.000121	1.212411	0.410776	0.009679
   2	5.0000e-04	0.0417	-2.938112	0.000121	1.212411	0.410776	0.009679
   3	1.0000e-03	0.0545	-2.966344	-0.000071	-0.707240	-0.239619	-0.005646
   4	1.5000e-03	0.0898	-2.958278	0.000020	0.202069	0.068463	0.001613
   5	2.0000e-03	0.1267	-2.978443	-0.000051	-0.505171	-0.171157	-0.004033
   6	2.5000e-03	0.1797	-2.926013	0.000131	1.313446	0.445007	0.010486
   7	3.0000e-03	0.2102	-2.893748	0.000081	0.808274	0.273851	0.006453
   8	3.5000e-03	0.2583	-2.809053	0.000212	2.121720	0.718858	0.016939
   9	4.0000e-03	0.3080	-2.845351	-0.000091	-0.909308	-0.308082	-0.007260
  10	4.5000e-03	0.3385	-2.768722	0.000192	1.919651	0.650395	0.015326
  11	5.0000e-03	0.3786	-2.671928	0.000242	2.424823	0.821552	0.019359
  12	5.5000e-03	0.4123	-2.643696	0.000071	0.707240	0.239619	0.005646
  13	6.0000e-03	0.4476	-2.559001	0.000212	2.121720	0.718858	0.016939
  14	6.5000e-03	0.4941	-2.538836	0.000051	0.505171	0.171157	0.004033
  15	7.0000e-03	0.5438	-2.349280	0.000475	4.748611	1.608873	0.037911
  16	7.5000e-03	0.5775	-2.349280	0.000000	0.000000	0.000000	0.000000
  17	8.0000e-03	0.6112	-2.240386	0.000273	2.727925	0.924246	0.021779
  18	8.5000e-03	0.6561	-2.123426	0.000293	2.929994	0.992709	0.023392
  19	9.0000e-03	0.6978	-1.974202	0.000374	3.738268	1.266559	0.029845
  20	9.5000e-03	0.7379	-1.869341	0.000263	2.626891	0.890015	0.020972
  21	1.0000e-02	0.7716	-1.764481	0.000263	2.626891	0.890015	0.020972
  22	1.0500e-02	0.8085	-1.663653	0.000253	2.525857	0.855783	0.020165
  23	1.1000e-02	0.8599	-1.514429	0.000374	3.738268	1.266559	0.029845
  24	1.1500e-02	0.8968	-1.409568	0.000263	2.626891	0.890015	0.020972
  25	1.2000e-02	0.9321	-1.288575	0.000303	3.031028	1.026940	0.024199
  26	1.2500e-02	0.9818	-1.163549	0.000313	3.132062	1.061171	0.025005
  27	1.3000e-02	1.0075	-0.998192	0.000414	4.142405	1.403485	0.033071
  28	1.3500e-02	1.0556	-0.865100	0.000333	3.334131	1.129634	0.026618
  29	1.4000e-02	1.0941	-0.723941	0.000354	3.536199	1.198097	0.028232
  30	1.4500e-02	1.1310	-0.550518	0.000434	4.344474	1.471948	0.034685
  31	1.5000e-02	1.1775	-0.352896	0.000495	4.950679	1.677336	0.039524
  32	1.5500e-02	1.2176	-0.203671	0.000374	3.738268	1.266559	0.029845
  33	1.6000e-02	1.2513	-0.046381	0.000394	3.940337	1.335022	0.031458
  34	1.6500e-02	1.2930	0.155274	0.000505	5.051714	1.711567	0.040331
  35	1.7000e-02	1.3331	0.304499	0.000374	3.738268	1.266559	0.029845
  36	1.7500e-02	1.3684	0.445657	0.000354	3.536199	1.198097	0.028232
  37	1.8000e-02	1.4021	0.627147	0.000455	4.546542	1.540410	0.036298
  38	1.8500e-02	1.4486	0.804603	0.000445	4.445508	1.506179	0.035491
  39	1.9000e-02	1.5144	0.921563	0.000293	2.929994	0.992709	0.023392
  40	1.9500e-02	1.5449	1.099019	0.000445	4.445508	1.506179	0.035491
  41	2.0000e-02	1.5786	1.284542	0.000465	4.647576	1.574642	0.037105
  42	2.0500e-02	1.6171	1.498296	0.000535	5.354816	1.814261	0.042751
  43	2.1000e-02	1.6508	1.667686	0.000424	4.243439	1.437716	0.033878
  44	2.1500e-02	1.6925	1.804812	0.000344	3.435165	1.163865	0.027425
  45	2.2000e-02	1.7358	2.030665	0.000566	5.657919	1.916955	0.045171
  46	2.2500e-02	1.7759	2.200055	0.000424	4.243439	1.437716	0.033878
  47	2.3000e-02	1.8080	2.284750	0.000212	2.121720	0.718858	0.016939
  48	2.3500e-02	1.8513	2.490438	0.000515	5.152748	1.745798	0.041138
  49	2.4000e-02	1.8914	2.708226	0.000546	5.455851	1.848492	0.043557
  50	2.4500e-02	1.9443	2.780821	0.000182	1.818617	0.616164	0.014519
  51	2.5000e-02	1.9732	3.018774	0.000596	5.961022	2.019649	0.047591
  52	2.5500e-02	2.0181	3.244628	0.000566	5.657919	1.916955	0.045171
  53	2.6000e-02	2.0534	3.409985	0.000414	4.142405	1.403485	0.033071
  54	2.6500e-02	2.0871	3.615673	0.000515	5.152748	1.745798	0.041138
  55	2.7000e-02	2.1352	3.756831	0.000354	3.536199	1.198097	0.028232
  56	2.7500e-02	2.1850	3.942354	0.000465	4.647576	1.574642	0.037105
  57	2.8000e-02	2.2090	4.152075	0.000525	5.253782	1.780030	0.041944
  58	2.8500e-02	2.2572	4.325498	0.000434	4.344474	1.471948	0.034685
  59	2.9000e-02	2.2924	4.511021	0.000465	4.647576	1.574642	0.037105
  60	2.9500e-02	2.3310	4.636047	0.000313	3.132062	1.061171	0.025005
  61	3.0000e-02	2.3711	4.906264	0.000677	6.769296	2.293500	0.054044
  62	3.0500e-02	2.4144	5.063555	0.000394	3.940337	1.335022	0.031458
  63	3.1000e-02	2.4577	5.261177	0.000495	4.950679	1.677336	0.039524
  64	3.1500e-02	2.4994	5.462832	0.000505	5.051714	1.711567	0.040331
  65	3.2000e-02	2.5347	5.672553	0.000525	5.253782	1.780030	0.041944
  66	3.2500e-02	2.5780	5.805645	0.000333	3.334131	1.129634	0.026618
  67	3.3000e-02	2.6229	5.979069	0.000434	4.344474	1.471948	0.034685
  68	3.3500e-02	2.6550	6.164591	0.000465	4.647576	1.574642	0.037105
  69	3.4000e-02	2.6983	6.374312	0.000525	5.253782	1.780030	0.041944
  70	3.4500e-02	2.7400	6.543702	0.000424	4.243439	1.437716	0.033878
  71	3.5000e-02	2.7801	6.749391	0.000515	5.152748	1.745798	0.041138
  72	3.5500e-02	2.8026	6.918781	0.000424	4.243439	1.437716	0.033878
  73	3.6000e-02	2.8459	7.084138	0.000414	4.142405	1.403485	0.033071
  74	3.6500e-02	2.8956	7.265627	0.000455	4.546542	1.540410	0.036298
  75	3.7000e-02	2.9374	7.410819	0.000364	3.637234	1.232328	0.029038
  76	3.7500e-02	2.9694	7.677003	0.000667	6.668262	2.259268	0.053237
  77	3.8000e-02	3.0079	7.826228	0.000374	3.738268	1.266559	0.029845
  78	3.8500e-02	3.0609	8.080313	0.000637	6.365159	2.156574	0.050817
  79	3.9000e-02	3.0946	8.225505	0.000364	3.637234	1.232328	0.029038
  80	3.9500e-02	3.1443	8.390862	0.000414	4.142405	1.403485	0.033071
  81	4.0000e-02	3.1780	8.616715	0.000566	5.657919	1.916955	0.045171
  82	4.0500e-02	3.2229	8.769973	0.000384	3.839302	1.300791	0.030652
  83	4.1000e-02	3.2710	8.935330	0.000414	4.142405	1.403485	0.033071
  84	4.1500e-02	3.3079	9.141018	0.000515	5.152748	1.745798	0.041138
  85	4.2000e-02	3.3336	9.338640	0.000495	4.950679	1.677336	0.039524
  86	4.2500e-02	3.3753	9.499964	0.000404	4.041371	1.369254	0.032265
  87	4.3000e-02	3.4170	9.673387	0.000434	4.344474	1.471948	0.034685
  88	4.3500e-02	3.4667	9.883108	0.000525	5.253782	1.780030	0.041944
  89	4.4000e-02	3.4924	10.092829	0.000525	5.253782	1.780030	0.041944
  90	4.4500e-02	3.5245	10.221888	0.000323	3.233097	1.095403	0.025812
  91	4.5000e-02	3.5855	10.399345	0.000445	4.445508	1.506179	0.035491
  92	4.5500e-02	3.6256	10.560669	0.000404	4.041371	1.369254	0.032265
  93	4.6000e-02	3.6577	10.742158	0.000455	4.546542	1.540410	0.036298
  94	4.6500e-02	3.7010	11.012376	0.000677	6.769296	2.293500	0.054044
  95	4.7000e-02	3.7234	11.193865	0.000455	4.546542	1.540410	0.036298
  96	4.7500e-02	3.7716	11.355189	0.000404	4.041371	1.369254	0.032265
  97	4.8000e-02	3.8117	11.528612	0.000434	4.344474	1.471948	0.034685
  98	4.8500e-02	3.8550	11.669771	0.000354	3.536199	1.198097	0.028232
  99	4.9000e-02	3.8983	11.891591	0.000556	5.556885	1.882724	0.044364
 100	4.9500e-02	3.9320	12.060981	0.000424	4.243439	1.437716	0.033878
 101	5.0000e-02	3.9721	12.274736	0.000535	5.354816	1.814261	0.042751
 102	5.0500e-02	4.0106	12.440093	0.000414	4.142405	1.403485	0.033071
 103	5.1000e-02	4.0507	12.674012	0.000586	5.859988	1.985418	0.046784
 104	5.1500e-02	4.0988	12.827270	0.000384	3.839302	1.300791	0.030652
 105	5.2000e-02	4.1389	13.000693	0.000434	4.344474	1.471948	0.034685
 106	5.2500e-02	4.1710	13.214448	0.000535	5.354816	1.814261	0.042751
 107	5.3000e-02	4.2191	13.363672	0.000374	3.738268	1.266559	0.029845
 108	5.3500e-02	4.2576	13.557261	0.000485	4.849645	1.643104	0.038718
 109	5.4000e-02	4.2945	13.738750	0.000455	4.546542	1.540410	0.036298
 110	5.4500e-02	4.3427	13.932339	0.000485	4.849645	1.643104	0.038718
 111	5.5000e-02	4.3796	14.101729	0.000424	4.243439	1.437716	0.033878
 112	5.5500e-02	4.4116	14.323550	0.000556	5.556885	1.882724	0.044364
 113	5.6000e-02	4.4566	14.521172	0.000495	4.950679	1.677336	0.039524
 114	5.6500e-02	4.4967	14.630065	0.000273	2.727925	0.924246	0.021779
 115	5.7000e-02	4.5352	14.819621	0.000475	4.748611	1.608873	0.037911
 116	5.7500e-02	4.5705	15.029342	0.000525	5.253782	1.780030	0.041944
 117	5.8000e-02	4.6138	15.186633	0.000394	3.940337	1.335022	0.031458
 118	5.8500e-02	4.6507	15.384255	0.000495	4.950679	1.677336	0.039524
 119	5.9000e-02	4.6940	15.618174	0.000586	5.859988	1.985418	0.046784
 120	5.9500e-02	4.7405	15.735134	0.000293	2.929994	0.992709	0.023392
 121	6.0000e-02	4.7694	15.960988	0.000566	5.657919	1.916955	0.045171
 122	6.0500e-02	4.8159	16.102146	0.000354	3.536199	1.198097	0.028232
 123	6.1000e-02	4.8496	16.279603	0.000445	4.445508	1.506179	0.035491
 124	6.1500e-02	4.8945	16.501423	0.000556	5.556885	1.882724	0.044364
 125	6.2000e-02	4.9282	16.674846	0.000434	4.344474	1.471948	0.034685
 126	6.2500e-02	4.9747	16.860369	0.000465	4.647576	1.574642	0.037105
 127	6.3000e-02	5.0245	17.066057	0.000515	5.152748	1.745798	0.041138
 128	6.3500e-02	5.0533	17.316109	0.000626	6.264125	2.122343	0.050010
 129	6.4000e-02	5.1015	17.433069	0.000293	2.929994	0.992709	0.023392
 130	6.4500e-02	5.1287	17.602459	0.000424	4.243439	1.437716	0.033878
 131	6.5000e-02	5.1769	17.804114	0.000505	5.051714	1.711567	0.040331
 132	6.5500e-02	5.2202	17.977537	0.000434	4.344474	1.471948	0.034685
 133	6.6000e-02	5.2507	18.146927	0.000424	4.243439	1.437716	0.033878
 134	6.6500e-02	5.2972	18.352615	0.000515	5.152748	1.745798	0.041138
 135	6.7000e-02	5.3405	18.562336	0.000525	5.253782	1.780030	0.041944
 136	6.7500e-02	5.3662	18.800289	0.000596	5.961022	2.019649	0.047591
 137	6.8000e-02	5.4159	18.917249	0.000293	2.929994	0.992709	0.023392
 138	6.8500e-02	5.4560	19.151169	0.000586	5.859988	1.985418	0.046784
 139	6.9000e-02	5.5009	19.256029	0.000263	2.626891	0.890015	0.020972
 140	6.9500e-02	5.5266	19.473817	0.000546	5.455851	1.848492	0.043557
 141	7.0000e-02	5.5683	19.606909	0.000333	3.334131	1.129634	0.026618
 142	7.0500e-02	5.6196	19.780332	0.000434	4.344474	1.471948	0.034685
 143	7.1000e-02	5.6533	20.030384	0.000626	6.264125	2.122343	0.050010
 144	7.1500e-02	5.6982	20.171543	0.000354	3.536199	1.198097	0.028232
 145	7.2000e-02	5.7399	20.316734	0.000364	3.637234	1.232328	0.029038
 146	7.2500e-02	5.7801	20.498224	0.000455	4.546542	1.540410	0.036298
 147	7.3000e-02	5.8137	20.699879	0.000505	5.051714	1.711567	0.040331
