»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/16/2025 - 10:56:12
Configured:	06/16/25 10:13:01 AM
Executed:	06/16/25 10:54:57 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2190
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0465	-1.742150	0.000048	0.484716	0.164226	0.382290
   2	1.0000e-04	0.5839	-1.359860	0.000048	0.484716	0.164226	0.382290
   3	2.0000e-04	1.5192	2.164490	0.000447	4.468619	1.514009	3.524350
   4	3.0000e-04	2.1481	6.325990	0.000528	5.276478	1.787719	4.161500
   5	4.0000e-04	3.0015	9.548149	0.000409	4.085462	1.384192	3.222159
   6	5.0000e-04	3.7956	13.025168	0.000441	4.408606	1.493676	3.477019
   7	6.0000e-04	4.5721	16.473061	0.000437	4.371676	1.481164	3.447892
   8	7.0000e-04	5.3710	19.855417	0.000429	4.288581	1.453011	3.382357
   9	8.0000e-04	6.1988	23.223211	0.000427	4.270116	1.446754	3.367793
  10	9.0000e-04	7.0297	26.885914	0.000464	4.644040	1.573443	3.662703
  11	1.0000e-03	7.7565	30.428468	0.000449	4.491700	1.521829	3.542555
  12	1.1000e-03	8.5666	33.180957	0.000349	3.489954	1.182429	2.752488
  13	1.2000e-03	9.4201	36.414038	0.000410	4.099311	1.388884	3.233082
  14	1.3000e-03	10.1724	39.486922	0.000390	3.896192	1.320066	3.072884
  15	1.4000e-03	10.9874	42.607137	0.000396	3.956205	1.340398	3.120215
  16	1.5000e-03	11.7927	45.887550	0.000416	4.159324	1.409217	3.280413
  17	1.6000e-03	12.6269	48.483482	0.000329	3.291452	1.115174	2.595932
  18	1.7000e-03	13.4162	51.235970	0.000349	3.489954	1.182429	2.752488
  19	1.8000e-03	14.1943	53.970254	0.000347	3.466873	1.174608	2.734284
  20	1.9000e-03	15.0317	56.344093	0.000301	3.009855	1.019766	2.373839
  21	2.0000e-03	15.8514	59.395132	0.000387	3.868494	1.310681	3.051039
  22	2.1000e-03	16.6263	61.743485	0.000298	2.977540	1.008818	2.348353
  23	2.2000e-03	17.4204	64.164656	0.000307	3.069867	1.040099	2.421170
  24	2.3000e-03	18.2321	66.276353	0.000268	2.677478	0.907154	2.111697
  25	2.4000e-03	19.0342	68.686601	0.000306	3.056018	1.035407	2.410248
  26	2.5000e-03	19.8251	71.406322	0.000345	3.448407	1.168352	2.719721
  27	2.6000e-03	19.5700	72.385712	-0.000124	-1.241796	-0.420732	0.979391
  28	2.7000e-03	18.3604	68.755777	0.000460	4.602493	1.559367	-3.629935
  29	2.8000e-03	17.8054	65.413470	0.000424	4.237802	1.435806	-3.342307
  30	2.9000e-03	16.9680	64.710784	0.000089	0.890954	0.301863	-0.702686
  31	3.0000e-03	16.1803	63.068757	0.000208	2.081970	0.705391	-1.642027
  32	3.1000e-03	15.4391	60.217966	0.000361	3.614595	1.224658	-2.850792
