»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 16:27:6
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 04:26:42 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0337	-2.946766	0.000106	1.060882	0.359437	0.008638
   2	5.0000e-04	0.0578	-2.903576	0.000106	1.060882	0.359437	0.008638
   3	1.0000e-03	0.1283	-2.906997	-0.000008	-0.084030	-0.028470	-0.000684
   4	1.5000e-03	0.1925	-2.862951	0.000108	1.081890	0.366554	0.008809
   5	2.0000e-03	0.2086	-2.825320	0.000092	0.924333	0.313173	0.007526
   6	2.5000e-03	0.2198	-2.728249	0.000238	2.384359	0.807843	0.019414
   7	3.0000e-03	0.2888	-2.652560	0.000186	1.859170	0.629904	0.015138
   8	3.5000e-03	0.3770	-2.577298	0.000185	1.848666	0.626345	0.015052
   9	4.0000e-03	0.3706	-2.491345	-0.000211	-2.111261	-0.715315	0.017191
  10	4.5000e-03	0.3962	-2.379307	0.000275	2.751992	0.932400	0.022408
  11	5.0000e-03	0.4492	-2.325426	0.000132	1.323477	0.448406	0.010776
  12	5.5000e-03	0.4909	-2.225790	0.000245	2.447382	0.829195	0.019927
  13	6.0000e-03	0.5358	-2.091088	0.000331	3.308692	1.121015	0.026940
  14	6.5000e-03	0.5503	-2.046615	0.000109	1.092394	0.370113	0.008895
  15	7.0000e-03	0.6112	-1.948261	0.000242	2.415871	0.818519	0.019671
  16	7.5000e-03	0.6401	-1.844348	0.000255	2.552420	0.864783	0.020783
  17	8.0000e-03	0.6802	-1.768658	0.000186	1.859170	0.629904	0.015138
  18	8.5000e-03	0.7315	-1.605733	0.000400	4.001942	1.355895	0.032585
  19	9.0000e-03	0.7620	-1.559122	0.000114	1.144913	0.387907	0.009322
  20	9.5000e-03	0.8021	-1.436821	0.000300	3.004083	1.017811	0.024460
  21	1.0000e-02	0.8342	-1.330342	0.000262	2.615442	0.886136	0.021296
  22	1.0500e-02	0.8823	-1.249093	0.000200	1.995719	0.676168	0.016250
  23	1.1000e-02	0.9385	-1.127220	0.000299	2.993579	1.014252	0.024375
  24	1.1500e-02	0.9593	-1.058800	0.000168	1.680606	0.569405	0.013684
  25	1.2000e-02	0.9930	-0.953177	0.000259	2.594435	0.879018	0.021125
  26	1.2500e-02	1.0171	-0.859099	0.000231	2.310833	0.782931	0.018816
  27	1.3000e-02	1.1085	-0.770581	0.000217	2.174284	0.736667	0.017704
  28	1.3500e-02	1.1631	-0.678641	0.000226	2.258314	0.765137	0.018388
  29	1.4000e-02	1.1727	-0.575156	0.000254	2.541916	0.861224	0.020697
  30	1.4500e-02	1.2240	-0.470815	0.000256	2.562924	0.868342	0.020868
  31	1.5000e-02	1.2609	-0.397264	0.000181	1.806651	0.612110	0.014710
  32	1.5500e-02	1.2882	-0.277529	0.000294	2.941060	0.996458	0.023947
  33	1.6000e-02	1.3219	-0.167629	0.000270	2.699473	0.914606	0.021980
  34	1.6500e-02	1.3556	-0.061150	0.000262	2.615442	0.886136	0.021296
  35	1.7000e-02	1.4246	0.008125	0.000170	1.701613	0.576522	0.013855
  36	1.7500e-02	1.4326	0.158221	0.000369	3.686829	1.249131	0.030019
  37	1.8000e-02	1.4791	0.224076	0.000162	1.617583	0.548052	0.013171
  38	1.8500e-02	1.5497	0.294206	0.000172	1.722621	0.583640	0.014026
  39	1.9000e-02	1.5593	0.449862	0.000382	3.823378	1.295395	0.031131
  40	1.9500e-02	1.6219	0.564893	0.000283	2.825518	0.957311	0.023006
  41	2.0000e-02	1.6411	0.637589	0.000179	1.785643	0.604992	0.014539
  42	2.0500e-02	1.6957	0.750910	0.000278	2.783503	0.943076	0.022664
  43	2.1000e-02	1.7181	0.816764	0.000162	1.617583	0.548052	0.013171
  44	2.1500e-02	1.7887	0.941203	0.000306	3.056601	1.035605	0.024888
  45	2.2000e-02	1.8160	0.995512	0.000133	1.333981	0.451965	0.010862
  46	2.2500e-02	1.8625	1.126793	0.000322	3.224662	1.092545	0.026256
  47	2.3000e-02	1.8657	1.250804	0.000305	3.046098	1.032046	0.024802
  48	2.3500e-02	1.9347	1.353434	0.000252	2.520908	0.854107	0.020526
  49	2.4000e-02	1.9604	1.441952	0.000217	2.174284	0.736667	0.017704
  50	2.4500e-02	2.0069	1.544155	0.000251	2.510405	0.850548	0.020440
  51	2.5000e-02	2.0229	1.627969	0.000206	2.058742	0.697521	0.016763
  52	2.5500e-02	2.0614	1.763954	0.000334	3.340204	1.131692	0.027197
  53	2.6000e-02	2.1320	1.870433	0.000262	2.615442	0.886136	0.021296
  54	2.6500e-02	2.1898	1.950399	0.000196	1.964208	0.665492	0.015993
  55	2.7000e-02	2.2010	2.036779	0.000212	2.121765	0.718873	0.017276
  56	2.7500e-02	2.2331	2.134278	0.000239	2.394863	0.811402	0.019500
  57	2.8000e-02	2.3037	2.265131	0.000321	3.214158	1.088986	0.026171
  58	2.8500e-02	2.3310	2.383156	0.000290	2.899045	0.982223	0.023605
  59	2.9000e-02	2.3614	2.443023	0.000147	1.470530	0.498229	0.011974
  60	2.9500e-02	2.3935	2.539667	0.000237	2.373855	0.804284	0.019329
  61	3.0000e-02	2.4368	2.649139	0.000269	2.688969	0.911047	0.021894
  62	3.0500e-02	2.5251	2.788544	0.000342	3.424234	1.160162	0.027881
  63	3.1000e-02	2.5251	2.839432	-0.000125	-1.249950	-0.423495	0.010177
  64	3.1500e-02	2.5716	2.969858	0.000320	3.203654	1.085428	0.026085
  65	3.2000e-02	2.6277	3.060514	0.000223	2.226802	0.754461	0.018131
  66	3.2500e-02	2.6438	3.151171	0.000223	2.226802	0.754461	0.018131
  67	3.3000e-02	2.6727	3.266629	0.000284	2.836022	0.960870	0.023092
  68	3.3500e-02	2.7368	3.367121	0.000247	2.468390	0.836313	0.020098
  69	3.4000e-02	2.7817	3.461199	0.000231	2.310833	0.782931	0.018816
  70	3.4500e-02	2.7882	3.580934	0.000294	2.941060	0.996458	0.023947
  71	3.5000e-02	2.8652	3.662610	0.000201	2.006223	0.679727	0.016335
  72	3.5500e-02	2.8796	3.786622	0.000305	3.046098	1.032046	0.024802
  73	3.6000e-02	2.9454	3.867443	0.000199	1.985215	0.672609	0.016164
  74	3.6500e-02	2.9791	3.973066	0.000259	2.594435	0.879018	0.021125
