»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 17:1:28
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 05:00:30 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0016	-4.186510	0.000243	2.432511	0.824157	0.000097
   2	9.9500e-02	0.0337	-4.089619	0.000243	2.432511	0.824157	0.000097
   3	1.9900e-01	0.0914	-3.944282	0.000365	3.648766	1.236235	0.000146
   4	2.9850e-01	0.1299	-3.831242	0.000284	2.837929	0.961516	0.000114
   5	3.9800e-01	0.1572	-3.698016	0.000334	3.344702	1.133216	0.000134
   6	4.9750e-01	0.1989	-3.597088	0.000253	2.533865	0.858497	0.000101
   7	5.9700e-01	0.2438	-3.516345	0.000203	2.027092	0.686797	0.000081
   8	6.9650e-01	0.2775	-3.350823	0.000416	4.155539	1.407935	0.000166
   9	7.9600e-01	0.3160	-3.257969	0.000233	2.331156	0.789817	0.000093
  10	8.9550e-01	0.3626	-3.153003	0.000264	2.635220	0.892837	0.000105
  11	9.9500e-01	0.3898	-3.003629	0.000375	3.750121	1.270575	0.000150
  12	1.0945e+00	0.4460	-2.926923	0.000193	1.925738	0.652458	0.000077
  13	1.1940e+00	0.4684	-2.801772	0.000314	3.141993	1.064536	0.000126
  14	1.2935e+00	0.5069	-2.696807	0.000264	2.635220	0.892837	0.000105
  15	1.3930e+00	0.5551	-2.547433	0.000375	3.750121	1.270575	0.000150
  16	1.4925e+00	0.5968	-2.446504	0.000253	2.533865	0.858497	0.000101
  17	1.5920e+00	0.6353	-2.341539	0.000264	2.635220	0.892837	0.000105
  18	1.6915e+00	0.6674	-2.224462	0.000294	2.939284	0.995856	0.000118
  19	1.7910e+00	0.7107	-2.119496	0.000264	2.635220	0.892837	0.000105
  20	1.8905e+00	0.7588	-1.982234	0.000345	3.446057	1.167556	0.000138
  21	1.9900e+00	0.7941	-1.869194	0.000284	2.837929	0.961516	0.000114
  22	2.0895e+00	0.8390	-1.760191	0.000274	2.736575	0.927177	0.000110
  23	2.1890e+00	0.8743	-1.655226	0.000264	2.635220	0.892837	0.000105
  24	2.2885e+00	0.9144	-1.538149	0.000294	2.939284	0.995856	0.000118
  25	2.3880e+00	0.9513	-1.429146	0.000274	2.736575	0.927177	0.000110
  26	2.4875e+00	0.9930	-1.283809	0.000365	3.648766	1.236235	0.000146
  27	2.5870e+00	1.0299	-1.158658	0.000314	3.141993	1.064536	0.000126
  28	2.6865e+00	1.0716	-1.073878	0.000213	2.128447	0.721137	0.000085
  29	2.7860e+00	1.1165	-0.940653	0.000334	3.344702	1.133216	0.000134
  30	2.8855e+00	1.1470	-0.823576	0.000294	2.939284	0.995856	0.000118
  31	2.9850e+00	1.1839	-0.698424	0.000314	3.141993	1.064536	0.000126
  32	3.0845e+00	1.2208	-0.637867	0.000152	1.520319	0.515098	0.000061
  33	3.1840e+00	1.2722	-0.464271	0.000436	4.358248	1.476615	0.000174
  34	3.2835e+00	1.3139	-0.339119	0.000314	3.141993	1.064536	0.000126
  35	3.3830e+00	1.3572	-0.278562	0.000152	1.520319	0.515098	0.000061
  36	3.4825e+00	1.3877	-0.100928	0.000446	4.459603	1.510954	0.000179
  37	3.5820e+00	1.4326	-0.008074	0.000233	2.331156	0.789817	0.000093
  38	3.6815e+00	1.4711	0.141300	0.000375	3.750121	1.270575	0.000150
  39	3.7810e+00	1.5144	0.250302	0.000274	2.736575	0.927177	0.000110
  40	3.8805e+00	1.5449	0.355268	0.000264	2.635220	0.892837	0.000105
  41	3.9800e+00	1.5962	0.472345	0.000294	2.939284	0.995856	0.000118
  42	4.0795e+00	1.6363	0.577310	0.000264	2.635220	0.892837	0.000105
  43	4.1790e+00	1.6668	0.718610	0.000355	3.547412	1.201896	0.000142
  44	4.2785e+00	1.7101	0.872021	0.000385	3.851475	1.304915	0.000154
  45	4.3780e+00	1.7486	0.968913	0.000243	2.432511	0.824157	0.000097
  46	4.4775e+00	1.7887	1.090027	0.000304	3.040638	1.030196	0.000122
  47	4.5770e+00	1.8272	1.154621	0.000162	1.621674	0.549438	0.000065
  48	4.6765e+00	1.8721	1.336292	0.000456	4.560958	1.545294	0.000183
  49	4.7760e+00	1.9122	1.437220	0.000253	2.533865	0.858497	0.000101
  50	4.8755e+00	1.9507	1.566409	0.000324	3.243348	1.098876	0.000130
  51	4.9750e+00	1.9892	1.635040	0.000172	1.723028	0.583778	0.000069
  52	5.0745e+00	2.0278	1.816711	0.000456	4.560958	1.545294	0.000183
  53	5.1740e+00	2.0743	1.893417	0.000193	1.925738	0.652458	0.000077
  54	5.2735e+00	2.1048	2.018568	0.000314	3.141993	1.064536	0.000126
  55	5.3730e+00	2.1561	2.155830	0.000345	3.446057	1.167556	0.000138
  56	5.4725e+00	2.1946	2.260796	0.000264	2.635220	0.892837	0.000105
  57	5.5720e+00	2.2267	2.373836	0.000284	2.837929	0.961516	0.000114
  58	5.6715e+00	2.2700	2.498987	0.000314	3.141993	1.064536	0.000126
  59	5.7710e+00	2.3037	2.624138	0.000314	3.141993	1.064536	0.000126
  60	5.8705e+00	2.3454	2.749289	0.000314	3.141993	1.064536	0.000126
  61	5.9700e+00	2.3871	2.910775	0.000405	4.054185	1.373595	0.000162
  62	6.0695e+00	2.4304	3.007666	0.000243	2.432511	0.824157	0.000097
  63	6.1690e+00	2.4737	3.052075	0.000111	1.114901	0.377739	0.000045
  64	6.2685e+00	2.5138	3.221634	0.000426	4.256894	1.442275	0.000170
  65	6.3680e+00	2.5539	3.346786	0.000314	3.141993	1.064536	0.000126
  66	6.4675e+00	2.5844	3.459825	0.000284	2.837929	0.961516	0.000114
  67	6.5670e+00	2.6325	3.593051	0.000334	3.344702	1.133216	0.000134
  68	6.6665e+00	2.6759	3.734351	0.000355	3.547412	1.201896	0.000142
  69	6.7660e+00	2.7112	3.847390	0.000284	2.837929	0.961516	0.000114
  70	6.8655e+00	2.7529	3.948319	0.000253	2.533865	0.858497	0.000101
