»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 17:42:9
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 05:41:47 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0096	-4.446491	0.001252	12.523747	4.243160	0.100021
   2	5.0000e-04	0.0353	-3.946387	0.001252	12.523747	4.243160	0.100021
   3	1.0000e-03	0.0642	-4.071413	-0.000313	-3.130937	-1.060790	-0.025005
   4	1.5000e-03	0.0946	-4.144009	-0.000182	-1.817963	-0.615943	-0.014519
   5	2.0000e-03	0.1315	-3.744732	0.001000	9.998798	3.387684	0.079855
   6	2.5000e-03	0.1717	-3.857659	-0.000283	-2.827943	-0.958133	-0.022585
   7	3.0000e-03	0.2102	-3.591474	0.000667	6.665865	2.258456	0.053237
   8	3.5000e-03	0.2599	-3.518879	0.000182	1.817963	0.615943	0.014519
   9	4.0000e-03	0.3000	-3.651971	-0.000333	-3.332933	-1.129228	-0.026618
  10	4.5000e-03	0.3385	-3.325290	0.000818	8.180835	2.771742	0.065336
  11	5.0000e-03	0.3786	-3.200264	0.000313	3.130937	1.060790	0.025005
  12	5.5000e-03	0.4187	-3.107502	0.000232	2.322953	0.787038	0.018552
  13	6.0000e-03	0.4476	-2.772755	0.000838	8.382831	2.840180	0.066949
  14	6.5000e-03	0.4989	-2.659829	0.000283	2.827943	0.958133	0.022585
  15	7.0000e-03	0.5374	-2.599332	0.000151	1.514969	0.513286	0.012099
  16	7.5000e-03	0.5759	-2.651762	-0.000131	-1.312973	-0.444847	-0.010486
  17	8.0000e-03	0.6192	-2.462207	0.000475	4.746904	1.608295	0.037911
  18	8.5000e-03	0.6529	-2.349280	0.000283	2.827943	0.958133	0.022585
  19	9.0000e-03	0.6930	-2.075029	0.000687	6.867861	2.326894	0.054850
  20	9.5000e-03	0.7347	-2.147625	-0.000182	-1.817963	-0.615943	-0.014519
  21	1.0000e-02	0.7700	-1.833043	0.000788	7.877841	2.669085	0.062916
  22	1.0500e-02	0.8133	-1.780613	0.000131	1.312973	0.444847	0.010486
  23	1.1000e-02	0.8551	-1.643488	0.000343	3.433931	1.163447	0.027425
  24	1.1500e-02	0.8903	-1.542660	0.000252	2.524949	0.855476	0.020165
