»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 19:4:6
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 07:02:51 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0642	-4.916978	0.000068	0.678354	0.229833	0.535206
   2	1.0000e-04	0.6096	-4.381772	0.000068	0.678354	0.229833	0.535206
   3	2.0000e-04	1.5320	-1.006697	0.000428	4.277782	1.449352	3.375075
   4	3.0000e-04	2.1914	2.936352	0.000500	4.997668	1.693256	3.943049
   5	4.0000e-04	3.0111	4.836879	0.000241	2.408848	0.816140	1.900528
   6	5.0000e-04	3.8437	7.527473	0.000341	3.410228	1.155416	2.690594
   7	6.0000e-04	4.5961	10.407392	0.000365	3.650190	1.236718	2.879918
   8	7.0000e-04	5.4031	13.199930	0.000354	3.539438	1.199194	2.792538
   9	8.0000e-04	6.2100	15.919650	0.000345	3.447145	1.167924	2.719721
  10	9.0000e-04	7.0201	18.857822	0.000372	3.724024	1.261734	2.938172
  11	1.0000e-03	7.8030	21.868812	0.000382	3.816317	1.293003	3.010989
  12	1.1000e-03	8.6211	24.391926	0.000320	3.197954	1.083496	2.523114
  13	1.2000e-03	9.4233	27.282767	0.000366	3.664034	1.241408	2.890841
  14	1.3000e-03	10.2061	30.137200	0.000362	3.617887	1.225773	2.854432
  15	1.4000e-03	10.9810	32.962505	0.000358	3.580970	1.213265	2.825306
  16	1.5000e-03	11.8264	35.802374	0.000360	3.599429	1.219519	2.839869
  17	1.6000e-03	12.6285	38.642243	0.000360	3.599429	1.219519	2.839869
  18	1.7000e-03	13.4451	41.507598	0.000363	3.631731	1.230464	2.865355
  19	1.8000e-03	14.1862	44.245523	0.000347	3.470218	1.175742	2.737925
  20	1.9000e-03	14.9996	46.841455	0.000329	3.290247	1.114766	2.595932
  21	2.0000e-03	15.8113	49.630352	0.000353	3.534823	1.197631	2.788897
  22	2.1000e-03	16.6199	52.313664	0.000340	3.400999	1.152290	2.683312
  23	2.2000e-03	17.4236	54.989694	0.000339	3.391769	1.149163	2.676030
  24	2.3000e-03	18.2032	57.581985	0.000329	3.285632	1.113202	2.592291
  25	2.4000e-03	19.0118	60.046846	0.000312	3.124119	1.058480	2.464861
