»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 19:53:16
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 07:52:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0160	-5.868158	0.000555	5.552433	1.881215	0.044364
   2	5.0000e-04	0.0337	-5.646338	0.000555	5.552433	1.881215	0.044364
   3	1.0000e-03	0.0626	-5.493080	0.000384	3.836226	1.299749	0.030652
   4	1.5000e-03	0.0979	-5.634239	-0.000353	-3.533366	-1.197137	-0.028232
   5	2.0000e-03	0.1476	-5.476948	0.000394	3.937180	1.333953	0.031458
   6	2.5000e-03	0.1749	-5.323690	0.000384	3.836226	1.299749	0.030652
   7	3.0000e-03	0.2134	-5.323690	0.000000	0.000000	0.000000	0.000000
   8	3.5000e-03	0.2454	-4.980877	0.000858	8.581033	2.907333	0.068563
   9	4.0000e-03	0.2856	-4.759056	0.000555	5.552433	1.881215	0.044364
  10	4.5000e-03	0.3401	-4.742924	0.000040	0.403813	0.136816	0.003226
  11	5.0000e-03	0.3674	-4.589666	0.000384	3.836226	1.299749	0.030652
  12	5.5000e-03	0.4123	-4.541269	0.000121	1.211440	0.410447	0.009679
  13	6.0000e-03	0.4556	-4.412210	0.000323	3.230506	1.094525	0.025812
  14	6.5000e-03	0.5037	-4.186356	0.000565	5.653386	1.915419	0.045171
  15	7.0000e-03	0.5358	-4.109727	0.000192	1.918113	0.649874	0.015326
  16	7.5000e-03	0.5743	-3.666087	0.001110	11.104866	3.762430	0.088728
  17	8.0000e-03	0.6144	-3.593491	0.000182	1.817160	0.615670	0.014519
  18	8.5000e-03	0.6545	-3.674153	-0.000202	-2.019067	-0.684078	-0.016132
  19	9.0000e-03	0.6994	-3.569292	0.000262	2.624786	0.889302	0.020972
  20	9.5000e-03	0.7428	-3.149850	0.001050	10.499146	3.557207	0.083888
  21	1.0000e-02	0.7732	-3.222446	-0.000182	-1.817160	-0.615670	-0.014519
  22	1.0500e-02	0.8069	-2.980460	0.000606	6.057200	2.052235	0.048397
  23	1.1000e-02	0.8518	-2.887699	0.000232	2.321926	0.786690	0.018552
  24	1.1500e-02	0.8984	-2.923996	-0.000091	-0.908580	-0.307835	-0.007260
  25	1.2000e-02	0.9369	-2.657812	0.000666	6.662919	2.257458	0.053237
  26	1.2500e-02	0.9834	-2.581183	0.000192	1.918113	0.649874	0.015326
  27	1.3000e-02	1.0075	-2.444058	0.000343	3.432413	1.162933	0.027425
  28	1.3500e-02	1.0572	-2.274668	0.000424	4.240040	1.436564	0.033878
  29	1.4000e-02	1.0893	-1.996384	0.000697	6.965779	2.360070	0.055657
  30	1.4500e-02	1.1390	-1.814894	0.000454	4.542900	1.539176	0.036298
  31	1.5000e-02	1.1759	-1.730199	0.000212	2.120020	0.718282	0.016939
  32	1.5500e-02	1.2224	-1.718100	0.000030	0.302860	0.102612	0.002420
  33	1.6000e-02	1.2401	-1.423684	0.000737	7.369593	2.496886	0.058883
  34	1.6500e-02	1.2834	-1.048606	0.000939	9.388659	3.180964	0.075016
  35	1.7000e-02	1.3379	-1.201863	-0.000384	-3.836226	-1.299749	-0.030652
  36	1.7500e-02	1.3716	-0.963911	0.000596	5.956246	2.018031	0.047591
  37	1.8000e-02	1.4101	-0.976010	-0.000030	-0.302860	-0.102612	-0.002420
  38	1.8500e-02	1.4599	-0.665461	0.000777	7.773406	2.633701	0.062110
  39	1.9000e-02	1.4967	-0.794520	-0.000323	-3.230506	-1.094525	-0.025812
  40	1.9500e-02	1.5385	-0.375078	0.001050	10.499146	3.557207	0.083888
  41	2.0000e-02	1.5738	-0.342813	0.000081	0.807627	0.273631	0.006453
  42	2.0500e-02	1.6106	-0.217787	0.000313	3.129553	1.060321	0.025005
  43	2.1000e-02	1.6508	0.092761	0.000777	7.773406	2.633701	0.062110
  44	2.1500e-02	1.7005	0.266185	0.000434	4.340993	1.470768	0.034685
  45	2.2000e-02	1.7229	0.237953	-0.000071	-0.706673	-0.239427	-0.005646
  46	2.2500e-02	1.7823	0.492038	0.000636	6.360059	2.154846	0.050817
  47	2.3000e-02	1.8128	0.899381	0.001020	10.196286	3.454595	0.081469
  48	2.3500e-02	1.8529	0.629163	-0.000676	-6.763873	-2.291662	-0.054044
  49	2.4000e-02	1.9010	0.963911	0.000838	8.379126	2.838925	0.066949
  50	2.4500e-02	1.9315	1.117168	0.000384	3.836226	1.299749	0.030652
  51	2.5000e-02	1.9636	1.181698	0.000162	1.615253	0.547263	0.012906
  52	2.5500e-02	2.0165	1.355121	0.000434	4.340993	1.470768	0.034685
  53	2.6000e-02	2.0598	1.617273	0.000656	6.561966	2.223254	0.052430
  54	2.6500e-02	2.1015	1.637438	0.000050	0.504767	0.171020	0.004033
  55	2.7000e-02	2.1368	1.939920	0.000757	7.571499	2.565293	0.060496
  56	2.7500e-02	2.1818	2.060913	0.000303	3.028600	1.026117	0.024199
  57	2.8000e-02	2.2090	2.052847	-0.000020	-0.201907	-0.068408	-0.001613
  58	2.8500e-02	2.2523	2.024615	-0.000071	-0.706673	-0.239427	-0.005646
  59	2.9000e-02	2.2860	2.242403	0.000545	5.451480	1.847011	0.043557
  60	2.9500e-02	2.3277	2.750573	0.001272	12.720119	4.309693	0.101634
  61	3.0000e-02	2.3775	2.839301	0.000222	2.220973	0.752486	0.017746
  62	3.0500e-02	2.4096	2.803004	-0.000091	-0.908580	-0.307835	-0.007260
  63	3.1000e-02	2.4465	2.686044	-0.000293	-2.927646	-0.991913	-0.023392
  64	3.1500e-02	2.4962	2.923996	0.000596	5.956246	2.018031	0.047591
  65	3.2000e-02	2.5299	3.109519	0.000464	4.643853	1.573380	0.037105
  66	3.2500e-02	2.5700	3.395869	0.000717	7.167686	2.428478	0.057270
  67	3.3000e-02	2.6165	3.553160	0.000394	3.937180	1.333953	0.031458
  68	3.3500e-02	2.6598	3.678186	0.000313	3.129553	1.060321	0.025005
  69	3.4000e-02	2.6967	3.944370	0.000666	6.662919	2.257458	0.053237
  70	3.4500e-02	2.7400	4.004867	0.000151	1.514300	0.513059	0.012099
  71	3.5000e-02	2.7785	4.291217	0.000717	7.167686	2.428478	0.057270
  72	3.5500e-02	2.8154	4.545302	0.000636	6.360059	2.154846	0.050817
  73	3.6000e-02	2.8555	4.480773	-0.000162	-1.615253	-0.547263	-0.012906
  74	3.6500e-02	2.9021	4.634030	0.000384	3.836226	1.299749	0.030652
  75	3.7000e-02	2.9406	4.746957	0.000283	2.826693	0.957710	0.022585
  76	3.7500e-02	2.9807	4.553368	-0.000485	-4.845760	-1.641788	-0.038718
  77	3.8000e-02	3.0079	5.005075	0.001131	11.306772	3.830838	0.090341
  78	3.8500e-02	3.0625	5.162366	0.000394	3.937180	1.333953	0.031458
  79	3.9000e-02	3.0962	5.315624	0.000384	3.836226	1.299749	0.030652
  80	3.9500e-02	3.1459	5.440650	0.000313	3.129553	1.060321	0.025005
  81	4.0000e-02	3.1732	5.694735	0.000636	6.360059	2.154846	0.050817
  82	4.0500e-02	3.2149	5.731033	0.000091	0.908580	0.307835	0.007260
