»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 19:36:45
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 07:35:24 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0529	-5.317473	0.000059	0.591012	0.200240	0.466030
   2	1.0000e-04	0.6000	-4.851443	0.000059	0.591012	0.200240	0.466030
   3	2.0000e-04	1.4470	-0.438723	0.000560	5.596144	1.896025	4.412720
   4	3.0000e-04	2.1481	4.032250	0.000567	5.670021	1.921055	4.470973
   5	4.0000e-04	3.0849	5.666995	0.000207	2.073159	0.702405	1.634745
   6	5.0000e-04	3.8373	7.571164	0.000241	2.414838	0.818169	1.904169
   7	6.0000e-04	4.5528	11.204740	0.000461	4.608046	1.561248	3.633576
   8	7.0000e-04	5.3822	14.215729	0.000382	3.818491	1.293740	3.010989
   9	8.0000e-04	6.2324	16.960936	0.000348	3.481430	1.179540	2.745207
  10	9.0000e-04	7.0490	19.411233	0.000311	3.107430	1.052826	2.450297
  11	1.0000e-03	7.7629	22.768104	0.000426	4.257133	1.442356	3.356871
  12	1.1000e-03	8.5698	25.480543	0.000344	3.439874	1.165461	2.712439
  13	1.2000e-03	9.4345	28.127446	0.000336	3.356763	1.137302	2.646904
  14	1.3000e-03	10.1869	31.287711	0.000401	4.007800	1.357879	3.160264
  15	1.4000e-03	10.9890	34.269573	0.000378	3.781553	1.281225	2.981862
  16	1.5000e-03	11.7943	36.767201	0.000317	3.167455	1.073163	2.497628
  17	1.6000e-03	12.6045	39.829163	0.000388	3.883133	1.315641	3.061961
  18	1.7000e-03	13.4114	42.898406	0.000389	3.892368	1.318770	3.069243
  19	1.8000e-03	14.1959	45.589000	0.000341	3.412171	1.156075	2.690594
  20	1.9000e-03	14.9771	47.686134	0.000266	2.659554	0.901081	2.097134
  21	2.0000e-03	15.8065	50.751736	0.000389	3.887750	1.317206	3.065602
  22	2.1000e-03	16.6006	53.835542	0.000391	3.910837	1.325027	3.083806
  23	2.2000e-03	17.3995	56.409629	0.000326	3.264418	1.106015	2.574086
  24	2.3000e-03	18.2032	58.892694	0.000315	3.148986	1.066905	2.483065
  25	2.4000e-03	19.0150	61.455857	0.000325	3.250566	1.101321	2.563164
