»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 20:4:5
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 08:02:49 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0658	-5.914573	0.000061	0.612948	0.207672	0.480593
   2	1.0000e-04	0.6369	-5.433980	0.000061	0.612948	0.207672	0.480593
   3	2.0000e-04	1.5497	-1.895066	0.000451	4.513525	1.529224	3.538914
   4	3.0000e-04	2.1673	1.720305	0.000461	4.611039	1.562262	3.615372
   5	4.0000e-04	2.9438	4.239779	0.000321	3.213332	1.088706	2.519474
   6	5.0000e-04	3.7363	6.944936	0.000345	3.450153	1.168943	2.705157
   7	6.0000e-04	4.6025	10.367342	0.000436	4.364931	1.478879	3.422406
   8	7.0000e-04	5.4175	13.167162	0.000357	3.570885	1.209849	2.799820
   9	8.0000e-04	6.2437	16.425729	0.000416	4.155972	1.408081	3.258568
  10	9.0000e-04	6.9704	18.974330	0.000325	3.250481	1.101293	2.548600
  11	1.0000e-03	7.7404	22.101827	0.000399	3.988804	1.351443	3.127497
  12	1.1000e-03	8.6099	25.105534	0.000383	3.830924	1.297952	3.003708
  13	1.2000e-03	9.4457	28.269440	0.000404	4.035240	1.367176	3.163905
  14	1.3000e-03	10.2639	31.335042	0.000391	3.909864	1.324698	3.065602
  15	1.4000e-03	10.9248	33.920051	0.000330	3.296916	1.117025	2.585009
  16	1.5000e-03	11.7061	36.836378	0.000372	3.719479	1.260193	2.916327
  17	1.6000e-03	12.6173	40.291552	0.000441	4.406723	1.493038	3.455174
  18	1.7000e-03	13.4499	43.142343	0.000364	3.635895	1.231875	2.850792
  19	1.8000e-03	14.2344	46.149692	0.000384	3.835567	1.299525	3.007348
  20	1.9000e-03	14.9258	48.436150	0.000292	2.916146	0.988017	2.286459
  21	2.0000e-03	15.7455	51.254174	0.000359	3.594103	1.217715	2.818024
  22	2.1000e-03	16.5990	54.327058	0.000392	3.919151	1.327844	3.072884
  23	2.2000e-03	17.4284	57.206977	0.000367	3.673043	1.244461	2.879918
  24	2.3000e-03	18.2802	59.992233	0.000355	3.552311	1.203556	2.785256
  25	2.4000e-03	18.9508	62.264128	0.000290	2.897571	0.981724	2.271895
  26	2.5000e-03	19.7128	64.991130	0.000348	3.478014	1.178383	2.727002
  27	2.6000e-03	19.5363	67.048215	-0.000262	-2.623602	-0.888901	2.057085
  28	2.7000e-03	18.3460	63.152497	0.000497	4.968592	1.683404	-3.895718
  29	2.8000e-03	17.9594	59.282265	0.000494	4.936087	1.672392	-3.870232
  30	2.9000e-03	17.1075	57.425428	0.000237	2.368207	0.802370	-1.856837
  31	3.0000e-03	16.2942	55.608640	0.000232	2.317128	0.785064	-1.816788
  32	3.1000e-03	15.4728	52.583087	0.000386	3.858785	1.307392	-3.025553
  33	3.2000e-03	14.5969	50.070895	0.000320	3.204045	1.085560	-2.512192
  34	3.3000e-03	13.7996	47.059906	0.000384	3.840211	1.301099	-3.010989
  35	3.4000e-03	13.1114	44.853546	0.000281	2.813988	0.953405	-2.206360
  36	3.5000e-03	12.3446	42.268537	0.000330	3.296916	1.117025	-2.585009
  37	3.6000e-03	11.4590	39.366774	0.000370	3.700904	1.253900	-2.901764
  38	3.7000e-03	10.6040	36.239277	0.000399	3.988804	1.351443	-3.127497
  39	3.8000e-03	9.8019	33.377563	0.000365	3.649825	1.236594	-2.861714
  40	3.9000e-03	9.1441	30.876294	0.000319	3.190115	1.080840	-2.501269
  41	4.0000e-03	8.3564	28.098319	0.000354	3.543024	1.200409	-2.777974
  42	4.1000e-03	7.4757	24.737808	0.000429	4.285991	1.452133	-3.360512
  43	4.2000e-03	6.5725	21.643079	0.000395	3.947012	1.337284	-3.094729
  44	4.3000e-03	5.8202	18.508300	0.000400	3.998091	1.354590	-3.134778
  45	4.4000e-03	5.1464	16.243687	0.000289	2.888284	0.978577	-2.264613
  46	4.5000e-03	4.3667	13.320078	0.000373	3.728766	1.263340	-2.923609
  47	4.6000e-03	3.4716	9.788446	0.000450	4.504237	1.526077	-3.531632
  48	4.7000e-03	2.6438	6.559005	0.000412	4.118823	1.395495	-3.229441
  49	4.8000e-03	1.7743	3.398741	0.000403	4.030596	1.365603	-3.160264
  50	4.9000e-03	1.1342	0.893831	0.000319	3.194758	1.082413	-2.504910
  51	5.0000e-03	0.3417	-2.157208	0.000389	3.891290	1.318405	-3.051039
  52	5.1000e-03	-0.5278	-5.557769	0.000434	4.337070	1.469439	-3.400561
  53	5.2000e-03	-1.3508	-8.590604	0.000387	3.868072	1.310538	-3.032834
  54	5.3000e-03	-2.2154	-11.907425	0.000423	4.230268	1.433254	-3.316821
  55	5.4000e-03	-2.8267	-14.284905	0.000303	3.032234	1.027349	-2.377480
  56	5.5000e-03	-3.6577	-17.252204	0.000378	3.784488	1.282219	-2.967299
  57	5.6000e-03	-4.5400	-20.478004	0.000411	4.114180	1.393922	-3.225800
  58	5.7000e-03	-5.3533	-23.445303	0.000378	3.784488	1.282219	-2.967299
  59	5.8000e-03	-6.2132	-26.336144	0.000369	3.686974	1.249181	-2.890841
  60	5.9000e-03	-6.8838	-28.498814	0.000276	2.758265	0.934525	-2.162669
  61	6.0000e-03	-7.6329	-31.258584	0.000352	3.519806	1.192543	-2.759770
  62	6.1000e-03	-8.5361	-34.014713	0.000352	3.515163	1.190969	-2.756129
  63	6.2000e-03	-9.3703	-36.705307	0.000343	3.431579	1.162650	-2.690594
  64	6.3000e-03	-10.2382	-39.374056	0.000340	3.403718	1.153211	-2.668749
  65	6.4000e-03	-10.8607	-41.460267	0.000266	2.660751	0.901487	-2.086211
  66	6.5000e-03	-11.6676	-43.874156	0.000308	3.078670	1.043081	-2.413889
  67	6.6000e-03	-12.5756	-46.422756	0.000325	3.250481	1.101293	-2.548600
  68	6.7000e-03	-13.4322	-48.905821	0.000317	3.166897	1.072974	-2.483065
  69	6.8000e-03	-14.2199	-51.265097	0.000301	3.009016	1.019482	-2.359276
  70	6.9000e-03	-14.8777	-52.979941	0.000219	2.187109	0.741013	-1.714844
  71	7.0000e-03	-15.6621	-55.233632	0.000287	2.874354	0.973857	-2.253691
  72	7.1000e-03	-16.6006	-57.687570	0.000313	3.129749	1.060388	-2.453938
  73	7.2000e-03	-17.4188	-59.828394	0.000273	2.730404	0.925086	-2.140824
  74	7.3000e-03	-18.2658	-61.889120	0.000263	2.628246	0.890474	-2.060725
  75	7.4000e-03	-18.8995	-63.483815	0.000203	2.033872	0.689095	-1.594696
  76	7.5000e-03	-19.6727	-65.741147	0.000288	2.878997	0.975431	-2.257332
  77	7.6000e-03	-19.4529	-67.048215	-0.000167	-1.667032	-0.564806	-1.307068
  78	7.7000e-03	-18.3460	-63.043271	0.000511	5.107898	1.730603	4.004943
  79	7.8000e-03	-17.7909	-60.800503	0.000286	2.860423	0.969138	2.242768
  80	7.9000e-03	-16.9198	-59.613583	0.000151	1.513795	0.512888	1.186920
  81	8.0000e-03	-16.2044	-58.033451	0.000202	2.015298	0.682801	1.580132
  82	8.1000e-03	-15.3365	-55.554027	0.000316	3.162253	1.071400	2.479424
  83	8.2000e-03	-14.5279	-53.522429	0.000259	2.591097	0.877888	2.031599
  84	8.3000e-03	-13.7098	-51.235970	0.000292	2.916146	0.988017	2.286459
  85	8.4000e-03	-12.9574	-49.375492	0.000237	2.372851	0.803944	1.860478
  86	8.5000e-03	-12.2226	-47.402147	0.000252	2.516801	0.852715	1.973345
  87	8.6000e-03	-11.3483	-45.086561	0.000295	2.953294	1.000603	2.315585
  88	8.7000e-03	-10.5398	-42.537961	0.000325	3.250481	1.101293	2.548600
  89	8.8000e-03	-9.6928	-40.200530	0.000298	2.981155	1.010043	2.337431
  90	8.9000e-03	-9.0270	-38.165291	0.000260	2.595741	0.879461	2.035239
  91	9.0000e-03	-8.2185	-35.926163	0.000286	2.855779	0.967564	2.239127
  92	9.1000e-03	-7.3618	-33.159111	0.000353	3.529093	1.195689	2.767052
  93	9.2000e-03	-6.5132	-30.494004	0.000340	3.399074	1.151637	2.665108
