»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 20:42:22
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 08:41:57 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0144	-5.247061	0.000556	5.555880	1.882383	0.044364
   2	5.0000e-04	0.0321	-5.025241	0.000556	5.555880	1.882383	0.044364
   3	1.0000e-03	0.0626	-5.009108	0.000040	0.404064	0.136901	0.003226
   4	1.5000e-03	0.0946	-5.053473	-0.000111	-1.111176	-0.376477	-0.008873
   5	2.0000e-03	0.1364	-5.005075	0.000121	1.212192	0.410702	0.009679
   6	2.5000e-03	0.1733	-4.803420	0.000505	5.050800	1.711257	0.040331
   7	3.0000e-03	0.2182	-4.682427	0.000303	3.030480	1.026754	0.024199
   8	3.5000e-03	0.2567	-4.597732	0.000212	2.121336	0.718728	0.016939
   9	4.0000e-03	0.2791	-4.335581	0.000657	6.566040	2.224635	0.052430
  10	4.5000e-03	0.3305	-4.137959	0.000495	4.949784	1.677032	0.039524
  11	5.0000e-03	0.3722	-4.166191	-0.000071	-0.707112	-0.239576	-0.005646
  12	5.5000e-03	0.4155	-3.787080	0.000950	9.495504	3.217164	0.075822
  13	6.0000e-03	0.4556	-3.787080	0.000000	0.000000	0.000000	0.000000
  14	6.5000e-03	0.4941	-3.859675	-0.000182	-1.818288	-0.616053	-0.014519
  15	7.0000e-03	0.5374	-3.605590	0.000636	6.364008	2.156184	0.050817
  16	7.5000e-03	0.5743	-3.412001	0.000485	4.848768	1.642807	0.038718
  17	8.0000e-03	0.6080	-3.303108	0.000273	2.727432	0.924079	0.021779
  18	8.5000e-03	0.6497	-3.254711	0.000121	1.212192	0.410702	0.009679
  19	9.0000e-03	0.6946	-3.089354	0.000414	4.141656	1.403231	0.033071
  20	9.5000e-03	0.7315	-2.855434	0.000586	5.858928	1.985059	0.046784
  21	1.0000e-02	0.7829	-2.734441	0.000303	3.030480	1.026754	0.024199
  22	1.0500e-02	0.8150	-2.347263	0.000970	9.697536	3.285614	0.077435
  23	1.1000e-02	0.8551	-2.262568	0.000212	2.121336	0.718728	0.016939
  24	1.1500e-02	0.8984	-2.371462	-0.000273	-2.727432	-0.924079	-0.021779
  25	1.2000e-02	0.9401	-2.238370	0.000333	3.333528	1.129430	0.026618
  26	1.2500e-02	0.9802	-2.206105	0.000081	0.808128	0.273801	0.006453
  27	1.3000e-02	1.0123	-1.935887	0.000677	6.768072	2.293085	0.054044
  28	1.3500e-02	1.0556	-1.633405	0.000758	7.576200	2.566886	0.060496
  29	1.4000e-02	1.0925	-1.722133	-0.000222	-2.222352	-0.752953	-0.017746
  30	1.4500e-02	1.1278	-1.520478	0.000505	5.050800	1.711257	0.040331
  31	1.5000e-02	1.1743	-1.383353	0.000343	3.434544	1.163655	0.027425
  32	1.5500e-02	1.2208	-1.161532	0.000556	5.555880	1.882383	0.044364
  33	1.6000e-02	1.2497	-1.109102	0.000131	1.313208	0.444927	0.010486
  34	1.6500e-02	1.2946	-0.980043	0.000323	3.232512	1.095205	0.025812
  35	1.7000e-02	1.3331	-0.778388	0.000505	5.050800	1.711257	0.040331
  36	1.7500e-02	1.3780	-0.754189	0.000061	0.606096	0.205351	0.004840
  37	1.8000e-02	1.4214	-0.576733	0.000444	4.444704	1.505907	0.035491
  38	1.8500e-02	1.4582	-0.479939	0.000242	2.424384	0.821404	0.019359
  39	1.9000e-02	1.4935	-0.350880	0.000323	3.232512	1.095205	0.025812
  40	1.9500e-02	1.5353	-0.012099	0.000849	8.485344	2.874912	0.067756
  41	2.0000e-02	1.5786	0.012099	0.000061	0.606096	0.205351	0.004840
  42	2.0500e-02	1.6123	0.084695	0.000182	1.818288	0.616053	0.014519
  43	2.1000e-02	1.6604	0.350880	0.000667	6.667056	2.258860	0.053237
  44	2.1500e-02	1.6877	0.617064	0.000667	6.667056	2.258860	0.053237
  45	2.2000e-02	1.7326	0.431542	-0.000465	-4.646736	-1.574357	-0.037105
  46	2.2500e-02	1.7695	0.738057	0.000768	7.677216	2.601111	0.061303
  47	2.3000e-02	1.8192	0.633196	-0.000263	-2.626416	-0.889854	-0.020972
  48	2.3500e-02	1.8529	0.814686	0.000455	4.545720	1.540132	0.036298
  49	2.4000e-02	1.8850	1.020374	0.000515	5.151816	1.745483	0.041138
  50	2.4500e-02	1.9427	1.302691	0.000707	7.071120	2.395760	0.056463
  51	2.5000e-02	1.9828	1.383353	0.000202	2.020320	0.684503	0.016132
  52	2.5500e-02	2.0245	1.379320	-0.000010	-0.101016	-0.034225	-0.000807
  53	2.6000e-02	2.0598	1.395452	0.000040	0.404064	0.136901	0.003226
  54	2.6500e-02	2.0935	1.645504	0.000626	6.262992	2.121959	0.050010
  55	2.7000e-02	2.1320	2.012516	0.000919	9.192456	3.114488	0.073402
  56	2.7500e-02	2.1737	2.133509	0.000303	3.030480	1.026754	0.024199
  57	2.8000e-02	2.2170	2.194006	0.000152	1.515240	0.513377	0.012099
  58	2.8500e-02	2.2475	2.407760	0.000535	5.353848	1.813933	0.042751
  59	2.9000e-02	2.3037	2.879632	0.001182	11.818872	4.004342	0.094375
  60	2.9500e-02	2.3293	2.637646	-0.000606	-6.060960	-2.053509	-0.048397
  61	3.0000e-02	2.3727	2.948195	0.000778	7.778232	2.635336	0.062110
  62	3.0500e-02	2.4112	2.968361	0.000051	0.505080	0.171126	0.004033
  63	3.1000e-02	2.4497	3.121618	0.000384	3.838608	1.300556	0.030652
  64	3.1500e-02	2.4882	3.097420	-0.000061	-0.606096	-0.205351	-0.004840
  65	3.2000e-02	2.5347	3.371670	0.000687	6.869088	2.327310	0.054850
  66	3.2500e-02	2.5796	3.262777	-0.000273	-2.727432	-0.924079	-0.021779
  67	3.3000e-02	2.6165	3.799179	0.001344	13.435128	4.551945	0.107280
  68	3.3500e-02	2.6582	3.702385	-0.000242	-2.424384	-0.821404	-0.019359
  69	3.4000e-02	2.6983	3.920172	0.000545	5.454864	1.848158	0.043557
  70	3.4500e-02	2.7384	4.033099	0.000283	2.828448	0.958304	0.022585
  71	3.5000e-02	2.7753	4.158125	0.000313	3.131496	1.060980	0.025005
  72	3.5500e-02	2.8138	4.392044	0.000586	5.858928	1.985059	0.046784
  73	3.6000e-02	2.8555	4.642096	0.000626	6.262992	2.121959	0.050010
  74	3.6500e-02	2.8988	4.658229	0.000040	0.404064	0.136901	0.003226
  75	3.7000e-02	2.9245	4.855851	0.000495	4.949784	1.677032	0.039524
  76	3.7500e-02	2.9775	4.924413	0.000172	1.717272	0.581828	0.013713
  77	3.8000e-02	3.0176	5.029274	0.000263	2.626416	0.889854	0.020972
  78	3.8500e-02	3.0577	5.170432	0.000354	3.535560	1.197880	0.028232
  79	3.9000e-02	3.1026	5.194631	0.000061	0.606096	0.205351	0.004840
  80	3.9500e-02	3.1331	5.646338	0.001131	11.313792	3.833217	0.090341
  81	4.0000e-02	3.1716	5.622139	-0.000061	-0.606096	-0.205351	-0.004840
  82	4.0500e-02	3.2117	5.876225	0.000636	6.364008	2.156184	0.050817
  83	4.1000e-02	3.2566	6.053681	0.000444	4.444704	1.505907	0.035491
  84	4.1500e-02	3.2983	6.045615	-0.000020	-0.202032	-0.068450	-0.001613
  85	4.2000e-02	3.3368	6.428759	0.000960	9.596520	3.251389	0.076629
  86	4.2500e-02	3.3769	6.440858	0.000030	0.303048	0.102675	0.002420
  87	4.3000e-02	3.4154	6.372296	-0.000172	-1.717272	-0.581828	-0.013713
  88	4.3500e-02	3.4523	6.694944	0.000808	8.081280	2.738012	0.064530
  89	4.4000e-02	3.4940	6.868367	0.000434	4.343688	1.471681	0.034685
  90	4.4500e-02	3.5325	6.751407	-0.000293	-2.929464	-0.992529	-0.023392
  91	4.5000e-02	3.5710	6.973227	0.000556	5.555880	1.882383	0.044364
  92	4.5500e-02	3.6047	7.142618	0.000424	4.242672	1.437456	0.033878
  93	4.6000e-02	3.6577	7.602391	0.001152	11.515824	3.901667	0.091955
  94	4.6500e-02	3.6929	7.461232	-0.000354	-3.535560	-1.197880	-0.028232
  95	4.7000e-02	3.7298	7.533828	0.000182	1.818288	0.616053	0.014519
  96	4.7500e-02	3.7764	7.715318	0.000455	4.545720	1.540132	0.036298
  97	4.8000e-02	3.8052	7.876642	0.000404	4.040640	1.369006	0.032265
  98	4.8500e-02	3.8534	8.409011	0.001333	13.334112	4.517720	0.106474
  99	4.9000e-02	3.8999	8.316249	-0.000232	-2.323368	-0.787178	-0.018552
 100	4.9500e-02	3.9288	8.465474	0.000374	3.737592	1.266330	0.029845
 101	5.0000e-02	3.9753	8.671162	0.000515	5.151816	1.745483	0.041138
 102	5.0500e-02	4.0218	8.723592	0.000131	1.313208	0.444927	0.010486
 103	5.1000e-02	4.0635	8.743758	0.000051	0.505080	0.171126	0.004033
 104	5.1500e-02	4.0940	8.711493	-0.000081	-0.808128	-0.273801	-0.006453
 105	5.2000e-02	4.1341	9.268061	0.001394	13.940208	4.723070	0.111314
 106	5.2500e-02	4.1710	9.477782	0.000525	5.252832	1.779708	0.041944
 107	5.3000e-02	4.2079	9.348723	-0.000323	-3.232512	-1.095205	-0.025812
 108	5.3500e-02	4.2496	9.348723	0.000000	0.000000	0.000000	0.000000
 109	5.4000e-02	4.2945	9.764132	0.001040	10.404648	3.525190	0.083082
 110	5.4500e-02	4.3330	9.957720	0.000485	4.848768	1.642807	0.038718
 111	5.5000e-02	4.3747	10.086780	0.000323	3.232512	1.095205	0.025812
 112	5.5500e-02	4.4084	9.973853	-0.000283	-2.828448	-0.958304	-0.022585
 113	5.6000e-02	4.4598	10.175508	0.000505	5.050800	1.711257	0.040331
 114	5.6500e-02	4.4983	10.324732	0.000374	3.737592	1.266330	0.029845
 115	5.7000e-02	4.5352	10.405394	0.000202	2.020320	0.684503	0.016132
 116	5.7500e-02	4.5769	10.582851	0.000444	4.444704	1.505907	0.035491
 117	5.8000e-02	4.6138	10.667546	0.000212	2.121336	0.718728	0.016939
 118	5.8500e-02	4.6507	11.050690	0.000960	9.596520	3.251389	0.076629
 119	5.9000e-02	4.6940	11.115220	0.000162	1.616256	0.547602	0.012906
 120	5.9500e-02	4.7341	11.103120	-0.000030	-0.303048	-0.102675	-0.002420
 121	6.0000e-02	4.7742	11.417702	0.000788	7.879248	2.669562	0.062916
 122	6.0500e-02	4.8191	11.506430	0.000222	2.222352	0.752953	0.017746
 123	6.1000e-02	4.8528	11.812946	0.000768	7.677216	2.601111	0.061303
 124	6.1500e-02	4.8913	11.784714	-0.000071	-0.707112	-0.239576	-0.005646
 125	6.2000e-02	4.9362	11.667754	-0.000293	-2.929464	-0.992529	-0.023392
 126	6.2500e-02	4.9747	12.018634	0.000879	8.788392	2.977588	0.070176
 127	6.3000e-02	5.0180	12.107362	0.000222	2.222352	0.752953	0.017746
 128	6.3500e-02	5.0501	12.559069	0.001131	11.313792	3.833217	0.090341
 129	6.4000e-02	5.1015	12.607466	0.000121	1.212192	0.410702	0.009679
