»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 20:13:0
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 08:12:34 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0112	-5.940754	0.000263	2.626205	0.889782	0.020972
   2	5.0000e-04	0.0369	-5.835894	0.000263	2.626205	0.889782	0.020972
   3	1.0000e-03	0.0594	-5.682636	0.000384	3.838300	1.300451	0.030652
   4	1.5000e-03	0.0850	-5.601974	0.000202	2.020158	0.684448	0.016132
   5	2.0000e-03	0.1412	-5.456782	0.000364	3.636284	1.232006	0.029038
   6	2.5000e-03	0.1733	-5.372087	0.000212	2.121166	0.718670	0.016939
   7	3.0000e-03	0.2166	-5.037340	0.000838	8.383654	2.840459	0.066949
   8	3.5000e-03	0.2438	-4.880049	0.000394	3.939308	1.334674	0.031458
   9	4.0000e-03	0.2872	-4.904248	-0.000061	-0.606047	-0.205334	-0.004840
  10	4.5000e-03	0.3369	-4.779222	0.000313	3.131244	1.060894	0.025005
  11	5.0000e-03	0.3738	-4.662262	0.000293	2.929229	0.992450	0.023392
  12	5.5000e-03	0.4123	-4.379945	0.000707	7.070552	2.395568	0.056463
  13	6.0000e-03	0.4604	-4.323482	0.000141	1.414110	0.479114	0.011293
  14	6.5000e-03	0.4861	-4.073430	0.000626	6.262489	2.121789	0.050010
  15	7.0000e-03	0.5406	-4.065363	0.000020	0.202016	0.068445	0.001613
  16	7.5000e-03	0.5711	-3.783046	0.000707	7.070552	2.395568	0.056463
  17	8.0000e-03	0.6160	-3.605590	0.000444	4.444347	1.505786	0.035491
  18	8.5000e-03	0.6497	-3.444266	0.000404	4.040315	1.368896	0.032265
  19	9.0000e-03	0.6866	-3.375704	0.000172	1.717134	0.581781	0.013713
  20	9.5000e-03	0.7283	-3.174049	0.000505	5.050394	1.711120	0.040331
  21	1.0000e-02	0.7781	-3.081287	0.000232	2.323181	0.787115	0.018552
  22	1.0500e-02	0.8133	-2.657812	0.001061	10.605828	3.593352	0.084695
  23	1.1000e-02	0.8615	-2.778805	-0.000303	-3.030237	-1.026672	-0.024199
  24	1.1500e-02	0.8920	-2.601349	0.000444	4.444347	1.505786	0.035491
  25	1.2000e-02	0.9321	-2.444058	0.000394	3.939308	1.334674	0.031458
  26	1.2500e-02	0.9850	-2.363396	0.000202	2.020158	0.684448	0.016132
  27	1.3000e-02	1.0171	-2.189973	0.000434	4.343339	1.471563	0.034685
  28	1.3500e-02	1.0540	-2.036715	0.000384	3.838300	1.300451	0.030652
  29	1.4000e-02	1.0941	-1.911689	0.000313	3.131244	1.060894	0.025005
  30	1.4500e-02	1.1294	-1.633405	0.000697	6.969544	2.361345	0.055657
  31	1.5000e-02	1.1663	-1.419651	0.000535	5.353418	1.813787	0.042751
  32	1.5500e-02	1.2096	-1.387386	0.000081	0.808063	0.273779	0.006453
  33	1.6000e-02	1.2529	-1.213963	0.000434	4.343339	1.471563	0.034685
  34	1.6500e-02	1.2898	-1.080870	0.000333	3.333260	1.129339	0.026618
  35	1.7000e-02	1.3251	-0.963911	0.000293	2.929229	0.992450	0.023392
  36	1.7500e-02	1.3780	-0.838885	0.000313	3.131244	1.060894	0.025005
  37	1.8000e-02	1.4133	-0.729991	0.000273	2.727213	0.924005	0.021779
  38	1.8500e-02	1.4599	-0.544468	0.000465	4.646363	1.574230	0.037105
  39	1.9000e-02	1.4967	-0.282317	0.000657	6.565513	2.224456	0.052430
  40	1.9500e-02	1.5353	-0.181489	0.000253	2.525197	0.855560	0.020165
  41	2.0000e-02	1.5705	-0.024199	0.000394	3.939308	1.334674	0.031458
  42	2.0500e-02	1.6139	-0.028232	-0.000010	-0.101008	-0.034222	-0.000807
  43	2.1000e-02	1.6556	0.189556	0.000545	5.454426	1.848009	0.043557
  44	2.1500e-02	1.6973	0.463806	0.000687	6.868536	2.327123	0.054850
  45	2.2000e-02	1.7310	0.810653	0.000869	8.686678	2.943126	0.069369
  46	2.2500e-02	1.7775	0.492038	-0.000798	-7.979623	-2.703569	-0.063723
  47	2.3000e-02	1.8176	0.867116	0.000939	9.393733	3.182683	0.075016
  48	2.3500e-02	1.8545	1.060705	0.000485	4.848378	1.642675	0.038718
  49	2.4000e-02	1.8978	1.024407	-0.000091	-0.909071	-0.308002	-0.007260
  50	2.4500e-02	1.9251	1.213963	0.000475	4.747371	1.608453	0.037911
  51	2.5000e-02	1.9764	1.496280	0.000707	7.070552	2.395568	0.056463
  52	2.5500e-02	2.0101	1.427717	-0.000172	-1.717134	-0.581781	-0.013713
  53	2.6000e-02	2.0582	1.701968	0.000687	6.868536	2.327123	0.054850
  54	2.6500e-02	2.0951	2.137542	0.001091	10.908852	3.696019	0.087115
  55	2.7000e-02	2.1304	2.020582	-0.000293	-2.929229	-0.992450	-0.023392
  56	2.7500e-02	2.1721	2.258535	0.000596	5.959465	2.019121	0.047591
  57	2.8000e-02	2.2154	2.403727	0.000364	3.636284	1.232006	0.029038
  58	2.8500e-02	2.2539	2.750573	0.000869	8.686678	2.943126	0.069369
  59	2.9000e-02	2.2908	2.734441	-0.000040	-0.404032	-0.136890	-0.003226
  60	2.9500e-02	2.3165	2.968361	0.000586	5.858457	1.984899	0.046784
  61	3.0000e-02	2.3775	2.746540	-0.000556	-5.555434	-1.882232	-0.044364
  62	3.0500e-02	2.4096	3.069188	0.000808	8.080631	2.737792	0.064530
  63	3.1000e-02	2.4561	3.387803	0.000798	7.979623	2.703569	0.063723
  64	3.1500e-02	2.5010	3.597524	0.000525	5.252410	1.779565	0.041944
  65	3.2000e-02	2.5235	3.633822	0.000091	0.909071	0.308002	0.007260
  66	3.2500e-02	2.5716	3.706418	0.000182	1.818142	0.616003	0.014519
  67	3.3000e-02	2.6117	3.883874	0.000444	4.444347	1.505786	0.035491
  68	3.3500e-02	2.6550	3.799179	-0.000212	-2.121166	-0.718670	-0.016939
  69	3.4000e-02	2.7031	4.162158	0.000909	9.090710	3.080016	0.072596
  70	3.4500e-02	2.7320	4.307349	0.000364	3.636284	1.232006	0.029038
  71	3.5000e-02	2.7769	4.557401	0.000626	6.262489	2.121789	0.050010
  72	3.5500e-02	2.8154	4.629997	0.000182	1.818142	0.616003	0.014519
  73	3.6000e-02	2.8539	4.847785	0.000545	5.454426	1.848009	0.043557
  74	3.6500e-02	2.8956	4.932480	0.000212	2.121166	0.718670	0.016939
  75	3.7000e-02	2.9390	5.234962	0.000758	7.575591	2.566680	0.060496
  76	3.7500e-02	2.9694	5.452749	0.000545	5.454426	1.848009	0.043557
  77	3.8000e-02	3.0192	5.533411	0.000202	2.020158	0.684448	0.016132
  78	3.8500e-02	3.0577	5.819761	0.000717	7.171560	2.429790	0.057270
  79	3.9000e-02	3.0962	5.686669	-0.000333	-3.333260	-1.129339	-0.026618
  80	3.9500e-02	3.1331	5.896390	0.000525	5.252410	1.779565	0.041944
  81	4.0000e-02	3.1716	6.219038	0.000808	8.080631	2.737792	0.064530
  82	4.0500e-02	3.2165	6.158542	-0.000152	-1.515118	-0.513336	-0.012099
  83	4.1000e-02	3.2470	6.311799	0.000384	3.838300	1.300451	0.030652
  84	4.1500e-02	3.2935	6.602182	0.000727	7.272568	2.464013	0.058077
  85	4.2000e-02	3.3320	6.690911	0.000222	2.222173	0.752893	0.017746
  86	4.2500e-02	3.3833	6.856268	0.000414	4.141323	1.403118	0.033071
  87	4.3000e-02	3.4170	6.896599	0.000101	1.010079	0.342224	0.008066
  88	4.3500e-02	3.4539	7.251511	0.000889	8.888694	3.011571	0.070983
  89	4.4000e-02	3.4924	7.376537	0.000313	3.131244	1.060894	0.025005
  90	4.4500e-02	3.5309	7.598358	0.000556	5.555434	1.882232	0.044364
  91	4.5000e-02	3.5758	7.610457	0.000030	0.303024	0.102667	0.002420
  92	4.5500e-02	3.6127	7.949237	0.000848	8.484662	2.874681	0.067756
  93	4.6000e-02	3.6528	7.969403	0.000051	0.505039	0.171112	0.004033
  94	4.6500e-02	3.6881	8.271885	0.000758	7.575591	2.566680	0.060496
  95	4.7000e-02	3.7443	8.154925	-0.000293	-2.929229	-0.992450	-0.023392
  96	4.7500e-02	3.7651	8.530004	0.000939	9.393733	3.182683	0.075016
  97	4.8000e-02	3.8084	8.622765	0.000232	2.323181	0.787115	0.018552
  98	4.8500e-02	3.8598	8.425143	-0.000495	-4.949386	-1.676898	-0.039524
  99	4.9000e-02	3.8935	9.018008	0.001485	14.848159	5.030693	0.118573
 100	4.9500e-02	3.9400	9.046240	0.000071	0.707055	0.239557	0.005646
 101	5.0000e-02	3.9769	9.187399	0.000354	3.535276	1.197784	0.028232
 102	5.0500e-02	4.0202	9.332590	0.000364	3.636284	1.232006	0.029038
 103	5.1000e-02	4.0603	9.530212	0.000495	4.949386	1.676898	0.039524
 104	5.1500e-02	4.0844	9.860926	0.000828	8.282647	2.806237	0.066143
