»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 18:55:34
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 06:55:09 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0048	-2.113441	0.000122	1.216329	0.412103	0.000049
   2	9.9500e-02	0.0449	-2.064995	0.000122	1.216329	0.412103	0.000049
   3	1.9900e-01	0.0690	-2.000401	0.000162	1.621771	0.549471	0.000065
   4	2.9850e-01	0.1155	-1.887361	0.000284	2.838100	0.961574	0.000114
   5	3.9800e-01	0.1588	-1.818730	0.000172	1.723132	0.583813	0.000069
   6	4.9750e-01	0.1893	-1.750098	0.000172	1.723132	0.583813	0.000069
   7	5.9700e-01	0.2358	-1.637059	0.000284	2.838100	0.961574	0.000114
   8	6.9650e-01	0.2791	-1.544204	0.000233	2.331296	0.789865	0.000093
   9	7.9600e-01	0.3160	-1.459425	0.000213	2.128575	0.721181	0.000085
  10	8.9550e-01	0.3545	-1.354459	0.000264	2.635379	0.892890	0.000105
  11	9.9500e-01	0.3962	-1.197011	0.000395	3.953068	1.339336	0.000158
  12	1.0945e+00	0.4396	-1.116268	0.000203	2.027214	0.686839	0.000081
  13	1.1940e+00	0.4668	-1.039562	0.000193	1.925854	0.652497	0.000077
  14	1.2935e+00	0.5085	-0.902300	0.000345	3.446264	1.167626	0.000138
  15	1.3930e+00	0.5503	-0.825594	0.000193	1.925854	0.652497	0.000077
  16	1.4925e+00	0.5855	-0.732740	0.000233	2.331296	0.789865	0.000093
  17	1.5920e+00	0.6337	-0.647960	0.000213	2.128575	0.721181	0.000085
  18	1.6915e+00	0.6818	-0.538958	0.000274	2.736739	0.927232	0.000110
  19	1.7910e+00	0.7139	-0.454178	0.000213	2.128575	0.721181	0.000085
  20	1.8905e+00	0.7636	-0.413806	0.000101	1.013607	0.343419	0.000041
  21	1.9900e+00	0.7941	-0.296729	0.000294	2.939461	0.995916	0.000118
  22	2.0895e+00	0.8358	-0.220024	0.000193	1.925854	0.652497	0.000077
  23	2.1890e+00	0.8727	-0.123133	0.000243	2.432657	0.824207	0.000097
  24	2.2885e+00	0.9112	0.002019	0.000314	3.142182	1.064600	0.000126
