»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 19:0:49
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 06:59:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0626	-1.332554	0.000058	0.576515	0.195329	0.455107
   2	1.0000e-04	0.5920	-0.877447	0.000058	0.576515	0.195329	0.455107
   3	2.0000e-04	1.5978	2.206360	0.000391	3.906466	1.323546	3.083806
   4	3.0000e-04	2.3037	3.284054	0.000137	1.365188	0.462538	1.077694
   5	4.0000e-04	3.0561	4.496459	0.000154	1.535836	0.520355	1.212406
   6	5.0000e-04	3.8357	6.327811	0.000232	2.319896	0.786002	1.831351
   7	6.0000e-04	4.6571	8.119113	0.000227	2.269163	0.768813	1.791302
   8	7.0000e-04	5.5298	9.761139	0.000208	2.080066	0.704745	1.642027
   9	8.0000e-04	6.3383	11.472343	0.000217	2.167696	0.734435	1.711203
  10	9.0000e-04	7.0281	12.895918	0.000180	1.803339	0.610988	1.423575
  11	1.0000e-03	7.8399	14.738192	0.000233	2.333733	0.790690	1.842274
  12	1.1000e-03	8.6340	16.445754	0.000216	2.163084	0.732873	1.707562
  13	1.2000e-03	9.5163	18.375409	0.000244	2.444424	0.828193	1.929655
  14	1.3000e-03	10.3473	20.155788	0.000226	2.255327	0.764125	1.780379
  15	1.4000e-03	11.0002	21.735920	0.000200	2.001660	0.678181	1.580132
  16	1.5000e-03	11.8344	23.359743	0.000206	2.057006	0.696932	1.623823
  17	1.6000e-03	12.6478	25.242066	0.000238	2.384466	0.807879	1.882323
  18	1.7000e-03	13.5461	27.422940	0.000276	2.762660	0.936015	2.180874
  19	1.8000e-03	14.2761	28.999432	0.000200	1.997048	0.676618	1.576491
  20	1.9000e-03	14.9900	30.557719	0.000197	1.973987	0.668805	1.558287
  21	2.0000e-03	15.8482	32.665775	0.000267	2.670418	0.904762	2.108057
  22	2.1000e-03	16.6455	34.278675	0.000204	2.043169	0.692244	1.612900
  23	2.2000e-03	17.4942	36.328478	0.000260	2.596624	0.879760	2.049803
  24	2.3000e-03	18.3059	38.214442	0.000239	2.389078	0.809442	1.885964
  25	2.4000e-03	18.9957	39.656222	0.000183	1.826400	0.618801	1.441780
  26	2.5000e-03	19.8155	41.618644	0.000249	2.485933	0.842257	1.962422
  27	2.6000e-03	19.6390	42.587112	-0.000123	-1.226824	-0.415659	0.968468
  28	2.7000e-03	18.2818	38.316386	0.000541	5.410017	1.832963	-4.270726
  29	2.8000e-03	17.8022	37.435299	0.000112	1.116133	0.378156	-0.881088
  30	2.9000e-03	17.0097	37.122185	0.000040	0.396642	0.134386	-0.313114
  31	3.0000e-03	16.2541	35.163404	0.000248	2.481321	0.840694	-1.958781
  32	3.1000e-03	15.4135	33.401229	0.000223	2.232266	0.756312	-1.762175
  33	3.2000e-03	14.4991	31.904836	0.000190	1.895581	0.642240	-1.496393
  34	3.3000e-03	13.7499	30.084407	0.000231	2.306060	0.781314	-1.820429
  35	3.4000e-03	13.0312	28.850156	0.000156	1.563509	0.529731	-1.234251
  36	3.5000e-03	12.2419	27.011523	0.000233	2.329121	0.789127	-1.838633
  37	3.6000e-03	11.4270	25.678969	0.000169	1.688036	0.571922	-1.332554
  38	3.7000e-03	10.5125	23.559990	0.000268	2.684254	0.909450	-2.118979
  39	3.8000e-03	9.7361	22.100006	0.000185	1.849460	0.626614	-1.459984
  40	3.9000e-03	9.0719	20.654586	0.000183	1.831012	0.620364	-1.445421
  41	4.0000e-03	8.2297	18.961587	0.000214	2.144636	0.726622	-1.692999
  42	4.1000e-03	7.4164	17.097468	0.000236	2.361405	0.800066	-1.864119
  43	4.2000e-03	6.5068	15.328011	0.000224	2.241490	0.759437	-1.769457
  44	4.3000e-03	5.7464	13.609526	0.000218	2.176921	0.737561	-1.718485
  45	4.4000e-03	5.0870	12.302458	0.000166	1.655751	0.560984	-1.307068
