»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 19:9:2
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 07:08:30 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0225	-2.053457	0.000525	5.252531	1.779606	0.042078
   2	5.0000e-04	0.0305	-1.843065	0.000525	5.252531	1.779606	0.042078
   3	1.0000e-03	0.0914	-1.807572	0.000089	0.886098	0.300218	0.007099
   4	1.5000e-03	0.1540	-1.771652	0.000090	0.896774	0.303835	0.007184
   5	2.0000e-03	0.1781	-1.700238	0.000178	1.782871	0.604053	0.014283
   6	2.5000e-03	0.2310	-1.580075	0.000300	2.999921	1.016401	0.024033
   7	3.0000e-03	0.2535	-1.468038	0.000280	2.797080	0.947676	0.022408
   8	3.5000e-03	0.3016	-1.271758	0.000490	4.900227	1.660242	0.039256
   9	4.0000e-03	0.3321	-1.218732	0.000132	1.323809	0.448519	0.010605
  10	4.5000e-03	0.3706	-1.190081	0.000072	0.715284	0.242345	0.005730
  11	5.0000e-03	0.4203	-1.096431	0.000234	2.338017	0.792142	0.018730
  12	5.5000e-03	0.4508	-0.924098	0.000430	4.302378	1.457685	0.034467
  13	6.0000e-03	0.5037	-0.862520	0.000154	1.537326	0.520860	0.012316
  14	6.5000e-03	0.5358	-0.762883	0.000249	2.487479	0.842781	0.019927
  15	7.0000e-03	0.5968	-0.763739	-0.000002	-0.021352	-0.007234	-0.000171
  16	7.5000e-03	0.6240	-0.568314	0.000488	4.878875	1.653008	0.039085
  17	8.0000e-03	0.6593	-0.448151	0.000300	2.999921	1.016401	0.024033
  18	8.5000e-03	0.7155	-0.394698	0.000133	1.334485	0.452136	0.010691
  19	9.0000e-03	0.7540	-0.330127	0.000161	1.612057	0.546180	0.012914
  20	9.5000e-03	0.8021	-0.212957	0.000293	2.925190	0.991081	0.023434
  21	1.0000e-02	0.8278	-0.127432	0.000214	2.135175	0.723417	0.017105
  22	1.0500e-02	0.8647	-0.029079	0.000246	2.455452	0.831929	0.019671
  23	1.1000e-02	0.9064	0.128715	0.000394	3.939398	1.334704	0.031559
  24	1.1500e-02	0.9321	0.219372	0.000226	2.263286	0.766822	0.018131
  25	1.2000e-02	0.9641	0.472098	0.000631	6.309443	2.137697	0.050545
  26	1.2500e-02	1.0219	0.402395	-0.000174	-1.740168	-0.589585	-0.013941
  27	1.3000e-02	1.0604	0.502032	0.000249	2.487479	0.842781	0.019927
  28	1.3500e-02	1.0973	0.540946	0.000097	0.971505	0.329155	0.007783
  29	1.4000e-02	1.1246	0.684628	0.000359	3.587094	1.215340	0.028736
  30	1.4500e-02	1.1871	0.940776	0.000639	6.394850	2.166634	0.051230
  31	1.5000e-02	1.2208	0.936927	-0.000010	-0.096083	-0.032554	-0.000770
  32	1.5500e-02	1.2641	1.013044	0.000190	1.900306	0.643841	0.015223
  33	1.6000e-02	1.2898	1.102846	0.000224	2.241934	0.759588	0.017960
  34	1.6500e-02	1.3588	1.129358	0.000066	0.661904	0.224259	0.005303
  35	1.7000e-02	1.4053	1.047682	-0.000204	-2.039092	-0.690863	-0.016335
  36	1.7500e-02	1.4165	1.285442	0.000594	5.935787	2.011099	0.047552
  37	1.8000e-02	1.4582	1.488564	0.000507	5.071041	1.718115	0.040624
  38	1.8500e-02	1.5192	1.502248	0.000034	0.341628	0.115747	0.002737
  39	1.9000e-02	1.5369	1.627542	0.000313	3.128032	1.059806	0.025059
  40	1.9500e-02	1.5818	1.878130	0.000626	6.256063	2.119612	0.050118
  41	2.0000e-02	1.6203	1.966221	0.000220	2.199230	0.745119	0.017618
  42	2.0500e-02	1.6572	1.979050	0.000032	0.320276	0.108513	0.002566
  43	2.1000e-02	1.7117	2.026089	0.000117	1.174346	0.397879	0.009408
  44	2.1500e-02	1.7406	2.164212	0.000345	3.448308	1.168318	0.027625
  45	2.2000e-02	1.7663	2.281808	0.000294	2.935866	0.994698	0.023519
  46	2.2500e-02	1.8240	2.397695	0.000289	2.893162	0.980230	0.023177
  47	2.3000e-02	1.8818	2.442168	0.000111	1.110291	0.376177	0.008895
  48	2.3500e-02	1.8930	2.586278	0.000360	3.597770	1.218958	0.028822
  49	2.4000e-02	1.9331	2.697888	0.000279	2.786404	0.944059	0.022322
  50	2.4500e-02	1.9780	2.716703	0.000047	0.469739	0.159152	0.003763
  51	2.5000e-02	2.0149	2.809498	0.000232	2.316665	0.784907	0.018559
  52	2.5500e-02	2.0614	3.022028	0.000531	5.305910	1.797691	0.042506
  53	2.6000e-02	2.0855	2.997226	-0.000062	-0.619201	-0.209791	-0.004960
  54	2.6500e-02	2.1304	3.246959	0.000623	6.234712	2.112377	0.049947
  55	2.7000e-02	2.1818	3.342747	0.000239	2.391396	0.810227	0.019158
  56	2.7500e-02	2.2219	3.260215	-0.000206	-2.060444	-0.698097	-0.016506
  57	2.8000e-02	2.2684	3.450081	0.000474	4.740089	1.605986	0.037973
  58	2.8500e-02	2.3101	3.598039	0.000369	3.693853	1.251511	0.029592
  59	2.9000e-02	2.3550	3.607447	0.000023	0.234869	0.079576	0.001882
  60	2.9500e-02	2.3759	3.823825	0.000540	5.401993	1.830245	0.043276
  61	3.0000e-02	2.4047	3.945271	0.000303	3.031949	1.027252	0.024289
  62	3.0500e-02	2.4384	4.038921	0.000234	2.338017	0.792142	0.018730
  63	3.1000e-02	2.5074	4.179182	0.000350	3.501687	1.186404	0.028052
  64	3.1500e-02	2.5459	4.176616	-0.000006	-0.064055	-0.021703	-0.000513
  65	3.2000e-02	2.5716	4.428487	0.000629	6.288091	2.130463	0.050374
  66	3.2500e-02	2.6245	4.528124	0.000249	2.487479	0.842781	0.019927
  67	3.3000e-02	2.6598	4.673517	0.000363	3.629798	1.229809	0.029079
  68	3.3500e-02	2.7128	4.484079	-0.000473	-4.729413	-1.602369	-0.037888
  69	3.4000e-02	2.7384	4.644438	0.000400	4.003454	1.356407	0.032072
  70	3.4500e-02	2.7930	4.804798	0.000400	4.003454	1.356407	0.032072
  71	3.5000e-02	2.8299	4.733384	-0.000178	-1.782871	-0.604053	-0.014283
  72	3.5500e-02	2.8603	4.923250	0.000474	4.740089	1.605986	0.037973
  73	3.6000e-02	2.9021	5.152885	0.000573	5.732945	1.942375	0.045927
  74	3.6500e-02	2.9406	5.346171	0.000483	4.825496	1.634922	0.038657
  75	3.7000e-02	2.9855	5.505675	0.000398	3.982102	1.349173	0.031901
  76	3.7500e-02	3.0160	5.411170	-0.000236	-2.359369	-0.799376	-0.018901
  77	3.8000e-02	3.0529	5.600181	0.000472	4.718737	1.598751	0.037802
  78	3.8500e-02	3.0994	5.600608	0.000001	0.010676	0.003617	0.000086
  79	3.9000e-02	3.1459	5.586924	-0.000034	-0.341628	-0.115747	-0.002737
  80	3.9500e-02	3.2004	5.858039	0.000677	6.768505	2.293232	0.054223
  81	4.0000e-02	3.2277	5.888400	0.000076	0.757987	0.256813	0.006072
  82	4.0500e-02	3.2662	6.082114	0.000484	4.836172	1.638539	0.038743
  83	4.1000e-02	3.2999	6.073562	-0.000021	-0.213518	-0.072342	-0.001711
  84	4.1500e-02	3.3593	6.239480	0.000414	4.142240	1.403429	0.033184
  85	4.2000e-02	3.3930	6.198428	-0.000102	-1.024884	-0.347240	-0.008210
  86	4.2500e-02	3.4282	6.209119	0.000027	0.266897	0.090427	0.002138
  87	4.3000e-02	3.4651	6.396846	0.000469	4.686710	1.587900	0.037545
  88	4.3500e-02	3.5036	6.485365	0.000221	2.209906	0.748737	0.017704
  89	4.4000e-02	3.5470	6.631613	0.000365	3.651150	1.237043	0.029250
  90	4.4500e-02	3.5774	6.833880	0.000505	5.049689	1.710881	0.040453
  91	4.5000e-02	3.6191	6.937792	0.000259	2.594238	0.878952	0.020783
  92	4.5500e-02	3.6641	7.127230	0.000473	4.729413	1.602369	0.037888
  93	4.6000e-02	3.7298	7.178118	0.000127	1.270429	0.430433	0.010177
  94	4.6500e-02	3.7539	6.944207	-0.000584	-5.839704	-1.978545	-0.046782
  95	4.7000e-02	3.8004	7.298708	0.000885	8.850301	2.998563	0.070900
  96	4.7500e-02	3.8213	7.360714	0.000155	1.548002	0.524477	0.012401
  97	4.8000e-02	3.8678	7.580086	0.000548	5.476724	1.855564	0.043874
  98	4.8500e-02	3.8983	7.632256	0.000130	1.302457	0.441284	0.010434
  99	4.9000e-02	3.9448	7.656203	0.000060	0.597849	0.202557	0.004789
 100	4.9500e-02	3.9769	7.672025	0.000040	0.395007	0.133832	0.003164
 101	5.0000e-02	4.0154	8.085111	0.001031	10.312896	3.494104	0.082617
 102	5.0500e-02	4.0635	7.996593	-0.000221	-2.209906	-0.748737	-0.017704
 103	5.1000e-02	4.1165	8.221951	0.000563	5.626187	1.906204	0.045072
 104	5.1500e-02	4.1598	8.115900	-0.000265	-2.647617	-0.897037	-0.021210
 105	5.2000e-02	4.1983	8.342969	0.000567	5.668890	1.920672	0.045414
 106	5.2500e-02	4.2352	8.469974	0.000317	3.170735	1.074274	0.025401
 107	5.3000e-02	4.2753	8.613228	0.000358	3.576418	1.211723	0.028651
 108	5.3500e-02	4.3250	8.697043	0.000209	2.092472	0.708949	0.016763
 109	5.4000e-02	4.3427	8.839442	0.000356	3.555067	1.204489	0.028480
 110	5.4500e-02	4.3908	8.888191	0.000122	1.217050	0.412348	0.009750
 111	5.5000e-02	4.4421	8.927533	0.000098	0.982181	0.332772	0.007868
 112	5.5500e-02	4.4582	9.031873	0.000260	2.604914	0.882569	0.020868
 113	5.6000e-02	4.4902	9.240982	0.000522	5.220503	1.768754	0.041822
 114	5.6500e-02	4.5223	9.364566	0.000309	3.085328	1.045337	0.024717
 115	5.7000e-02	4.5897	9.342329	-0.000056	-0.555146	-0.188088	-0.004447
 116	5.7500e-02	4.6282	9.418019	0.000189	1.889630	0.640224	0.015138
 117	5.8000e-02	4.6635	9.501834	0.000209	2.092472	0.708949	0.016763
 118	5.8500e-02	4.6812	9.772093	0.000675	6.747154	2.285998	0.054052
 119	5.9000e-02	4.7213	9.924327	0.000380	3.800612	1.287682	0.030447
 120	5.9500e-02	4.7951	9.891828	-0.000081	-0.811367	-0.274898	-0.006500
 121	6.0000e-02	4.8127	10.010708	0.000297	2.967894	1.005550	0.023776
 122	6.0500e-02	4.8592	10.034655	0.000060	0.597849	0.202557	0.004789
 123	6.1000e-02	4.8881	10.210409	0.000439	4.387785	1.486622	0.035151
 124	6.1500e-02	4.9282	10.381031	0.000426	4.259675	1.443217	0.034124
 125	6.2000e-02	4.9731	10.445603	0.000161	1.612057	0.546180	0.012914
 126	6.2500e-02	5.0212	10.462708	0.000043	0.427035	0.144683	0.003421
 127	6.3000e-02	5.0549	10.757341	0.000736	7.355679	2.492171	0.058927
 128	6.3500e-02	5.1111	10.642310	-0.000287	-2.871811	-0.972996	-0.023006
 129	6.4000e-02	5.1464	10.841584	0.000497	4.974958	1.685561	0.039855
 130	6.4500e-02	5.1849	10.893326	0.000129	1.291781	0.437667	0.010349
 131	6.5000e-02	5.2250	11.000233	0.000267	2.668969	0.904271	0.021381
 132	6.5500e-02	5.2603	11.061383	0.000153	1.526650	0.517243	0.012230
 133	6.6000e-02	5.3116	11.237137	0.000439	4.387785	1.486622	0.035151
 134	6.6500e-02	5.3581	11.337629	0.000251	2.508831	0.850015	0.020098
 135	6.7000e-02	5.3982	11.382530	0.000112	1.120967	0.379794	0.008980
 136	6.7500e-02	5.4191	11.575816	0.000483	4.825496	1.634922	0.038657
 137	6.8000e-02	5.4720	11.728051	0.000380	3.800612	1.287682	0.030447
 138	6.8500e-02	5.4897	11.784070	0.000140	1.398540	0.473838	0.011204
 139	6.9000e-02	5.5330	11.945284	0.000402	4.024805	1.363641	0.032243
 140	6.9500e-02	5.5763	11.967093	0.000054	0.544470	0.184471	0.004362
 141	7.0000e-02	5.6276	12.100940	0.000334	3.341549	1.132148	0.026769
 142	7.0500e-02	5.6694	12.246333	0.000363	3.629798	1.229809	0.029079
 143	7.1000e-02	5.7079	12.373337	0.000317	3.170735	1.074274	0.025401
 144	7.1500e-02	5.7448	12.362647	-0.000027	-0.266897	-0.090427	-0.002138
 145	7.2000e-02	5.7849	12.439619	0.000192	1.921658	0.651075	0.015395
 146	7.2500e-02	5.8218	12.712444	0.000681	6.811209	2.307700	0.054565
 147	7.3000e-02	5.8683	12.610669	-0.000254	-2.540859	-0.860866	-0.020355
 148	7.3500e-02	5.9228	12.758628	0.000369	3.693853	1.251511	0.029592
 149	7.4000e-02	5.9517	12.874942	0.000290	2.903838	0.983847	0.023263
 150	7.4500e-02	5.9982	13.010927	0.000339	3.394929	1.150233	0.027197
 151	7.5000e-02	6.0143	13.125103	0.000285	2.850459	0.965762	0.022835
 152	7.5500e-02	6.0816	13.235002	0.000274	2.743700	0.929591	0.021980
 153	7.6000e-02	6.1121	13.367566	0.000331	3.309522	1.121296	0.026513
 154	7.6500e-02	6.1298	13.461644	0.000235	2.348693	0.795759	0.018816
 155	7.7000e-02	6.1699	13.535623	0.000185	1.846927	0.625756	0.014796
 156	7.7500e-02	6.2308	13.648088	0.000281	2.807755	0.951293	0.022493
 157	7.8000e-02	6.2661	13.733186	0.000212	2.124499	0.719800	0.017019
 158	7.8500e-02	6.2870	13.935452	0.000505	5.049689	1.710881	0.040453
 159	7.9000e-02	6.3415	14.110779	0.000438	4.377109	1.483005	0.035065
 160	7.9500e-02	6.3688	14.109496	-0.000003	-0.032028	-0.010851	-0.000257
 161	8.0000e-02	6.4233	14.326302	0.000541	5.412669	1.833862	0.043361
 162	8.0500e-02	6.4715	14.343835	0.000044	0.437711	0.148300	0.003507
 163	8.1000e-02	6.4667	14.685507	-0.000853	-8.530025	-2.890051	0.068335
 164	8.1500e-02	6.5148	14.598699	-0.000217	-2.167203	-0.734268	-0.017362
 165	8.2000e-02	6.5870	14.741098	0.000356	3.555067	1.204489	0.028480
 166	8.2500e-02	6.6207	14.670540	-0.000176	-1.761520	-0.596819	-0.014112
 167	8.3000e-02	6.6544	14.810374	0.000349	3.491011	1.182787	0.027967
 168	8.3500e-02	6.6977	15.040864	0.000575	5.754297	1.949609	0.046098
 169	8.4000e-02	6.7490	14.989976	-0.000127	-1.270429	-0.430433	-0.010177
 170	8.4500e-02	6.7843	15.038726	0.000122	1.217050	0.412348	0.009750
 171	8.5000e-02	6.8340	15.242703	0.000509	5.092393	1.725349	0.040795
 172	8.5500e-02	6.8661	15.219184	-0.000059	-0.587173	-0.198940	-0.004704
 173	8.6000e-02	6.8773	15.492864	0.000683	6.832561	2.314934	0.054736
 174	8.6500e-02	6.9415	15.594211	0.000253	2.530183	0.857249	0.020269
 175	8.7000e-02	6.9880	15.538192	-0.000140	-1.398540	-0.473838	-0.011204
 176	8.7500e-02	7.0073	15.795622	0.000643	6.426877	2.177485	0.051486
 177	8.8000e-02	7.0474	15.949995	0.000385	3.853991	1.305768	0.030875
 178	8.8500e-02	7.1196	15.971376	0.000053	0.533794	0.180854	0.004276
 179	8.9000e-02	7.1661	16.043217	0.000179	1.793547	0.607670	0.014368
 180	8.9500e-02	7.1886	16.010718	-0.000081	-0.811367	-0.274898	-0.006500
 181	9.0000e-02	7.2110	16.226241	0.000538	5.380642	1.823011	0.043105
 182	9.0500e-02	7.2608	16.444758	0.000546	5.455373	1.848330	0.043703
 183	9.1000e-02	7.2848	16.539263	0.000236	2.359369	0.799376	0.018901
 184	9.1500e-02	7.3474	16.610676	0.000178	1.782871	0.604053	0.014283
 185	9.2000e-02	7.3923	16.672254	0.000154	1.537326	0.520860	0.012316
 186	9.2500e-02	7.4164	16.750937	0.000196	1.964361	0.665544	0.015737
 187	9.3000e-02	7.4468	17.000243	0.000622	6.224036	2.108760	0.049861
 188	9.3500e-02	7.4950	17.040012	0.000099	0.992856	0.336389	0.007954
 189	9.4000e-02	7.5431	17.219615	0.000448	4.483868	1.519176	0.035921
 190	9.4500e-02	7.5752	17.159747	-0.000149	-1.494623	-0.506392	-0.011974
 191	9.5000e-02	7.6297	17.360303	0.000501	5.006986	1.696413	0.040111
 192	9.5500e-02	7.6730	17.519808	0.000398	3.982102	1.349173	0.031901
 193	9.6000e-02	7.7019	17.604050	0.000210	2.103148	0.712566	0.016848
 194	9.6500e-02	7.7629	17.621155	0.000043	0.427035	0.144683	0.003421
 195	9.7000e-02	7.7934	17.698555	0.000193	1.932334	0.654692	0.015480
 196	9.7500e-02	7.8335	17.768685	0.000175	1.750844	0.593202	0.014026
 197	9.8000e-02	7.8656	17.983781	0.000537	5.369966	1.819394	0.043019
 198	9.8500e-02	7.9137	18.007728	0.000060	0.597849	0.202557	0.004789
 199	9.9000e-02	7.9570	18.205291	0.000493	4.932255	1.671093	0.039513
 200	9.9500e-02	7.9811	18.417393	0.000530	5.295235	1.794074	0.042420
 201	1.0000e-01	8.0260	18.319467	-0.000244	-2.444776	-0.828312	-0.019585
 202	1.0050e-01	8.0709	18.519595	0.000500	4.996310	1.692796	0.040026
 203	1.0100e-01	8.1046	18.551667	0.000080	0.800691	0.271281	0.006414
 204	1.0150e-01	8.1351	18.706468	0.000386	3.864667	1.309385	0.030960
 205	1.0200e-01	8.1960	18.844163	0.000344	3.437632	1.164701	0.027539
 206	1.0250e-01	8.2329	18.926267	0.000205	2.049768	0.694480	0.016421
 207	1.0300e-01	8.2618	19.034029	0.000269	2.690321	0.911505	0.021552
 208	1.0350e-01	8.2971	19.215342	0.000453	4.526571	1.533644	0.036263
 209	1.0400e-01	8.3484	19.340208	0.000312	3.117356	1.056189	0.024973
 210	1.0450e-01	8.4046	19.365438	0.000063	0.629877	0.213408	0.005046
 211	1.0500e-01	8.4078	19.436852	0.000178	1.782871	0.604053	0.014283
 212	1.0550e-01	8.4543	19.596356	0.000398	3.982102	1.349173	0.031901
 213	1.0600e-01	8.5089	19.755005	0.000396	3.960750	1.341938	0.031730
 214	1.0650e-01	8.5345	19.766551	0.000029	0.288249	0.097661	0.002309
 215	1.0700e-01	8.5778	19.944443	0.000444	4.441164	1.504707	0.035578
 216	1.0750e-01	8.6228	20.032106	0.000219	2.188555	0.741502	0.017533
 217	1.0800e-01	8.6500	20.051349	0.000048	0.480414	0.162769	0.003849
 218	1.0850e-01	8.6998	20.358812	0.000768	7.675955	2.600684	0.061493
 219	1.0900e-01	8.7399	20.375489	0.000042	0.416359	0.141066	0.003335
 220	1.0950e-01	8.7896	20.288254	-0.000218	-2.177879	-0.737885	-0.017447
 221	1.1000e-01	8.8056	20.628216	0.000849	8.487322	2.875582	0.067992
 222	1.1050e-01	8.8650	20.651307	0.000058	0.576497	0.195323	0.004618
 223	1.1100e-01	8.9051	20.587164	-0.000160	-1.601381	-0.542563	-0.012829
 224	1.1150e-01	8.9452	20.890778	0.000758	7.579872	2.568130	0.060723
 225	1.1200e-01	8.9933	20.762918	-0.000319	-3.192087	-1.081508	-0.025572
 226	1.1250e-01	9.0158	21.057979	0.000737	7.366355	2.495788	0.059012
 227	1.1300e-01	9.0415	21.248700	0.000476	4.761441	1.613220	0.038144
 228	1.1350e-01	9.0976	21.243568	-0.000013	-0.128111	-0.043405	-0.001026
 229	1.1400e-01	9.1457	21.387678	0.000360	3.597770	1.218958	0.028822
 230	1.1450e-01	9.1810	21.344060	-0.000109	-1.088939	-0.368943	-0.008724
 231	1.1500e-01	9.1955	21.808889	0.001160	11.604677	3.931771	0.092966
 232	1.1550e-01	9.2677	21.645964	-0.000407	-4.067509	-1.378109	-0.032585
