»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 19:25:46
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 07:25:17 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0449	-2.730601	0.000630	6.295308	2.132908	0.050545
   2	5.0000e-04	0.0561	-2.477875	0.000630	6.295308	2.132908	0.050545
   3	1.0000e-03	0.1219	-2.720338	-0.000604	-6.039661	-2.046293	-0.048493
   4	1.5000e-03	0.1636	-2.423994	0.000738	7.381808	2.501024	0.059269
   5	2.0000e-03	0.1893	-2.492414	-0.000170	-1.704314	-0.577437	-0.013684
   6	2.5000e-03	0.2358	-2.139195	0.000880	8.798518	2.981019	0.070644
   7	3.0000e-03	0.2759	-2.201629	-0.000156	-1.555186	-0.526911	-0.012487
   8	3.5000e-03	0.3144	-2.172550	0.000072	0.724333	0.245411	0.005816
   9	4.0000e-03	0.3658	-2.081038	0.000228	2.279519	0.772322	0.018302
  10	4.5000e-03	0.4091	-1.966862	0.000284	2.844073	0.963598	0.022835
  11	5.0000e-03	0.4428	-1.762458	0.000509	5.091637	1.725093	0.040881
  12	5.5000e-03	0.4797	-1.754333	0.000020	0.202387	0.068571	0.001625
  13	6.0000e-03	0.5021	-1.593973	0.000399	3.994485	1.353368	0.032072
  14	6.5000e-03	0.5807	-1.544796	0.000122	1.224975	0.415033	0.009835
  15	7.0000e-03	0.6337	-1.460127	0.000211	2.109088	0.714578	0.016934
  16	7.5000e-03	0.6337	-1.441311	-0.000047	-0.468686	-0.158795	0.003763
  17	8.0000e-03	0.6818	-1.338253	0.000257	2.567122	0.869765	0.020612
  18	8.5000e-03	0.7171	-1.192005	0.000364	3.642970	1.234272	0.029250
  19	9.0000e-03	0.7524	-1.137269	0.000136	1.363451	0.461950	0.010947
  20	9.5000e-03	0.8230	-1.157795	-0.000051	-0.511294	-0.173231	-0.004105
  21	1.0000e-02	0.8326	-0.765663	0.000977	9.767847	3.309436	0.078426
  22	1.0500e-02	0.8679	-0.899082	-0.000332	-3.323411	-1.126002	-0.026684
  23	1.1000e-02	0.9208	-0.749841	0.000372	3.717534	1.259535	0.029848
  24	1.1500e-02	0.9513	-0.637375	0.000280	2.801465	0.949162	0.022493
