»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 11:25:6
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 11:24:42 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0000	-2.432374	0.000071	0.709297	0.240316	0.000028
   2	9.9500e-02	0.0353	-2.404114	0.000071	0.709297	0.240316	0.000028
   3	1.9900e-01	0.0722	-2.295112	0.000274	2.735861	0.926935	0.000110
   4	2.9850e-01	0.1155	-2.178035	0.000294	2.938518	0.995597	0.000118
   5	3.9800e-01	0.1524	-2.089218	0.000223	2.229220	0.755280	0.000089
   6	4.9750e-01	0.1893	-1.976178	0.000284	2.837189	0.961266	0.000114
   7	5.9700e-01	0.2374	-1.907547	0.000172	1.722579	0.583626	0.000069
   8	6.9650e-01	0.2856	-1.790470	0.000294	2.938518	0.995597	0.000118
   9	7.9600e-01	0.3048	-1.725876	0.000162	1.621251	0.549295	0.000065
  10	8.9550e-01	0.3513	-1.620910	0.000263	2.634533	0.892604	0.000105
  11	9.9500e-01	0.3898	-1.519982	0.000253	2.533205	0.858273	0.000101
  12	1.0945e+00	0.4347	-1.439239	0.000203	2.026564	0.686618	0.000081
  13	1.1940e+00	0.4732	-1.322162	0.000294	2.938518	0.995597	0.000118
  14	1.2935e+00	0.5214	-1.225271	0.000243	2.431877	0.823942	0.000097
  15	1.3930e+00	0.5519	-1.136454	0.000223	2.229220	0.755280	0.000089
  16	1.4925e+00	0.5839	-1.015340	0.000304	3.039846	1.029928	0.000122
  17	1.5920e+00	0.6305	-0.946708	0.000172	1.722579	0.583626	0.000069
  18	1.6915e+00	0.6802	-0.845780	0.000253	2.533205	0.858273	0.000101
  19	1.7910e+00	0.7027	-0.724666	0.000304	3.039846	1.029928	0.000122
  20	1.8905e+00	0.7524	-0.651997	0.000182	1.823907	0.617957	0.000073
  21	1.9900e+00	0.7925	-0.563180	0.000223	2.229220	0.755280	0.000089
  22	2.0895e+00	0.8326	-0.429955	0.000334	3.343830	1.132920	0.000134
  23	2.1890e+00	0.8647	-0.357287	0.000182	1.823907	0.617957	0.000073
  24	2.2885e+00	0.9112	-0.244247	0.000284	2.837189	0.961266	0.000114
  25	2.3880e+00	0.9561	-0.175615	0.000172	1.722579	0.583626	0.000069
  26	2.4875e+00	0.9882	-0.054501	0.000304	3.039846	1.029928	0.000122
  27	2.5870e+00	1.0267	0.042390	0.000243	2.431877	0.823942	0.000097
  28	2.6865e+00	1.0700	0.102947	0.000152	1.519923	0.514964	0.000061
  29	2.7860e+00	1.1117	0.207912	0.000263	2.634533	0.892604	0.000105
  30	2.8855e+00	1.1438	0.308841	0.000253	2.533205	0.858273	0.000101
  31	2.9850e+00	1.1871	0.433992	0.000314	3.141174	1.064259	0.000126
  32	3.0845e+00	1.2369	0.498586	0.000162	1.621251	0.549295	0.000065
  33	3.1840e+00	1.2738	0.647960	0.000375	3.749143	1.270244	0.000150
  34	3.2835e+00	1.3058	0.704480	0.000142	1.418595	0.480633	0.000057
  35	3.3830e+00	1.3524	0.797334	0.000233	2.330548	0.789611	0.000093
  36	3.4825e+00	1.3925	0.946708	0.000375	3.749143	1.270244	0.000150
  37	3.5820e+00	1.4342	1.043600	0.000243	2.431877	0.823942	0.000097
  38	3.6815e+00	1.4727	1.112231	0.000172	1.722579	0.583626	0.000069
  39	3.7810e+00	1.5144	1.233345	0.000304	3.039846	1.029928	0.000122
  40	3.8805e+00	1.5529	1.334273	0.000253	2.533205	0.858273	0.000101
  41	3.9800e+00	1.5930	1.415016	0.000203	2.026564	0.686618	0.000081
  42	4.0795e+00	1.6299	1.536130	0.000304	3.039846	1.029928	0.000122
  43	4.1790e+00	1.6812	1.596687	0.000152	1.519923	0.514964	0.000061
  44	4.2785e+00	1.7069	1.721838	0.000314	3.141174	1.064259	0.000126
  45	4.3780e+00	1.7534	1.859101	0.000345	3.445159	1.167251	0.000138
  46	4.4775e+00	1.7983	1.923695	0.000162	1.621251	0.549295	0.000065
  47	4.5770e+00	1.8368	2.028661	0.000263	2.634533	0.892604	0.000105
  48	4.6765e+00	1.8689	2.125552	0.000243	2.431877	0.823942	0.000097
  49	4.7760e+00	1.9122	2.206295	0.000203	2.026564	0.686618	0.000081
  50	4.8755e+00	1.9475	2.335483	0.000324	3.242502	1.098589	0.000130
  51	4.9750e+00	1.9860	2.408151	0.000182	1.823907	0.617957	0.000073
  52	5.0745e+00	2.0261	2.517154	0.000274	2.735861	0.926935	0.000110
  53	5.1740e+00	2.0663	2.638268	0.000304	3.039846	1.029928	0.000122
  54	5.2735e+00	2.1080	2.739197	0.000253	2.533205	0.858273	0.000101
  55	5.3730e+00	2.1481	2.799754	0.000152	1.519923	0.514964	0.000061
  56	5.4725e+00	2.1769	2.920868	0.000304	3.039846	1.029928	0.000122
  57	5.5720e+00	2.2219	3.001610	0.000203	2.026564	0.686618	0.000081
  58	5.6715e+00	2.2668	3.122724	0.000304	3.039846	1.029928	0.000122
  59	5.7710e+00	2.3069	3.183282	0.000152	1.519923	0.514964	0.000061
  60	5.8705e+00	2.3502	3.316507	0.000334	3.343830	1.132920	0.000134
  61	5.9700e+00	2.3871	3.421473	0.000263	2.634533	0.892604	0.000105
  62	6.0695e+00	2.4304	3.510290	0.000223	2.229220	0.755280	0.000089
  63	6.1690e+00	2.4705	3.647552	0.000345	3.445159	1.167251	0.000138
  64	6.2685e+00	2.5042	3.748481	0.000253	2.533205	0.858273	0.000101
  65	6.3680e+00	2.5491	3.841335	0.000233	2.330548	0.789611	0.000093
  66	6.4675e+00	2.5860	3.905929	0.000162	1.621251	0.549295	0.000065
  67	6.5670e+00	2.6213	4.055303	0.000375	3.749143	1.270244	0.000150
  68	6.6665e+00	2.6582	4.127971	0.000182	1.823907	0.617957	0.000073
  69	6.7660e+00	2.7144	4.241011	0.000284	2.837189	0.961266	0.000114
  70	6.8655e+00	2.7448	4.382311	0.000355	3.546487	1.201582	0.000142
  71	6.9650e+00	2.7817	4.459016	0.000193	1.925236	0.652288	0.000077
