»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 11:16:13
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 11:15:55 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0257	-1.687409	0.000209	2.088035	0.707445	0.016763
   2	5.0000e-04	0.0561	-1.603595	0.000209	2.088035	0.707445	0.016763
   3	1.0000e-03	0.1139	-1.487708	0.000289	2.887028	0.978152	0.023177
   4	1.5000e-03	0.1524	-1.702376	-0.000535	-5.347926	-1.811926	-0.042934
   5	2.0000e-03	0.1845	-1.417150	0.000711	7.105711	2.407480	0.057045
   6	2.5000e-03	0.2454	-1.195640	0.000552	5.518378	1.869677	0.044302
   7	3.0000e-03	0.2968	-1.354289	-0.000395	-3.952352	-1.339093	-0.031730
   8	3.5000e-03	0.3289	-1.214028	0.000349	3.494263	1.183888	0.028052
   9	4.0000e-03	0.3642	-1.161858	0.000130	1.299695	0.440349	0.010434
  10	4.5000e-03	0.4059	-0.983538	0.000444	4.442401	1.505126	0.035664
  11	5.0000e-03	0.4460	-1.029722	-0.000115	-1.150550	-0.389817	-0.009237
  12	5.5000e-03	0.4861	-0.918967	0.000276	2.759189	0.934839	0.022151
  13	6.0000e-03	0.5134	-0.813771	0.000262	2.620697	0.887916	0.021039
  14	6.5000e-03	0.5583	-0.697457	0.000290	2.897681	0.981761	0.023263
  15	7.0000e-03	0.6176	-0.675220	0.000055	0.553968	0.187690	0.004447
  16	7.5000e-03	0.6369	-0.609794	0.000163	1.629946	0.552241	0.013085
  17	8.0000e-03	0.6625	-0.457131	0.000380	3.803207	1.288561	0.030532
  18	8.5000e-03	0.7203	-0.375455	0.000203	2.034769	0.689398	0.016335
  19	9.0000e-03	0.7476	-0.315160	0.000150	1.502107	0.508928	0.012059
  20	9.5000e-03	0.8053	-0.283088	0.000080	0.798993	0.270706	0.006414
  21	1.0000e-02	0.8454	-0.129998	0.000381	3.813860	1.292171	0.030618
  22	1.0500e-02	0.8839	-0.247595	-0.000293	-2.929641	-0.992589	-0.023519
  23	1.1000e-02	0.9112	-0.017960	0.000572	5.720790	1.938256	0.045927
  24	1.1500e-02	0.9353	0.090229	0.000270	2.695270	0.913182	0.021638
