»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 11:33:56
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 11:33:30 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0241	-3.222798	0.000358	3.576608	1.211788	0.028822
   2	5.0000e-04	0.0642	-3.078688	0.000358	3.576608	1.211788	0.028822
   3	1.0000e-03	0.1380	-3.136418	-0.000143	-1.432766	-0.485434	-0.011546
   4	1.5000e-03	0.1620	-3.012406	0.000308	3.077794	1.042785	0.024802
   5	2.0000e-03	0.1845	-2.923460	0.000221	2.207521	0.747928	0.017789
   6	2.5000e-03	0.2551	-2.916191	0.000018	0.180422	0.061129	0.001454
   7	3.0000e-03	0.2936	-2.806718	0.000272	2.716949	0.920527	0.021894
   8	3.5000e-03	0.3192	-2.688694	0.000293	2.929210	0.992443	0.023605
   9	4.0000e-03	0.3818	-2.639517	0.000122	1.220504	0.413518	0.009835
  10	4.5000e-03	0.3818	-2.510802	-0.000319	-3.194537	-1.082339	0.025743
  11	5.0000e-03	0.4652	-2.512512	-0.000004	-0.042452	-0.014383	-0.000342
  12	5.5000e-03	0.4957	-2.470177	0.000105	1.050695	0.355985	0.008467
  13	6.0000e-03	0.5294	-2.282450	0.000466	4.659143	1.578560	0.037545
  14	6.5000e-03	0.5711	-2.243964	0.000096	0.955177	0.323623	0.007697
  15	7.0000e-03	0.6000	-2.152879	0.000226	2.260586	0.765907	0.018217
  16	7.5000e-03	0.6433	-2.057519	0.000237	2.366717	0.801865	0.019072
  17	8.0000e-03	0.6866	-1.990809	0.000166	1.655641	0.560946	0.013342
  18	8.5000e-03	0.7139	-1.856535	0.000333	3.332507	1.129084	0.026855
  19	9.0000e-03	0.7556	-1.880910	-0.000060	-0.604946	-0.204961	-0.004875
  20	9.5000e-03	0.8198	-1.771865	0.000271	2.706336	0.916931	0.021809
  21	1.0000e-02	0.8358	-1.674794	0.000241	2.409169	0.816249	0.019414
  22	1.0500e-02	0.9048	-1.576441	0.000244	2.441009	0.827036	0.019671
  23	1.1000e-02	0.9176	-1.502034	0.000185	1.846676	0.625671	0.014881
  24	1.1500e-02	0.9369	-1.371180	0.000325	3.247603	1.100318	0.026171
