»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 12:2:46
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 12:02:27 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0449	-1.658758	0.000465	4.649376	1.575251	0.037289
   2	5.0000e-04	0.0610	-1.472314	0.000465	4.649376	1.575251	0.037289
   3	1.0000e-03	0.0946	-1.567674	-0.000238	-2.378006	-0.805690	-0.019072
   4	1.5000e-03	0.1733	-1.506096	0.000154	1.535574	0.520266	0.012316
   5	2.0000e-03	0.2118	-1.409881	0.000240	2.399334	0.812916	0.019243
   6	2.5000e-03	0.2454	-1.398762	0.000028	0.277256	0.093937	0.002224
   7	3.0000e-03	0.2807	-1.239258	0.000398	3.977562	1.347635	0.031901
   8	3.5000e-03	0.3176	-1.260639	-0.000053	-0.533185	-0.180648	-0.004276
   9	4.0000e-03	0.3481	-1.200344	0.000150	1.503582	0.509428	0.012059
  10	4.5000e-03	0.3946	-1.131069	0.000173	1.727520	0.585300	0.013855
  11	5.0000e-03	0.4299	-0.918967	0.000529	5.289198	1.792029	0.042420
  12	5.5000e-03	0.4829	-0.900579	0.000046	0.458539	0.155357	0.003678
  13	6.0000e-03	0.5214	-0.788969	0.000278	2.783227	0.942983	0.022322
  14	6.5000e-03	0.5486	-0.805218	-0.000041	-0.405221	-0.137293	-0.003250
  15	7.0000e-03	0.5904	-0.605517	0.000498	4.979950	1.687253	0.039940
  16	7.5000e-03	0.6369	-0.541801	0.000159	1.588892	0.538331	0.012743
  17	8.0000e-03	0.6850	-0.473381	0.000171	1.706193	0.578074	0.013684
  18	8.5000e-03	0.7299	-0.355784	0.000293	2.932519	0.993564	0.023519
  19	9.0000e-03	0.7652	-0.381869	-0.000065	-0.650486	-0.220391	-0.005217
  20	9.5000e-03	0.8037	-0.138123	0.000608	6.078312	2.059388	0.048749
  21	1.0000e-02	0.8583	-0.162070	-0.000060	-0.597168	-0.202326	-0.004789
  22	1.0500e-02	0.8920	-0.073124	0.000222	2.218051	0.751496	0.017789
  23	1.1000e-02	0.9128	0.059868	0.000332	3.316412	1.123631	0.026598
  24	1.1500e-02	0.9625	-0.002138	-0.000155	-1.546237	-0.523879	-0.012401
