»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 14:56:27
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 02:55:04 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0850	-2.242768	0.000062	0.623117	0.211118	0.491516
   2	1.0000e-04	0.6240	-1.751253	0.000062	0.623117	0.211118	0.491516
   3	2.0000e-04	1.4951	2.064366	0.000484	4.837237	1.638900	3.815619
   4	3.0000e-04	2.2267	4.751319	0.000341	3.406375	1.154111	2.686953
   5	4.0000e-04	3.1266	5.253758	0.000064	0.636964	0.215809	0.502438
   6	5.0000e-04	3.8357	7.423709	0.000275	2.750948	0.932046	2.169951
   7	6.0000e-04	4.6443	10.420135	0.000380	3.798708	1.287037	2.996426
   8	7.0000e-04	5.4801	11.916527	0.000190	1.897046	0.642737	1.496393
   9	8.0000e-04	6.2340	13.951767	0.000258	2.580168	0.874184	2.035239
  10	9.0000e-04	7.0506	16.482163	0.000321	3.207901	1.086866	2.530396
  11	1.0000e-03	7.8142	18.641191	0.000274	2.737101	0.927355	2.159029
  12	1.1000e-03	8.6629	20.498029	0.000235	2.353999	0.797556	1.856837
  13	1.2000e-03	9.4537	22.729875	0.000283	2.829415	0.958632	2.231846
  14	1.3000e-03	10.2174	25.089150	0.000299	2.990964	1.013366	2.359276
  15	1.4000e-03	11.0484	27.248179	0.000274	2.737101	0.927355	2.159029
  16	1.5000e-03	11.8344	29.188756	0.000246	2.460160	0.833525	1.940577
  17	1.6000e-03	12.6349	31.478856	0.000290	2.903266	0.983653	2.290099
  18	1.7000e-03	13.4723	33.754392	0.000288	2.884803	0.977398	2.275536
  19	1.8000e-03	14.2087	35.775068	0.000256	2.561705	0.867929	2.020676
  20	1.9000e-03	15.0445	37.890406	0.000268	2.681713	0.908589	2.115338
  21	2.0000e-03	15.8161	40.013026	0.000269	2.690944	0.911717	2.122620
  22	2.1000e-03	16.6519	42.259435	0.000285	2.847877	0.964887	2.246409
  23	2.2000e-03	17.4348	44.462154	0.000279	2.792489	0.946121	2.202719
  24	2.3000e-03	18.2257	46.548366	0.000264	2.644787	0.896078	2.086211
  25	2.4000e-03	19.0438	48.554478	0.000254	2.543242	0.861674	2.006113
  26	2.5000e-03	19.8026	50.979289	0.000307	3.074046	1.041515	2.424811
  27	2.6000e-03	19.5845	51.827609	-0.000108	-1.075454	-0.364374	0.848320
