»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 15:26:24
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 03:25:11 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0674	-2.679671	0.000060	0.602486	0.204128	0.476952
   2	1.0000e-04	0.6914	-2.202719	0.000060	0.602486	0.204128	0.476952
   3	2.0000e-04	1.5032	1.361681	0.000450	4.502547	1.525504	3.564400
   4	3.0000e-04	2.2010	4.456410	0.000391	3.909259	1.324493	3.094729
   5	4.0000e-04	3.1138	5.213708	0.000096	0.956619	0.324111	0.757298
   6	5.0000e-04	3.8277	8.242902	0.000383	3.826475	1.296445	3.029194
   7	6.0000e-04	4.6747	10.605818	0.000298	2.984835	1.011289	2.362917
   8	7.0000e-04	5.4239	12.437170	0.000231	2.313362	0.783788	1.831351
   9	8.0000e-04	6.1955	14.552508	0.000267	2.672094	0.905330	2.115338
  10	9.0000e-04	7.0731	17.137517	0.000327	3.265381	1.106341	2.585009
  11	1.0000e-03	7.8784	19.806266	0.000337	3.371161	1.142180	2.668749
  12	1.1000e-03	8.6580	21.488342	0.000212	2.124797	0.719901	1.682076
  13	1.2000e-03	9.4152	24.200781	0.000343	3.426351	1.160879	2.712439
  14	1.3000e-03	10.1580	26.367091	0.000274	2.736482	0.927145	2.166310
  15	1.4000e-03	11.0339	28.919333	0.000322	3.223989	1.092317	2.552241
  16	1.5000e-03	11.8793	31.482497	0.000324	3.237787	1.096992	2.563164
  17	1.6000e-03	12.6462	34.023815	0.000321	3.210192	1.087642	2.541319
  18	1.7000e-03	13.4306	36.201048	0.000275	2.750279	0.931820	2.177233
  19	1.8000e-03	14.1493	38.396485	0.000277	2.773275	0.939611	2.195437
  20	1.9000e-03	15.0461	40.843142	0.000309	3.090614	1.047129	2.446656
  21	2.0000e-03	15.8643	43.759469	0.000368	3.683902	1.248140	2.916327
  22	2.1000e-03	16.6648	46.169716	0.000304	3.044623	1.031546	2.410248
  23	2.2000e-03	17.4107	48.295977	0.000269	2.685891	0.910005	2.126261
  24	2.3000e-03	18.1503	50.338499	0.000258	2.580111	0.874165	2.042521
  25	2.4000e-03	19.0374	53.054578	0.000343	3.430950	1.162437	2.716080
