»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 10:15:39
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 10:15:11 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0080	-3.968569	0.000202	2.020442	0.684544	0.016132
   2	5.0000e-04	0.0144	-3.887907	0.000202	2.020442	0.684544	0.016132
   3	1.0000e-03	0.0642	-3.875808	0.000030	0.303066	0.102682	0.002420
   4	1.5000e-03	0.0850	-3.779013	0.000242	2.424530	0.821453	0.019359
   5	2.0000e-03	0.1332	-3.617689	0.000404	4.040884	1.369088	0.032265
   6	2.5000e-03	0.1620	-3.460399	0.000394	3.939862	1.334861	0.031458
   7	3.0000e-03	0.2037	-3.412001	0.000121	1.212265	0.410727	0.009679
   8	3.5000e-03	0.2487	-3.254711	0.000394	3.939862	1.334861	0.031458
   9	4.0000e-03	0.2904	-3.129685	0.000313	3.131685	1.061044	0.025005
  10	4.5000e-03	0.3353	-2.944162	0.000465	4.647016	1.574452	0.037105
  11	5.0000e-03	0.3690	-2.831235	0.000283	2.828619	0.958362	0.022585
  12	5.5000e-03	0.4043	-2.694110	0.000343	3.434751	1.163725	0.027425
  13	6.0000e-03	0.4412	-2.544885	0.000374	3.737817	1.266407	0.029845
  14	6.5000e-03	0.4893	-2.359363	0.000465	4.647016	1.574452	0.037105
  15	7.0000e-03	0.5294	-2.230304	0.000323	3.232707	1.095271	0.025812
  16	7.5000e-03	0.5695	-2.105277	0.000313	3.131685	1.061044	0.025005
  17	8.0000e-03	0.6080	-2.012516	0.000232	2.323508	0.787226	0.018552
  18	8.5000e-03	0.6497	-1.907656	0.000263	2.626574	0.889907	0.020972
  19	9.0000e-03	0.6866	-1.798762	0.000273	2.727596	0.924135	0.021779
  20	9.5000e-03	0.7235	-1.641471	0.000394	3.939862	1.334861	0.031458
  21	1.0000e-02	0.7604	-1.455949	0.000465	4.647016	1.574452	0.037105
  22	1.0500e-02	0.8150	-1.338989	0.000293	2.929641	0.992589	0.023392
  23	1.1000e-02	0.8486	-1.282525	0.000141	1.414309	0.479181	0.011293
  24	1.1500e-02	0.8871	-1.173632	0.000273	2.727596	0.924135	0.021779
  25	1.2000e-02	0.9337	-0.988109	0.000465	4.647016	1.574452	0.037105
