»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 10:1:37
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 10:00:19 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0497	-2.827126	0.000047	0.465616	0.157755	0.367727
   2	1.0000e-04	0.6706	-2.459399	0.000047	0.465616	0.157755	0.367727
   3	2.0000e-04	1.5353	1.141409	0.000456	4.559348	1.544749	3.600808
   4	3.0000e-04	2.2042	3.464276	0.000294	2.941218	0.996512	2.322867
   5	4.0000e-04	3.0737	6.100257	0.000334	3.337683	1.130838	2.635981
   6	5.0000e-04	3.8389	9.260522	0.000400	4.001531	1.355755	3.160264
   7	6.0000e-04	4.6266	12.209616	0.000373	3.734148	1.265164	2.949095
   8	7.0000e-04	5.4223	14.674477	0.000312	3.121010	1.057427	2.464861
   9	8.0000e-04	6.2517	16.706076	0.000257	2.572413	0.871557	2.031599
  10	9.0000e-04	7.0442	19.775319	0.000389	3.886280	1.316707	3.069243
  11	1.0000e-03	7.8287	23.547247	0.000478	4.776021	1.618160	3.771929
  12	1.1000e-03	8.6484	26.154101	0.000330	3.300802	1.118342	2.606854
  13	1.2000e-03	9.4217	29.023097	0.000363	3.632726	1.230801	2.868996
  14	1.3000e-03	10.2286	31.083823	0.000261	2.609293	0.884053	2.060725
  15	1.4000e-03	11.0018	34.207678	0.000396	3.955431	1.340136	3.123856
  16	1.5000e-03	11.8296	38.110678	0.000494	4.941983	1.674389	3.902999
  17	1.6000e-03	12.6542	40.844962	0.000346	3.462154	1.173010	2.734284
  18	1.7000e-03	13.4659	43.750367	0.000368	3.678827	1.246420	2.905404
  19	1.8000e-03	14.2263	45.687303	0.000245	2.452551	0.830947	1.936936
  20	1.9000e-03	15.0140	48.599989	0.000369	3.688047	1.249544	2.912686
  21	2.0000e-03	15.8354	52.677750	0.000516	5.163266	1.749362	4.077761
  22	2.1000e-03	16.6295	55.200864	0.000319	3.194771	1.082418	2.523114
  23	2.2000e-03	17.4172	57.800436	0.000329	3.291582	1.115218	2.599572
  24	2.3000e-03	18.2385	59.649992	0.000234	2.341910	0.793461	1.849556
  25	2.4000e-03	19.0471	62.668263	0.000382	3.821739	1.294840	3.018271
