»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 11:48:32
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 11:48:04 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0032	-4.951547	0.000375	3.750647	1.270754	0.000150
   2	9.9500e-02	0.0305	-4.802173	0.000375	3.750647	1.270754	0.000150
   3	1.9900e-01	0.0674	-4.628576	0.000436	4.358860	1.476822	0.000174
   4	2.9850e-01	0.1139	-4.507462	0.000304	3.041065	1.030341	0.000122
   5	3.9800e-01	0.1476	-4.289457	0.000547	5.473918	1.854614	0.000219
   6	4.9750e-01	0.1877	-4.188528	0.000253	2.534221	0.858617	0.000101
   7	5.9700e-01	0.2262	-4.023006	0.000416	4.156123	1.408133	0.000166
   8	6.9650e-01	0.2663	-3.857483	0.000416	4.156123	1.408133	0.000166
   9	7.9600e-01	0.3144	-3.679849	0.000446	4.460229	1.511167	0.000179
  10	8.9550e-01	0.3529	-3.574884	0.000264	2.635590	0.892962	0.000105
  11	9.9500e-01	0.3866	-3.397250	0.000446	4.460229	1.511167	0.000179
  12	1.0945e+00	0.4315	-3.203467	0.000487	4.865705	1.648545	0.000195
  13	1.1940e+00	0.4749	-3.066205	0.000345	3.446541	1.167720	0.000138
  14	1.2935e+00	0.5101	-2.920868	0.000365	3.649279	1.236409	0.000146
  15	1.3930e+00	0.5454	-2.751308	0.000426	4.257492	1.442477	0.000170
  16	1.4925e+00	0.5855	-2.597897	0.000385	3.852016	1.305098	0.000154
  17	1.5920e+00	0.6192	-2.444486	0.000385	3.852016	1.305098	0.000154
  18	1.6915e+00	0.6722	-2.274926	0.000426	4.257492	1.442477	0.000170
  19	1.7910e+00	0.7043	-2.125552	0.000375	3.750647	1.270754	0.000150
  20	1.8905e+00	0.7476	-1.988289	0.000345	3.446541	1.167720	0.000138
  21	1.9900e+00	0.7925	-1.802581	0.000466	4.662967	1.579856	0.000187
  22	2.0895e+00	0.8342	-1.628984	0.000436	4.358860	1.476822	0.000174
  23	2.1890e+00	0.8535	-1.499796	0.000324	3.243803	1.099030	0.000130
  24	2.2885e+00	0.9064	-1.334273	0.000416	4.156123	1.408133	0.000166
  25	2.3880e+00	0.9417	-1.180862	0.000385	3.852016	1.305098	0.000154
  26	2.4875e+00	0.9866	-0.958820	0.000558	5.575287	1.888958	0.000223
  27	2.5870e+00	1.0299	-0.829631	0.000324	3.243803	1.099030	0.000130
  28	2.6865e+00	1.0652	-0.627775	0.000507	5.068442	1.717235	0.000203
  29	2.7860e+00	1.1117	-0.498586	0.000324	3.243803	1.099030	0.000130
  30	2.8855e+00	1.1454	-0.337101	0.000405	4.054754	1.373788	0.000162
  31	2.9850e+00	1.1839	-0.171578	0.000416	4.156123	1.408133	0.000166
  32	3.0845e+00	1.2256	-0.014130	0.000395	3.953385	1.339443	0.000158
  33	3.1840e+00	1.2706	0.167541	0.000456	4.561598	1.545511	0.000183
  34	3.2835e+00	1.3026	0.308841	0.000355	3.547910	1.202064	0.000142
  35	3.3830e+00	1.3427	0.518772	0.000527	5.271180	1.785924	0.000211
  36	3.4825e+00	1.3812	0.603552	0.000213	2.128746	0.721239	0.000085
  37	3.5820e+00	1.4278	0.809446	0.000517	5.169811	1.751579	0.000207
  38	3.6815e+00	1.4679	0.946708	0.000345	3.446541	1.167720	0.000138
