»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 11:7:42
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 11:06:46 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0176	-7.729433	0.000727	7.274614	2.464706	0.058077
   2	5.0000e-04	0.0193	-7.439050	0.000727	7.274614	2.464706	0.058077
   3	1.0000e-03	0.0594	-7.588275	-0.000374	-3.738343	-1.266585	-0.029845
   4	1.5000e-03	0.0930	-7.475348	0.000283	2.829016	0.958497	0.022585
   5	2.0000e-03	0.1364	-7.277726	0.000495	4.950779	1.677369	0.039524
   6	2.5000e-03	0.1684	-6.975244	0.000758	7.577723	2.567402	0.060496
   7	3.0000e-03	0.2118	-6.866350	0.000273	2.727980	0.924265	0.021779
   8	3.5000e-03	0.2471	-6.692927	0.000434	4.344561	1.471977	0.034685
   9	4.0000e-03	0.2872	-6.354147	0.000849	8.487049	2.875490	0.067756
  10	4.5000e-03	0.3369	-6.176691	0.000445	4.445597	1.506209	0.035491
  11	5.0000e-03	0.3674	-5.910506	0.000667	6.668396	2.259314	0.053237
  12	5.5000e-03	0.4059	-5.821778	0.000222	2.222799	0.753105	0.017746
  13	6.0000e-03	0.4540	-5.551560	0.000677	6.769432	2.293546	0.054044
  14	6.5000e-03	0.4893	-5.378137	0.000434	4.344561	1.471977	0.034685
  15	7.0000e-03	0.5342	-5.067588	0.000778	7.779795	2.635866	0.062110
  16	7.5000e-03	0.5663	-4.906264	0.000404	4.041452	1.369281	0.032265
  17	8.0000e-03	0.6160	-4.700576	0.000515	5.152851	1.745833	0.041138
  18	8.5000e-03	0.6529	-4.486822	0.000535	5.354924	1.814297	0.042751
  19	9.0000e-03	0.6946	-4.575550	-0.000222	-2.222799	-0.753105	-0.017746
  20	9.5000e-03	0.7251	-4.297267	0.000697	6.971505	2.362010	0.055657
  21	1.0000e-02	0.7668	-4.035115	0.000657	6.567360	2.225082	0.052430
  22	1.0500e-02	0.8133	-3.942354	0.000232	2.323835	0.787337	0.018552
  23	1.1000e-02	0.8567	-3.688269	0.000637	6.365287	2.156618	0.050817
  24	1.1500e-02	0.8920	-3.619706	0.000172	1.717617	0.581944	0.013713
