»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 12:28:34
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 12:27:18 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0690	-7.713157	0.000016	0.157729	0.053440	0.123789
   2	1.0000e-04	0.6545	-7.589368	0.000016	0.157729	0.053440	0.123789
   3	2.0000e-04	1.5754	-4.651196	0.000374	3.743740	1.268413	2.938172
   4	3.0000e-04	2.1417	-0.147455	0.000574	5.738545	1.944272	4.503741
   5	4.0000e-04	2.9486	4.276187	0.000564	5.636485	1.909693	4.423642
   6	5.0000e-04	3.7363	11.055464	0.000864	8.637972	2.926624	6.779277
   7	6.0000e-04	4.3940	11.510572	0.000058	0.579885	0.196470	0.455107
   8	7.0000e-04	5.3036	16.749766	0.000668	6.675640	2.261768	5.239194
   9	8.0000e-04	6.1250	22.447708	0.000726	7.260164	2.459810	5.697942
  10	9.0000e-04	6.9351	27.552191	0.000650	6.503994	2.203613	5.104482
  11	1.0000e-03	7.6987	34.793857	0.000923	9.227135	3.126238	7.241666
  12	1.1000e-03	8.5089	36.665257	0.000238	2.384488	0.807887	1.871401
  13	1.2000e-03	9.3238	40.713891	0.000516	5.158660	1.747801	4.048634
  14	1.3000e-03	10.1115	46.120565	0.000689	6.889038	2.334069	5.406674
  15	1.4000e-03	10.9040	51.192280	0.000646	6.462242	2.189467	5.071715
  16	1.5000e-03	11.7077	58.346565	0.000912	9.115797	3.088516	7.154285
  17	1.6000e-03	12.5130	60.461903	0.000270	2.695307	0.913195	2.115338
  18	1.7000e-03	13.3713	64.343058	0.000495	4.945262	1.675500	3.881154
  19	1.8000e-03	14.1189	69.582252	0.000668	6.675640	2.261768	5.239194
  20	1.9000e-03	14.9290	74.344494	0.000607	6.067920	2.055867	4.762242
  21	2.0000e-03	15.7215	81.109207	0.000862	8.619416	2.920337	6.764714
  22	2.1000e-03	16.5557	83.009735	0.000242	2.421601	0.820461	1.900528
  23	2.2000e-03	17.3225	86.646952	0.000463	4.634444	1.570192	3.637217
  24	2.3000e-03	18.1310	91.452884	0.000612	6.123589	2.074728	4.805932
  25	2.4000e-03	18.9701	96.000315	0.000579	5.794214	1.963133	4.547431
  26	2.5000e-03	19.7144	102.411866	0.000817	8.169425	2.767876	6.411550
  27	2.6000e-03	19.4144	103.387616	-0.000124	-1.243274	-0.421233	0.975750
  28	2.7000e-03	18.2722	101.614518	0.000226	2.259233	0.765449	-1.773098
  29	2.8000e-03	17.8615	97.817103	0.000484	4.838563	1.639350	-3.797415
  30	2.9000e-03	17.1075	94.664121	0.000402	4.017446	1.361147	-3.152983
  31	3.0000e-03	16.2685	89.931006	0.000603	6.030807	2.043293	-4.733115
