»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 12:35:31
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 12:35:02 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0225	-7.997635	0.001334	13.338668	4.519263	0.106474
   2	5.0000e-04	0.0241	-7.465266	0.001334	13.338668	4.519263	0.106474
   3	1.0000e-03	0.0578	-7.545927	-0.000202	-2.021010	-0.684737	-0.016132
   4	1.5000e-03	0.0930	-7.634656	-0.000222	-2.223111	-0.753211	-0.017746
   5	2.0000e-03	0.1251	-7.307975	0.000819	8.185092	2.773184	0.065336
   6	2.5000e-03	0.1684	-7.186982	0.000303	3.031515	1.027105	0.024199
   7	3.0000e-03	0.2053	-7.078088	0.000273	2.728364	0.924395	0.021779
   8	3.5000e-03	0.2567	-6.880466	0.000495	4.951475	1.677605	0.039524
   9	4.0000e-03	0.2872	-6.408594	0.001182	11.822910	4.005710	0.094375
  10	4.5000e-03	0.3337	-6.392461	0.000040	0.404202	0.136947	0.003226
  11	5.0000e-03	0.3674	-6.255336	0.000344	3.435718	1.164053	0.027425
  12	5.5000e-03	0.4107	-6.041582	0.000536	5.355677	1.814553	0.042751
  13	6.0000e-03	0.4428	-5.811695	0.000576	5.759879	1.951500	0.045977
  14	6.5000e-03	0.4893	-5.489047	0.000808	8.084041	2.738947	0.064530
  15	7.0000e-03	0.5310	-5.323690	0.000414	4.143071	1.403710	0.033071
  16	7.5000e-03	0.5695	-5.073638	0.000627	6.265132	2.122684	0.050010
  17	8.0000e-03	0.6032	-4.920380	0.000384	3.839920	1.301000	0.030652
  18	8.5000e-03	0.6513	-4.581600	0.000849	8.488243	2.875895	0.067756
  19	9.0000e-03	0.6994	-4.444475	0.000344	3.435718	1.164053	0.027425
  20	9.5000e-03	0.7331	-4.206522	0.000596	5.961980	2.019974	0.047591
  21	1.0000e-02	0.7732	-3.976635	0.000576	5.759879	1.951500	0.045977
  22	1.0500e-02	0.8085	-3.621723	0.000889	8.892445	3.012842	0.070983
  23	1.1000e-02	0.8486	-3.516862	0.000263	2.627313	0.890158	0.020972
  24	1.1500e-02	0.8936	-3.456366	0.000152	1.515758	0.513553	0.012099
  25	1.2000e-02	0.9305	-3.420068	0.000091	0.909455	0.308132	0.007260
  26	1.2500e-02	0.9690	-2.895765	0.001314	13.136567	4.450789	0.104861
  27	1.3000e-02	1.0059	-2.536819	0.000899	8.993496	3.047079	0.071789
  28	1.3500e-02	1.0476	-2.492455	0.000111	1.111556	0.376605	0.008873
  29	1.4000e-02	1.0893	-2.246436	0.000616	6.164081	2.088447	0.049204
  30	1.4500e-02	1.1246	-2.032682	0.000536	5.355677	1.814553	0.042751
  31	1.5000e-02	1.1679	-1.855225	0.000445	4.446223	1.506421	0.035491
  32	1.5500e-02	1.2160	-1.657604	0.000495	4.951475	1.677605	0.039524
  33	1.6000e-02	1.2497	-1.484180	0.000435	4.345172	1.472184	0.034685
  34	1.6500e-02	1.2898	-1.326889	0.000394	3.940970	1.335237	0.031458
  35	1.7000e-02	1.3315	-0.955844	0.000930	9.296647	3.149789	0.074209
  36	1.7500e-02	1.3732	-0.734024	0.000556	5.557778	1.883026	0.044364
  37	1.8000e-02	1.4117	-0.621097	0.000283	2.829414	0.958632	0.022585
  38	1.8500e-02	1.4486	-0.354913	0.000667	6.669334	2.259632	0.053237
  39	1.9000e-02	1.4887	-0.250052	0.000263	2.627313	0.890158	0.020972
  40	1.9500e-02	1.5353	-0.064530	0.000465	4.648324	1.574895	0.037105
  41	2.0000e-02	1.5754	0.120993	0.000465	4.648324	1.574895	0.037105
  42	2.0500e-02	1.6155	0.322648	0.000505	5.052526	1.711842	0.040331
  43	2.1000e-02	1.6636	0.508170	0.000465	4.648324	1.574895	0.037105
  44	2.1500e-02	1.6860	0.846951	0.000849	8.488243	2.875895	0.067756
  45	2.2000e-02	1.7246	1.238161	0.000980	9.801900	3.320974	0.078242
  46	2.2500e-02	1.7711	1.383353	0.000364	3.637819	1.232526	0.029038
  47	2.3000e-02	1.8224	1.536611	0.000384	3.839920	1.301000	0.030652
  48	2.3500e-02	1.8481	1.883457	0.000869	8.690344	2.944368	0.069369
  49	2.4000e-02	1.8882	2.044781	0.000404	4.042021	1.369474	0.032265
  50	2.4500e-02	1.9283	2.194006	0.000374	3.738869	1.266763	0.029845
  51	2.5000e-02	1.9700	2.327098	0.000333	3.334667	1.129816	0.026618
  52	2.5500e-02	2.0149	2.621514	0.000738	7.376688	2.499289	0.058883
  53	2.6000e-02	2.0470	2.972394	0.000879	8.791395	2.978605	0.070176
  54	2.6500e-02	2.0951	3.000625	0.000071	0.707354	0.239658	0.005646
  55	2.7000e-02	2.1352	3.137751	0.000344	3.435718	1.164053	0.027425
  56	2.7500e-02	2.1641	3.391836	0.000637	6.366182	2.156921	0.050817
  57	2.8000e-02	2.2090	3.835477	0.001112	11.115557	3.766053	0.088728
  58	2.8500e-02	2.2475	3.847576	0.000030	0.303152	0.102711	0.002420
  59	2.9000e-02	2.2892	4.061330	0.000536	5.355677	1.814553	0.042751
  60	2.9500e-02	2.3245	4.347680	0.000717	7.174587	2.430816	0.057270
  61	3.0000e-02	2.3711	4.670328	0.000808	8.084041	2.738947	0.064530
  62	3.0500e-02	2.4112	4.839718	0.000424	4.244122	1.437947	0.033878
  63	3.1000e-02	2.4641	5.061539	0.000556	5.557778	1.883026	0.044364
  64	3.1500e-02	2.4914	5.162366	0.000253	2.526263	0.855921	0.020165
  65	3.2000e-02	2.5299	5.493080	0.000829	8.286142	2.807421	0.066143
  66	3.2500e-02	2.5748	5.759265	0.000667	6.669334	2.259632	0.053237
  67	3.3000e-02	2.6117	5.872192	0.000283	2.829414	0.958632	0.022585
  68	3.3500e-02	2.6534	6.473123	0.001506	15.056527	5.101289	0.120186
  69	3.4000e-02	2.6919	6.469090	-0.000010	-0.101051	-0.034237	-0.000807
  70	3.4500e-02	2.7288	6.408594	-0.000152	-1.515758	-0.513553	-0.012099
  71	3.5000e-02	2.7705	6.815937	0.001021	10.206102	3.457921	0.081469
  72	3.5500e-02	2.8154	7.009525	0.000485	4.850425	1.643368	0.038718
  73	3.6000e-02	2.8555	7.070022	0.000152	1.515758	0.513553	0.012099
  74	3.6500e-02	2.8924	7.428968	0.000899	8.993496	3.047079	0.071789
  75	3.7000e-02	2.9245	7.755649	0.000819	8.185092	2.773184	0.065336
  76	3.7500e-02	2.9726	8.009734	0.000637	6.366182	2.156921	0.050817
  77	3.8000e-02	3.0127	8.231554	0.000556	5.557778	1.883026	0.044364
  78	3.8500e-02	3.0480	8.271885	0.000101	1.010505	0.342368	0.008066
  79	3.9000e-02	3.0930	8.638897	0.000920	9.195597	3.115553	0.073402
  80	3.9500e-02	3.1379	8.856685	0.000546	5.456728	1.848789	0.043557
  81	4.0000e-02	3.1732	9.106737	0.000627	6.265132	2.122684	0.050010
  82	4.0500e-02	3.2165	9.453583	0.000869	8.690344	2.944368	0.069369
  83	4.1000e-02	3.2550	9.433418	-0.000051	-0.505253	-0.171184	-0.004033
  84	4.1500e-02	3.2903	9.663304	0.000576	5.759879	1.951500	0.045977
  85	4.2000e-02	3.3256	9.780264	0.000293	2.930465	0.992868	0.023392
  86	4.2500e-02	3.3737	9.949654	0.000424	4.244122	1.437947	0.033878
  87	4.3000e-02	3.4074	10.082747	0.000333	3.334667	1.129816	0.026618
  88	4.3500e-02	3.4443	10.369097	0.000717	7.174587	2.430816	0.057270
  89	4.4000e-02	3.4828	10.715943	0.000869	8.690344	2.944368	0.069369
  90	4.4500e-02	3.5357	11.147485	0.001081	10.812405	3.663342	0.086308
  91	4.5000e-02	3.5630	11.449967	0.000758	7.578789	2.567763	0.060496
  92	4.5500e-02	3.6143	11.554827	0.000263	2.627313	0.890158	0.020972
  93	4.6000e-02	3.6577	11.587092	0.000081	0.808404	0.273895	0.006453
  94	4.6500e-02	3.6913	11.909740	0.000808	8.084041	2.738947	0.064530
  95	4.7000e-02	3.7314	12.179958	0.000677	6.770385	2.293868	0.054044
  96	4.7500e-02	3.7716	12.268686	0.000222	2.223111	0.753211	0.017746
  97	4.8000e-02	3.8052	12.514705	0.000616	6.164081	2.088447	0.049204
  98	4.8500e-02	3.8582	12.744592	0.000576	5.759879	1.951500	0.045977
  99	4.9000e-02	3.8871	12.760724	0.000040	0.404202	0.136947	0.003226
 100	4.9500e-02	3.9207	13.272928	0.001283	12.833415	4.348079	0.102441
 101	5.0000e-02	3.9641	13.591542	0.000798	7.982991	2.704710	0.063723
 102	5.0500e-02	4.0154	13.781098	0.000475	4.749374	1.609132	0.037911
 103	5.1000e-02	4.0491	13.885958	0.000263	2.627313	0.890158	0.020972
 104	5.1500e-02	4.0924	13.978720	0.000232	2.324162	0.787447	0.018552
 105	5.2000e-02	4.1341	14.067448	0.000222	2.223111	0.753211	0.017746
 106	5.2500e-02	4.1662	14.450592	0.000960	9.599799	3.252500	0.076629
 107	5.3000e-02	4.2079	14.728876	0.000697	6.972486	2.362342	0.055657
 108	5.3500e-02	4.2480	14.910366	0.000455	4.547273	1.540658	0.036298
 109	5.4000e-02	4.2913	15.103954	0.000485	4.850425	1.643368	0.038718
 110	5.4500e-02	4.3314	15.261245	0.000394	3.940970	1.335237	0.031458
 111	5.5000e-02	4.3731	15.688754	0.001071	10.711355	3.629105	0.085502
 112	5.5500e-02	4.4213	15.846044	0.000394	3.940970	1.335237	0.031458
 113	5.6000e-02	4.4469	16.063832	0.000546	5.456728	1.848789	0.043557
 114	5.6500e-02	4.4886	16.305818	0.000606	6.063031	2.054210	0.048397
 115	5.7000e-02	4.5239	16.628466	0.000808	8.084041	2.738947	0.064530
 116	5.7500e-02	4.5673	16.838187	0.000525	5.254627	1.780316	0.041944
 117	5.8000e-02	4.6138	16.850286	0.000030	0.303152	0.102711	0.002420
 118	5.8500e-02	4.6523	17.136636	0.000717	7.174587	2.430816	0.057270
 119	5.9000e-02	4.6956	17.342324	0.000515	5.153576	1.746079	0.041138
 120	5.9500e-02	4.7261	17.515747	0.000435	4.345172	1.472184	0.034685
 121	6.0000e-02	4.7774	17.826296	0.000778	7.780890	2.636237	0.062110
 122	6.0500e-02	4.8079	18.132811	0.000768	7.679839	2.602000	0.061303
 123	6.1000e-02	4.8528	18.407062	0.000687	6.871435	2.328105	0.054850
 124	6.1500e-02	4.8881	18.479658	0.000182	1.818909	0.616263	0.014519
 125	6.2000e-02	4.9378	18.818438	0.000849	8.488243	2.875895	0.067756
 126	6.2500e-02	4.9699	19.016060	0.000495	4.951475	1.677605	0.039524
 127	6.3000e-02	5.0148	19.270145	0.000637	6.366182	2.156921	0.050817
