»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 16:23:56
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 04:23:21 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0000	-76.128269	0.000527	5.270334	1.785638	0.000211
   2	9.9500e-02	0.0337	-75.918338	0.000527	5.270334	1.785638	0.000211
   3	1.9900e-01	0.0754	-75.639775	0.000699	6.993328	2.369404	0.000280
   4	2.9850e-01	0.1139	-75.373324	0.000669	6.689270	2.266386	0.000268
   5	3.9800e-01	0.1524	-75.026131	0.000872	8.716322	2.953170	0.000349
   6	4.9750e-01	0.1957	-74.723345	0.000760	7.601444	2.575439	0.000304
   7	5.9700e-01	0.2262	-74.481117	0.000608	6.081155	2.060351	0.000243
   8	6.9650e-01	0.2759	-74.166221	0.000791	7.905501	2.678456	0.000316
   9	7.9600e-01	0.3192	-73.879584	0.000720	7.196033	2.438082	0.000288
  10	8.9550e-01	0.3626	-73.592947	0.000720	7.196033	2.438082	0.000288
  11	9.9500e-01	0.3995	-73.302274	0.000730	7.297386	2.472421	0.000292
  12	1.0945e+00	0.4380	-72.995451	0.000770	7.702796	2.609778	0.000308
  13	1.1940e+00	0.4765	-72.696703	0.000750	7.500091	2.541100	0.000300
  14	1.2935e+00	0.5198	-72.406029	0.000730	7.297386	2.472421	0.000292
  15	1.3930e+00	0.5567	-72.139579	0.000669	6.689270	2.266386	0.000268
  16	1.4925e+00	0.5952	-71.820645	0.000801	8.006854	2.712796	0.000321
  17	1.5920e+00	0.6321	-71.485563	0.000841	8.412264	2.850152	0.000337
  18	1.6915e+00	0.6674	-71.138369	0.000872	8.716322	2.953170	0.000349
  19	1.7910e+00	0.7107	-70.827509	0.000780	7.804149	2.644117	0.000312
  20	1.8905e+00	0.7556	-70.536836	0.000730	7.297386	2.472421	0.000292
  21	1.9900e+00	0.7845	-70.230013	0.000770	7.702796	2.609778	0.000308
  22	2.0895e+00	0.8390	-69.951451	0.000699	6.993328	2.369404	0.000280
  23	2.1890e+00	0.8743	-69.644629	0.000770	7.702796	2.609778	0.000308
  24	2.2885e+00	0.9096	-69.313583	0.000831	8.310912	2.815813	0.000333
  25	2.3880e+00	0.9449	-69.010798	0.000760	7.601444	2.575439	0.000304
  26	2.4875e+00	0.9914	-68.667642	0.000861	8.614969	2.918831	0.000345
  27	2.5870e+00	1.0347	-68.372931	0.000740	7.398739	2.506760	0.000296
  28	2.6865e+00	1.0684	-68.090331	0.000709	7.094681	2.403743	0.000284
  29	2.7860e+00	1.1117	-67.767360	0.000811	8.108207	2.747135	0.000325
  30	2.8855e+00	1.1567	-67.432278	0.000841	8.412264	2.850152	0.000337
