»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 16:28:18
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 04:27:17 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0176	-9.001876	0.001010	10.103630	3.423203	0.080662
   2	5.0000e-04	0.0337	-8.598566	0.001010	10.103630	3.423203	0.080662
   3	1.0000e-03	0.0610	-8.505805	0.000232	2.323835	0.787337	0.018552
   4	1.5000e-03	0.0898	-8.461441	0.000111	1.111399	0.376552	0.008873
   5	2.0000e-03	0.1332	-8.364647	0.000242	2.424871	0.821569	0.019359
   6	2.5000e-03	0.1765	-7.896807	0.001172	11.720211	3.970915	0.093568
   7	3.0000e-03	0.2150	-7.537861	0.000899	8.992231	3.046650	0.071789
   8	3.5000e-03	0.2551	-7.324107	0.000535	5.354924	1.814297	0.042751
   9	4.0000e-03	0.2936	-7.287809	0.000091	0.909327	0.308088	0.007260
  10	4.5000e-03	0.3337	-6.940963	0.000869	8.689122	2.943954	0.069369
  11	5.0000e-03	0.3690	-6.743341	0.000495	4.950779	1.677369	0.039524
  12	5.5000e-03	0.4155	-6.380362	0.000909	9.093267	3.080882	0.072596
  13	6.0000e-03	0.4540	-6.235170	0.000364	3.637307	1.232353	0.029038
  14	6.5000e-03	0.4941	-6.061747	0.000434	4.344561	1.471977	0.034685
  15	7.0000e-03	0.5294	-5.650371	0.001031	10.305703	3.491667	0.082275
  16	7.5000e-03	0.5695	-5.444683	0.000515	5.152851	1.745833	0.041138
  17	8.0000e-03	0.6144	-5.412418	0.000081	0.808290	0.273856	0.006453
  18	8.5000e-03	0.6561	-5.089770	0.000808	8.082904	2.738562	0.064530
  19	9.0000e-03	0.6930	-4.928446	0.000404	4.041452	1.369281	0.032265
  20	9.5000e-03	0.7347	-4.706626	0.000556	5.556997	1.882761	0.044364
  21	1.0000e-02	0.7781	-4.347680	0.000899	8.992231	3.046650	0.071789
  22	1.0500e-02	0.8053	-3.944370	0.001010	10.103630	3.423203	0.080662
  23	1.1000e-02	0.8518	-3.948404	-0.000010	-0.101036	-0.034232	-0.000807
  24	1.1500e-02	0.8871	-3.589458	0.000899	8.992231	3.046650	0.071789
