»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/16/2025 - 16:21:52
Configured:	06/16/25 02:13:38 PM
Executed:	06/16/25 04:20:46 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-4
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0578	-2.579548	0.000069	0.693344	0.234911	0.549770
   2	1.0000e-04	0.4989	-2.029778	0.000069	0.693344	0.234911	0.549770
   3	2.0000e-04	1.4149	0.828295	0.000360	3.604473	1.221228	2.858073
   4	3.0000e-04	2.2138	4.385413	0.000449	4.486076	1.519924	3.557118
   5	4.0000e-04	3.2325	4.687604	0.000038	0.381110	0.129124	0.302191
   6	5.0000e-04	3.8437	7.760488	0.000388	3.875382	1.313015	3.072884
   7	6.0000e-04	4.5673	9.264162	0.000190	1.896366	0.642506	1.503674
   8	7.0000e-04	5.3822	11.368578	0.000265	2.653994	0.899197	2.104416
   9	8.0000e-04	6.2774	12.948710	0.000199	1.992791	0.675176	1.580132
  10	9.0000e-04	7.1613	15.562846	0.000330	3.296830	1.116996	2.614136
  11	1.0000e-03	7.8816	17.434247	0.000236	2.360126	0.799632	1.871401
  12	1.1000e-03	8.5923	19.043506	0.000203	2.029525	0.687622	1.609259
  13	1.2000e-03	9.3751	20.820245	0.000224	2.240742	0.759184	1.776739
  14	1.3000e-03	10.2799	23.310591	0.000314	3.140712	1.064102	2.490347
  15	1.4000e-03	11.1173	25.451416	0.000270	2.699911	0.914754	2.140824
  16	1.5000e-03	11.8713	27.406556	0.000247	2.465735	0.835414	1.955141
  17	1.6000e-03	12.5932	28.968484	0.000197	1.969833	0.667397	1.561928
  18	1.7000e-03	13.3857	31.400577	0.000307	3.067245	1.039211	2.432093
  19	1.8000e-03	14.2520	33.399408	0.000252	2.520835	0.854082	1.998831
  20	1.9000e-03	15.1279	35.201633	0.000227	2.272884	0.770074	1.802225
  21	2.0000e-03	15.8963	37.473528	0.000287	2.865211	0.970760	2.271895
  22	2.1000e-03	16.5878	39.192013	0.000217	2.167275	0.734293	1.718485
  23	2.2000e-03	17.3642	40.597384	0.000177	1.772390	0.600502	1.405371
  24	2.3000e-03	18.2481	42.800103	0.000278	2.777969	0.941201	2.202719
  25	2.4000e-03	19.1048	45.144815	0.000296	2.957045	1.001874	2.344712
  26	2.5000e-03	19.8925	46.910631	0.000223	2.226967	0.754517	1.765816
  27	2.6000e-03	19.6952	47.755310	-0.000107	-1.065271	-0.360924	0.844679
  28	2.7000e-03	18.7166	44.136297	0.000456	4.564135	1.546371	-3.619013
  29	2.8000e-03	17.8118	39.275752	0.000613	6.129899	2.076866	-4.860545
  30	2.9000e-03	16.6744	42.057368	-0.000351	-3.508047	-1.188559	2.781615
  31	3.0000e-03	16.2717	37.509936	0.000574	5.735014	1.943075	-4.547431
  32	3.1000e-03	15.5498	35.922522	0.000200	2.001975	0.678287	-1.587414
  33	3.2000e-03	14.6466	34.098453	0.000230	2.300434	0.779408	-1.824070
  34	3.3000e-03	13.8301	32.896970	0.000152	1.515256	0.513383	-1.201483
  35	3.4000e-03	12.8547	30.027974	0.000362	3.618248	1.225895	-2.868996
  36	3.5000e-03	12.1777	28.072833	0.000247	2.465735	0.835414	-1.955141
  37	3.6000e-03	11.4622	27.046111	0.000129	1.294855	0.438709	-1.026722
  38	3.7000e-03	10.7211	25.287577	0.000222	2.217784	0.751405	-1.758534
  39	3.8000e-03	9.8259	22.418581	0.000362	3.618248	1.225895	-2.868996
  40	3.9000e-03	8.9292	20.408828	0.000253	2.534610	0.858749	-2.009753
  41	4.0000e-03	8.1928	18.679420	0.000218	2.181050	0.738960	-1.729407
  42	4.1000e-03	7.4886	17.135697	0.000195	1.946874	0.659619	-1.543724
  43	4.2000e-03	6.6880	14.743653	0.000302	3.016737	1.022098	-2.392044
  44	4.3000e-03	5.8234	12.431709	0.000292	2.915720	0.987873	-2.311945
  45	4.4000e-03	4.9314	10.782400	0.000208	2.080033	0.704734	-1.649309
  46	4.5000e-03	4.1678	8.317539	0.000311	3.108571	1.053212	-2.464861
  47	4.6000e-03	3.4684	6.715562	0.000202	2.020341	0.684510	-1.601977
