»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/16/2025 - 16:20:32
Configured:	06/16/25 02:13:38 PM
Executed:	06/16/25 04:20:01 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-4
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0369	-2.276463	0.000569	5.688422	1.927290	0.045585
   2	5.0000e-04	0.0674	-2.048539	0.000569	5.688422	1.927290	0.045585
   3	1.0000e-03	0.1091	-1.962586	0.000215	2.145165	0.726802	0.017191
   4	1.5000e-03	0.1444	-1.967290	-0.000012	-0.117397	-0.039775	-0.000941
   5	2.0000e-03	0.1957	-2.021598	-0.000136	-1.355403	-0.459223	-0.010862
   6	2.5000e-03	0.2294	-1.764596	0.000641	6.414149	2.173173	0.051401
   7	3.0000e-03	0.2872	-1.688051	0.000191	1.910371	0.647251	0.015309
   8	3.5000e-03	0.3257	-1.920679	-0.000581	-5.805819	-1.967065	-0.046526
   9	4.0000e-03	0.3529	-1.520849	0.000998	9.978752	3.380893	0.079966
  10	4.5000e-03	0.3866	-1.506310	0.000036	0.362864	0.122942	0.002908
  11	5.0000e-03	0.4380	-1.400259	0.000265	2.646770	0.896750	0.021210
  12	5.5000e-03	0.4829	-1.192861	0.000518	5.176144	1.753725	0.041480
  13	6.0000e-03	0.5374	-1.171907	0.000052	0.522951	0.177180	0.004191
  14	6.5000e-03	0.5454	-0.979048	0.000481	4.813280	1.630783	0.038572
  15	7.0000e-03	0.5888	-0.910628	0.000171	1.707594	0.578548	0.013684
  16	7.5000e-03	0.6305	-0.872569	0.000095	0.949849	0.321818	0.007612
  17	8.0000e-03	0.6738	-0.751551	0.000302	3.020307	1.023308	0.024204
  18	8.5000e-03	0.7010	-0.518068	0.000583	5.827164	1.974297	0.046697
  19	9.0000e-03	0.7347	-0.396195	0.000304	3.041652	1.030539	0.024375
  20	9.5000e-03	0.7893	-0.231559	0.000411	4.108898	1.392132	0.032927
  21	1.0000e-02	0.8390	-0.190507	0.000102	1.024556	0.347129	0.008210
  22	1.0500e-02	0.8791	-0.196494	-0.000015	-0.149414	-0.050623	-0.001197
  23	1.1000e-02	0.9144	-0.190507	0.000015	0.149414	0.050623	0.001197
  24	1.1500e-02	0.9609	-0.026727	0.000409	4.087553	1.384900	0.032756
