»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 10:53:55
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 10:52:37 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0578	-2.077109	0.000035	0.349718	0.118488	0.276705
   2	1.0000e-04	0.6273	-1.800404	0.000035	0.349718	0.118488	0.276705
   3	2.0000e-04	1.5080	1.622002	0.000433	4.325460	1.465506	3.422406
   4	3.0000e-04	2.2636	3.755545	0.000270	2.696510	0.913602	2.133543
   5	4.0000e-04	3.1459	4.039532	0.000036	0.358921	0.121606	0.283987
   6	5.0000e-04	3.8149	6.741048	0.000341	3.414352	1.156814	2.701516
   7	6.0000e-04	4.6603	8.943767	0.000278	2.783940	0.943224	2.202719
   8	7.0000e-04	5.4865	10.014179	0.000135	1.352857	0.458360	1.070412
   9	8.0000e-04	6.2774	11.769073	0.000222	2.217949	0.751461	1.754893
  10	9.0000e-04	7.0923	14.150193	0.000301	3.009416	1.019618	2.381121
  11	1.0000e-03	7.8864	15.956059	0.000228	2.282370	0.773288	1.805865
  12	1.1000e-03	8.6709	17.441529	0.000188	1.877434	0.636092	1.485470
  13	1.2000e-03	9.4666	19.527740	0.000264	2.636690	0.893335	2.086211
  14	1.3000e-03	10.2623	21.129718	0.000202	2.024683	0.685981	1.601977
  15	1.4000e-03	11.0676	22.720772	0.000201	2.010879	0.681304	1.591055
  16	1.5000e-03	11.8681	24.865238	0.000271	2.710315	0.918280	2.144465
  17	1.6000e-03	12.6670	26.831301	0.000248	2.484839	0.841886	1.966063
  18	1.7000e-03	13.5028	28.604398	0.000224	2.240956	0.759257	1.773098
  19	1.8000e-03	14.2520	30.326524	0.000218	2.176535	0.737430	1.722126
  20	1.9000e-03	15.0750	31.921220	0.000202	2.015480	0.682863	1.594696
  21	2.0000e-03	15.8707	33.901846	0.000250	2.503245	0.848122	1.980627
  22	2.1000e-03	16.6680	35.631254	0.000219	2.185738	0.740548	1.729407
  23	2.2000e-03	17.4733	37.418915	0.000226	2.259363	0.765493	1.787661
  24	2.3000e-03	18.2786	38.926230	0.000191	1.905043	0.645446	1.507315
  25	2.4000e-03	19.0695	40.866807	0.000245	2.452628	0.830973	1.940577
  26	2.5000e-03	19.8556	42.578010	0.000216	2.162730	0.732753	1.711203
  27	2.6000e-03	19.5700	43.058604	-0.000061	-0.607405	-0.205794	0.480593
  28	2.7000e-03	18.4230	38.347334	0.000595	5.954410	2.017409	-4.711270
  29	2.8000e-03	17.7653	35.980776	0.000299	2.991010	1.013381	-2.366558
  30	2.9000e-03	16.8316	37.710184	-0.000219	-2.185738	-0.740548	1.729407
  31	3.0000e-03	16.2846	34.149425	0.000450	4.500319	1.524749	-3.560759
  32	3.1000e-03	15.3493	31.819276	0.000294	2.944994	0.997791	-2.330149
  33	3.2000e-03	14.5215	31.127513	0.000087	0.874295	0.296219	-0.691763
  34	3.3000e-03	13.8173	29.638402	0.000188	1.882035	0.637651	-1.489111
  35	3.4000e-03	12.9430	26.944167	0.000341	3.405149	1.153696	-2.694235
  36	3.5000e-03	12.1649	25.564282	0.000174	1.743989	0.590879	-1.379885
  37	3.6000e-03	11.3612	24.406490	0.000146	1.463294	0.495777	-1.157793
  38	3.7000e-03	10.5895	22.149158	0.000285	2.852963	0.966610	-2.257332
  39	3.8000e-03	9.7585	20.328729	0.000230	2.300777	0.779524	-1.820429
  40	3.9000e-03	8.9677	18.777724	0.000196	1.960262	0.664155	-1.551005
  41	4.0000e-03	8.1575	16.797097	0.000250	2.503245	0.848122	-1.980627
