»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 10:52:23
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 10:51:46 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0257	-2.241402	0.000178	1.781620	0.603629	0.000072
   2	9.9500e-02	0.0337	-2.170117	0.000178	1.781620	0.603629	0.000072
   3	1.9900e-01	0.1123	-2.080909	0.000223	2.229570	0.755399	0.000090
   4	2.9850e-01	0.1219	-1.990479	0.000226	2.260112	0.765747	0.000091
   5	3.9800e-01	0.1684	-1.893125	0.000243	2.433184	0.824385	0.000098
   6	4.9750e-01	0.2166	-1.804324	0.000222	2.219389	0.751949	0.000089
   7	5.9700e-01	0.2406	-1.713894	0.000226	2.260112	0.765747	0.000091
   8	6.9650e-01	0.3032	-1.617354	0.000241	2.412822	0.817486	0.000097
   9	7.9600e-01	0.3337	-1.528146	0.000223	2.229570	0.755399	0.000090
  10	8.9550e-01	0.3722	-1.432827	0.000238	2.382280	0.807138	0.000096
  11	9.9500e-01	0.3995	-1.346063	0.000217	2.168486	0.734703	0.000087
  12	1.0945e+00	0.4460	-1.249931	0.000240	2.402642	0.814037	0.000097
  13	1.1940e+00	0.4957	-1.159908	0.000225	2.249931	0.762297	0.000090
  14	1.2935e+00	0.5422	-1.062960	0.000242	2.423003	0.820936	0.000097
  15	1.3930e+00	0.5519	-0.974567	0.000221	2.209209	0.748500	0.000089
  16	1.4925e+00	0.5920	-0.884544	0.000225	2.249931	0.762297	0.000090
  17	1.5920e+00	0.6353	-0.785153	0.000248	2.484087	0.841631	0.000100
  18	1.6915e+00	0.6914	-0.687798	0.000243	2.433184	0.824385	0.000098
  19	1.7910e+00	0.7331	-0.604293	0.000209	2.087040	0.707108	0.000084
  20	1.8905e+00	0.7604	-0.506123	0.000245	2.453545	0.831284	0.000099
  21	1.9900e+00	0.8037	-0.415286	0.000227	2.270293	0.769196	0.000091
  22	2.0895e+00	0.8358	-0.318338	0.000242	2.423003	0.820936	0.000097
  23	2.1890e+00	0.8920	-0.223427	0.000237	2.372100	0.803689	0.000095
  24	2.2885e+00	0.9128	-0.129739	0.000234	2.341557	0.793341	0.000094
  25	2.3880e+00	0.9513	-0.037679	0.000230	2.300835	0.779544	0.000093
  26	2.4875e+00	1.0219	0.054788	0.000231	2.311015	0.782993	0.000093
  27	2.5870e+00	1.0444	0.153772	0.000247	2.473906	0.838182	0.000099
  28	2.6865e+00	1.1374	0.241758	0.000220	2.199028	0.745051	0.000088
  29	2.7860e+00	1.1165	0.338298	-0.000241	-2.412822	-0.817486	0.000097
  30	2.8855e+00	1.1839	0.435653	0.000243	2.433184	0.824385	0.000098
  31	2.9850e+00	1.2192	0.532600	0.000242	2.423003	0.820936	0.000097
  32	3.0845e+00	1.2673	0.622216	0.000224	2.239751	0.758848	0.000090
  33	3.1840e+00	1.2850	0.721607	0.000248	2.484087	0.841631	0.000100
  34	3.2835e+00	1.3203	0.814889	0.000233	2.331377	0.789892	0.000094
  35	3.3830e+00	1.3700	0.917132	0.000256	2.555352	0.865777	0.000103
  36	3.4825e+00	1.3828	1.016523	0.000248	2.484087	0.841631	0.000100
  37	3.5820e+00	1.4358	1.106139	0.000224	2.239751	0.758848	0.000090
  38	3.6815e+00	1.4807	1.203494	0.000243	2.433184	0.824385	0.000098
  39	3.7810e+00	1.5080	1.302070	0.000246	2.463726	0.834733	0.000099
  40	3.8805e+00	1.5529	1.397796	0.000239	2.392461	0.810588	0.000096
  41	3.9800e+00	1.6187	1.493114	0.000238	2.382280	0.807138	0.000096
  42	4.0795e+00	1.6492	1.584359	0.000228	2.280473	0.772645	0.000092
  43	4.1790e+00	1.6877	1.688231	0.000260	2.596075	0.879574	0.000104
  44	4.2785e+00	1.7101	1.779883	0.000229	2.290654	0.776095	0.000092
  45	4.3780e+00	1.7566	1.878053	0.000245	2.453545	0.831284	0.000099
  46	4.4775e+00	1.8160	1.971334	0.000233	2.331377	0.789892	0.000094
  47	4.5770e+00	1.8433	2.069504	0.000245	2.453545	0.831284	0.000099
  48	4.6765e+00	1.8786	2.164415	0.000237	2.372100	0.803689	0.000095
  49	4.7760e+00	1.8946	2.266250	0.000255	2.545171	0.862327	0.000102
  50	4.8755e+00	1.9507	2.352607	0.000216	2.158305	0.731254	0.000087
  51	4.9750e+00	2.0101	2.459738	0.000268	2.677520	0.907168	0.000108
  52	5.0745e+00	2.0534	2.550983	0.000228	2.280473	0.772645	0.000092
  53	5.1740e+00	2.0823	2.647116	0.000240	2.402642	0.814037	0.000097
  54	5.2735e+00	2.1256	2.744470	0.000243	2.433184	0.824385	0.000098
  55	5.3730e+00	2.1465	2.840196	0.000239	2.392461	0.810588	0.000096
  56	5.4725e+00	2.1962	2.939180	0.000247	2.473906	0.838182	0.000099
  57	5.5720e+00	2.2459	3.035720	0.000241	2.412822	0.817486	0.000097
  58	5.6715e+00	2.2989	3.135112	0.000248	2.484087	0.841631	0.000100
  59	5.7710e+00	2.3117	3.228393	0.000233	2.331377	0.789892	0.000094
  60	5.8705e+00	2.3727	3.328600	0.000250	2.504448	0.848530	0.000101
