»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 12:33:16
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 12:32:47 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0273	-2.565110	0.000421	4.214699	1.427979	0.034124
   2	5.0000e-04	0.0369	-2.394488	0.000421	4.214699	1.427979	0.034124
   3	1.0000e-03	0.1155	-2.406889	-0.000031	-0.306332	-0.103788	-0.002480
   4	1.5000e-03	0.1893	-2.344456	0.000154	1.542221	0.522519	0.012487
   5	2.0000e-03	0.2069	-2.225576	0.000294	2.936557	0.994933	0.023776
   6	2.5000e-03	0.2551	-2.151597	0.000183	1.827426	0.619149	0.014796
   7	3.0000e-03	0.2743	-2.027158	0.000307	3.073878	1.041458	0.024888
   8	3.5000e-03	0.3241	-1.898870	0.000317	3.168947	1.073668	0.025658
   9	4.0000e-03	0.3257	-1.811634	0.000215	2.154884	0.730094	0.017447
  10	4.5000e-03	0.4027	-1.699597	0.000277	2.767547	0.937670	0.022408
  11	5.0000e-03	0.4331	-1.614499	0.000210	2.102068	0.712200	0.017019
  12	5.5000e-03	0.4813	-1.491771	0.000303	3.031626	1.027143	0.024546
  13	6.0000e-03	0.5310	-1.409239	0.000204	2.038689	0.690727	0.016506
  14	6.5000e-03	0.5727	-1.305326	0.000257	2.566847	0.869671	0.020783
  15	7.0000e-03	0.6048	-1.190723	0.000283	2.830926	0.959144	0.022921
  16	7.5000e-03	0.6658	-1.099638	0.000225	2.249952	0.762304	0.018217
  17	8.0000e-03	0.6946	-1.020955	0.000194	1.943621	0.658517	0.015737
  18	8.5000e-03	0.7139	-0.890957	0.000321	3.211200	1.087984	0.026000
  19	9.0000e-03	0.7347	-0.786617	0.000258	2.577410	0.873250	0.020868
  20	9.5000e-03	0.7893	-0.663888	0.000303	3.031626	1.027143	0.024546
  21	1.0000e-02	0.8454	-0.588626	0.000186	1.859116	0.629885	0.015052
  22	1.0500e-02	0.8887	-0.498397	0.000223	2.228826	0.755147	0.018046
  23	1.1000e-02	0.9321	-0.372675	0.000311	3.105568	1.052195	0.025144
  24	1.1500e-02	0.9449	-0.256361	0.000287	2.873179	0.973459	0.023263
  25	1.2000e-02	0.9770	-0.178106	0.000193	1.933058	0.654938	0.015651
  26	1.2500e-02	1.0091	-0.069489	0.000268	2.683042	0.909039	0.021723
  27	1.3000e-02	1.0652	0.042121	0.000276	2.756984	0.934091	0.022322
  28	1.3500e-02	1.1085	0.159718	0.000290	2.904868	0.984196	0.023519
  29	1.4000e-02	1.1583	0.238829	0.000195	1.954184	0.662095	0.015822
  30	1.4500e-02	1.2176	0.333762	0.000235	2.345021	0.794515	0.018987
  31	1.5000e-02	1.2192	0.465898	0.000326	3.264015	1.105878	0.026427
  32	1.5500e-02	1.2786	0.562541	0.000239	2.387273	0.808830	0.019329
  33	1.6000e-02	1.3074	0.672013	0.000270	2.704168	0.916197	0.021894
  34	1.6500e-02	1.3427	0.799873	0.000316	3.158384	1.070089	0.025572
  35	1.7000e-02	1.4101	0.808853	0.000022	0.221826	0.075157	0.001796
  36	1.7500e-02	1.4310	0.958522	0.000370	3.697105	1.252613	0.029934
  37	1.8000e-02	1.4791	1.066284	0.000266	2.661915	0.901881	0.021552
  38	1.8500e-02	1.5240	1.202268	0.000336	3.359084	1.138088	0.027197
  39	1.9000e-02	1.5786	1.245886	0.000108	1.077442	0.365047	0.008724
  40	1.9500e-02	1.5962	1.368187	0.000302	3.021063	1.023564	0.024460
  41	2.0000e-02	1.6395	1.474666	0.000263	2.630226	0.891145	0.021296
  42	2.0500e-02	1.6748	1.590552	0.000286	2.862615	0.969880	0.023177
  43	2.1000e-02	1.7101	1.671373	0.000200	1.996437	0.676411	0.016164
  44	2.1500e-02	1.7374	1.816338	0.000358	3.580910	1.213245	0.028993
  45	2.2000e-02	1.7871	1.885614	0.000171	1.711231	0.579781	0.013855
  46	2.2500e-02	1.8352	2.010908	0.000310	3.095005	1.048616	0.025059
  47	2.3000e-02	1.9138	2.113538	0.000254	2.535158	0.858935	0.020526
  48	2.3500e-02	1.9155	2.227714	0.000282	2.820363	0.955565	0.022835
  49	2.4000e-02	1.9620	2.291858	0.000158	1.584473	0.536834	0.012829
  50	2.4500e-02	1.9973	2.426132	0.000332	3.316831	1.123773	0.026855
  51	2.5000e-02	2.0181	2.518071	0.000227	2.271079	0.769462	0.018388
