»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 12:44:3
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 12:42:39 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0866	-2.814383	0.000046	0.461334	0.156304	0.364086
   2	1.0000e-04	0.5968	-2.450297	0.000046	0.461334	0.156304	0.364086
   3	2.0000e-04	1.5529	0.141993	0.000328	3.284697	1.112886	2.592291
   4	3.0000e-04	2.2491	2.563164	0.000307	3.067870	1.039423	2.421170
   5	4.0000e-04	3.0898	4.117810	0.000197	1.969896	0.667419	1.554646
   6	5.0000e-04	3.8405	5.945521	0.000232	2.315896	0.784647	1.827711
   7	6.0000e-04	4.6443	8.122754	0.000276	2.758777	0.934699	2.177233
   8	7.0000e-04	5.4416	10.132507	0.000255	2.546563	0.862799	2.009753
   9	8.0000e-04	6.2485	11.949295	0.000230	2.302056	0.779958	1.816788
  10	9.0000e-04	7.0699	14.148373	0.000279	2.786457	0.944077	2.199078
  11	1.0000e-03	7.8303	16.179972	0.000257	2.574243	0.872177	2.031599
  12	1.1000e-03	8.6452	17.996760	0.000230	2.302056	0.779958	1.816788
  13	1.2000e-03	9.4377	20.195838	0.000279	2.786457	0.944077	2.199078
  14	1.3000e-03	10.2510	22.172823	0.000251	2.505043	0.848732	1.976986
  15	1.4000e-03	11.0467	24.182577	0.000255	2.546563	0.862799	2.009753
  16	1.5000e-03	11.8264	26.137717	0.000248	2.477363	0.839353	1.955141
  17	1.6000e-03	12.6510	28.187520	0.000260	2.597310	0.879992	2.049803
  18	1.7000e-03	13.4595	30.324704	0.000271	2.708030	0.917505	2.137183
  19	1.8000e-03	14.2408	32.199745	0.000238	2.375869	0.804966	1.875042
  20	1.9000e-03	15.0397	34.100273	0.000241	2.408163	0.815908	1.900528
  21	2.0000e-03	15.8659	36.117308	0.000256	2.555790	0.865925	2.017035
  22	2.1000e-03	16.6471	38.087012	0.000250	2.495816	0.845605	1.969704
  23	2.2000e-03	17.4300	39.947491	0.000236	2.357416	0.798714	1.860478
  24	2.3000e-03	18.2337	41.858941	0.000242	2.422003	0.820597	1.911450
  25	2.4000e-03	19.0711	43.817722	0.000248	2.481976	0.840916	1.958781
  26	2.5000e-03	19.8123	45.769222	0.000247	2.472750	0.837790	1.951500
  27	2.6000e-03	19.5877	46.879684	-0.000141	-1.407068	-0.476728	1.110462
  28	2.7000e-03	18.3733	43.930589	0.000374	3.736804	1.266064	-2.949095
  29	2.8000e-03	17.7653	40.985135	0.000373	3.732191	1.264501	-2.945454
  30	2.9000e-03	17.0129	40.479056	0.000064	0.641254	0.217263	-0.506079
  31	3.0000e-03	16.2060	38.684113	0.000227	2.274376	0.770579	-1.794943
  32	3.1000e-03	15.4038	36.404936	0.000289	2.887950	0.978464	-2.279177
  33	3.2000e-03	14.6049	34.908544	0.000190	1.896082	0.642410	-1.496393
  34	3.3000e-03	13.8237	33.160932	0.000221	2.214403	0.750260	-1.747612
  35	3.4000e-03	12.9638	31.034671	0.000269	2.694190	0.912816	-2.126261
  36	3.5000e-03	12.2451	29.126862	0.000242	2.417390	0.819034	-1.907809
  37	3.6000e-03	11.4366	27.441144	0.000214	2.135976	0.723688	-1.685717
  38	3.7000e-03	10.6168	25.394982	0.000259	2.592696	0.878429	-2.046162
  39	3.8000e-03	9.8307	23.534504	0.000236	2.357416	0.798714	-1.860478
  40	3.9000e-03	9.0094	21.532032	0.000254	2.537336	0.859673	-2.002472
  41	4.0000e-03	8.2281	19.580533	0.000247	2.472750	0.837790	-1.951500
  42	4.1000e-03	7.4196	17.399659	0.000276	2.763390	0.936262	-2.180874
  43	4.2000e-03	6.6094	15.349856	0.000260	2.597310	0.879992	-2.049803
  44	4.3000e-03	5.8186	13.514864	0.000233	2.325123	0.787773	-1.834992
  45	4.4000e-03	5.0196	11.501469	0.000255	2.551176	0.864362	-2.013394
  46	4.5000e-03	4.2223	9.549970	0.000247	2.472750	0.837790	-1.951500
  47	4.6000e-03	3.4122	7.441913	0.000267	2.671123	0.905001	-2.108057
  48	4.7000e-03	2.6309	5.304730	0.000271	2.708030	0.917505	-2.137183
  49	4.8000e-03	1.8064	3.240363	0.000262	2.615763	0.886245	-2.064366
  50	4.9000e-03	0.9818	1.216046	0.000257	2.565016	0.869051	-2.024317
  51	5.0000e-03	0.1941	-0.877447	0.000265	2.652670	0.898749	-2.093493
  52	5.1000e-03	-0.5535	-2.989144	0.000268	2.675737	0.906564	-2.111697
  53	5.2000e-03	-1.3524	-4.827777	0.000233	2.329736	0.789336	-1.838633
  54	5.3000e-03	-2.1962	-6.877580	0.000260	2.597310	0.879992	-2.049803
  55	5.4000e-03	-2.9502	-8.843643	0.000249	2.491203	0.844042	-1.966063
  56	5.5000e-03	-3.7892	-10.849756	0.000254	2.541950	0.861236	-2.006113
  57	5.6000e-03	-4.5865	-12.921404	0.000262	2.624990	0.889371	-2.071648
  58	5.7000e-03	-5.3758	-14.749115	0.000232	2.315896	0.784647	-1.827711
  59	5.8000e-03	-6.1763	-16.733382	0.000251	2.514270	0.851858	-1.984267
  60	5.9000e-03	-7.0073	-18.728572	0.000253	2.528110	0.856547	-1.995190
  61	6.0000e-03	-7.7420	-20.516233	0.000227	2.265149	0.767453	-1.787661
  62	6.1000e-03	-8.5955	-22.231077	0.000217	2.172883	0.736193	-1.714844
  63	6.2000e-03	-9.3799	-24.178936	0.000247	2.468136	0.836227	-1.947859
  64	6.3000e-03	-10.1949	-25.970238	0.000227	2.269763	0.769016	-1.791302
  65	6.4000e-03	-11.0115	-27.797949	0.000232	2.315896	0.784647	-1.827711
  66	6.5000e-03	-11.7398	-29.614737	0.000230	2.302056	0.779958	-1.816788
  67	6.6000e-03	-12.5980	-31.340503	0.000219	2.186723	0.740882	-1.725767
  68	6.7000e-03	-13.4130	-33.106319	0.000224	2.237469	0.758075	-1.765816
  69	6.8000e-03	-14.1830	-34.708296	0.000203	2.029869	0.687738	-1.601977
  70	6.9000e-03	-15.0108	-36.495958	0.000227	2.265149	0.767453	-1.787661
  71	7.0000e-03	-15.8113	-38.159830	0.000211	2.108296	0.714310	-1.663872
  72	7.1000e-03	-16.6150	-39.750884	0.000202	2.016029	0.683049	-1.591055
  73	7.2000e-03	-17.3851	-41.232713	0.000188	1.877629	0.636158	-1.481829
  74	7.3000e-03	-18.1888	-42.863818	0.000207	2.066776	0.700243	-1.631104
  75	7.4000e-03	-19.0214	-44.382055	0.000192	1.923762	0.651788	-1.518238
  76	7.5000e-03	-19.7786	-46.133308	0.000222	2.219016	0.751823	-1.751253
  77	7.6000e-03	-19.5075	-46.879684	-0.000095	-0.945734	-0.320424	-0.746376
  78	7.7000e-03	-18.3653	-43.850490	0.000384	3.838298	1.300451	3.029194
  79	7.8000e-03	-17.6931	-42.124724	0.000219	2.186723	0.740882	1.725767
  80	7.9000e-03	-16.9134	-41.716947	0.000052	0.516694	0.175061	0.407776
  81	8.0000e-03	-16.1257	-39.867392	0.000234	2.343576	0.794025	1.849556
  82	8.1000e-03	-15.3044	-38.250851	0.000205	2.048322	0.693990	1.616541
  83	8.2000e-03	-14.5199	-36.707127	0.000196	1.956056	0.662730	1.543724
  84	8.3000e-03	-13.7322	-35.188890	0.000192	1.923762	0.651788	1.518238
  85	8.4000e-03	-12.8868	-33.437637	0.000222	2.219016	0.751823	1.751253
  86	8.5000e-03	-12.1489	-31.963090	0.000187	1.868402	0.633032	1.474547
  87	8.6000e-03	-11.3451	-30.626895	0.000169	1.693095	0.573636	1.336195
  88	8.7000e-03	-10.5382	-28.649909	0.000251	2.505043	0.848732	1.976986
  89	8.8000e-03	-9.7329	-26.898657	0.000222	2.219016	0.751823	1.751253
  90	8.9000e-03	-8.9211	-25.347651	0.000197	1.965282	0.665856	1.551005
  91	9.0000e-03	-8.1351	-23.705624	0.000208	2.080616	0.704932	1.642027
  92	9.1000e-03	-7.3281	-21.692230	0.000255	2.551176	0.864362	2.013394
  93	9.2000e-03	-6.5004	-19.780780	0.000242	2.422003	0.820597	1.911450
  94	9.3000e-03	-5.7704	-18.084140	0.000215	2.149816	0.728377	1.696640
  95	9.4000e-03	-4.9539	-16.343810	0.000221	2.205176	0.747134	1.740330
  96	9.5000e-03	-4.1373	-14.483332	0.000236	2.357416	0.798714	1.860478
  97	9.6000e-03	-3.3496	-12.480860	0.000254	2.537336	0.859673	2.002472
  98	9.7000e-03	-2.5331	-10.562128	0.000243	2.431230	0.823723	1.918732
  99	9.8000e-03	-1.7438	-8.694368	0.000237	2.366643	0.801840	1.867760
 100	9.9000e-03	-0.9385	-6.582671	0.000268	2.675737	0.906564	2.111697
 101	1.0000e-02	-0.1749	-4.714911	0.000268	2.675737	0.906564	1.867760

PMax (uC/cm2):	4.86e+01
Pr (uC/cm2):	1.37e+00
-Pr (uC/cm2):	-1.92e+00
PLoss (uC/cm2):	-1.90e+00
-Vc:	-4.84e-01
C (Max-Eff) (nF):	2.45e-01
K (Eff):	8.30e+02
Vert. (+/-Pr) Shift (uC/cm2):	-2.78e-01
Offset (uC/cm2):	2.79e+00

A (Loop Area - uC/cm2·Volts):	2.38e-01



Hysteresis Version: 5.48.1 - Radiant Technologies, Inc., 1999 - 9/12/24

