»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 14:44:18
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 02:43:14 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0674	-2.084391	0.000076	0.760613	0.257703	0.600742
   2	1.0000e-04	0.6064	-1.483650	0.000076	0.760613	0.257703	0.600742
   3	2.0000e-04	1.5465	1.629284	0.000394	3.941360	1.335369	3.112933
   4	3.0000e-04	2.2604	3.882975	0.000285	2.853453	0.966776	2.253691
   5	4.0000e-04	3.0657	4.745858	0.000109	1.092517	0.370155	0.862883
   6	5.0000e-04	3.8486	6.912168	0.000274	2.742818	0.929292	2.166310
   7	6.0000e-04	4.6523	9.194986	0.000289	2.890331	0.979271	2.282818
   8	7.0000e-04	5.4464	11.033619	0.000233	2.327938	0.788727	1.838633
   9	8.0000e-04	6.2774	12.894098	0.000236	2.355597	0.798098	1.860478
  10	9.0000e-04	7.0602	15.020358	0.000269	2.692110	0.912112	2.126261
  11	1.0000e-03	7.8463	16.596850	0.000200	1.996034	0.676275	1.576491
  12	1.1000e-03	8.6564	18.562913	0.000249	2.489280	0.843391	1.966063
  13	1.2000e-03	9.4441	20.598152	0.000258	2.576866	0.873066	2.035239
  14	1.3000e-03	10.2478	22.484117	0.000239	2.387865	0.809031	1.885964
  15	1.4000e-03	11.0612	24.410130	0.000244	2.438573	0.826211	1.926014
  16	1.5000e-03	11.8489	26.376194	0.000249	2.489280	0.843391	1.966063
  17	1.6000e-03	12.6718	28.127446	0.000222	2.217303	0.751243	1.751253
  18	1.7000e-03	13.4820	30.275552	0.000272	2.719769	0.921483	2.148106
  19	1.8000e-03	14.2344	32.001319	0.000219	2.185035	0.740310	1.725767
  20	1.9000e-03	15.0461	33.599655	0.000202	2.023693	0.685646	1.598337
  21	2.0000e-03	15.8675	35.736839	0.000271	2.705940	0.916797	2.137183
  22	2.1000e-03	16.6632	37.641007	0.000241	2.410914	0.816840	1.904169
  23	2.2000e-03	17.4573	39.264830	0.000206	2.055961	0.696578	1.623823
  24	2.3000e-03	18.2385	40.939624	0.000212	2.120498	0.718444	1.674795
  25	2.4000e-03	19.0455	42.909328	0.000249	2.493890	0.844953	1.969704
