»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 16:14:46
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 04:14:00 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0032	-2.389984	0.000010	0.101346	0.034337	0.000004
   2	9.9500e-02	0.0369	-2.385947	0.000010	0.101346	0.034337	0.000004
   3	1.9900e-01	0.0722	-2.216388	0.000426	4.256552	1.442159	0.000170
   4	2.9850e-01	0.1091	-2.131608	0.000213	2.128276	0.721079	0.000085
   5	3.9800e-01	0.1460	-2.018568	0.000284	2.837702	0.961439	0.000114
   6	4.9750e-01	0.1973	-1.897454	0.000304	3.040395	1.030114	0.000122
   7	5.9700e-01	0.2358	-1.800563	0.000243	2.432316	0.824091	0.000097
   8	6.9650e-01	0.2695	-1.699634	0.000253	2.533662	0.858428	0.000101
   9	7.9600e-01	0.3112	-1.590631	0.000274	2.736355	0.927102	0.000110
  10	8.9550e-01	0.3513	-1.453369	0.000345	3.445780	1.167462	0.000138
  11	9.9500e-01	0.3978	-1.352440	0.000253	2.533662	0.858428	0.000101
  12	1.0945e+00	0.4444	-1.235364	0.000294	2.939048	0.995776	0.000118
  13	1.1940e+00	0.4781	-1.085990	0.000375	3.749820	1.270473	0.000150
  14	1.2935e+00	0.5166	-0.940653	0.000365	3.648473	1.236136	0.000146
  15	1.3930e+00	0.5599	-0.847799	0.000233	2.330969	0.789754	0.000093
  16	1.4925e+00	0.5968	-0.698424	0.000375	3.749820	1.270473	0.000150
  17	1.5920e+00	0.6337	-0.613645	0.000213	2.128276	0.721079	0.000085
  18	1.6915e+00	0.6738	-0.472345	0.000355	3.547127	1.201799	0.000142
  19	1.7910e+00	0.7123	-0.427936	0.000111	1.114811	0.377708	0.000045
  20	1.8905e+00	0.7604	-0.314897	0.000284	2.837702	0.961439	0.000114
  21	1.9900e+00	0.7989	-0.185708	0.000324	3.243087	1.098788	0.000130
  22	2.0895e+00	0.8358	-0.088817	0.000243	2.432316	0.824091	0.000097
  23	2.1890e+00	0.8711	0.008074	0.000243	2.432316	0.824091	0.000097
  24	2.2885e+00	0.9160	0.133225	0.000314	3.141741	1.064451	0.000126
