»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 10:32:44
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 10:32:02 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0038	-15.220039	0.000222	2.222133	0.376439	0.004447
   2	5.0000e-04	0.0021	-15.197802	0.000222	2.222133	0.376439	0.004447
   3	1.0000e-03	0.0179	-15.157605	0.000402	4.016932	0.680487	0.008039
   4	1.5000e-03	0.0255	-15.118264	0.000393	3.931466	0.666008	0.007868
   5	2.0000e-03	0.0358	-15.084482	0.000338	3.375932	0.571898	0.006756
   6	2.5000e-03	0.0455	-15.048133	0.000363	3.632332	0.615334	0.007270
   7	3.0000e-03	0.0572	-15.008364	0.000397	3.974199	0.673248	0.007954
   8	3.5000e-03	0.0661	-14.972016	0.000363	3.632332	0.615334	0.007270
   9	4.0000e-03	0.0768	-14.939517	0.000325	3.247732	0.550181	0.006500
  10	4.5000e-03	0.0884	-14.901886	0.000376	3.760532	0.637051	0.007526
  11	5.0000e-03	0.0967	-14.864255	0.000376	3.760532	0.637051	0.007526
  12	5.5000e-03	0.1064	-14.824058	0.000402	4.016932	0.680487	0.008039
  13	6.0000e-03	0.1174	-14.781723	0.000423	4.230599	0.716683	0.008467
  14	6.5000e-03	0.1237	-14.747085	0.000346	3.461399	0.586377	0.006928
  15	7.0000e-03	0.1351	-14.725704	0.000214	2.136666	0.361961	0.004276
  16	7.5000e-03	0.1460	-14.669685	0.000560	5.598065	0.948338	0.011204
  17	8.0000e-03	0.1555	-14.637613	0.000320	3.204999	0.542942	0.006414
  18	8.5000e-03	0.1673	-14.598272	0.000393	3.931466	0.666008	0.007868
  19	9.0000e-03	0.1743	-14.558502	0.000397	3.974199	0.673248	0.007954
  20	9.5000e-03	0.1880	-14.520016	0.000385	3.845999	0.651530	0.007697
  21	1.0000e-02	0.1962	-14.484096	0.000359	3.589599	0.608095	0.007184
  22	1.0500e-02	0.2075	-14.442616	0.000415	4.145132	0.702204	0.008296
  23	1.1000e-02	0.2150	-14.403702	0.000389	3.888732	0.658769	0.007783
  24	1.1500e-02	0.2274	-14.367354	0.000363	3.632332	0.615334	0.007270
