»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 18:19:7
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 06:18:01 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1512	-11.146486	0.000223	2.231189	0.377974	0.440544
   2	1.0000e-04	0.3676	-10.705942	0.000223	2.231189	0.377974	0.440544
   3	2.0000e-04	0.5432	-10.152532	0.000280	2.802816	0.474810	0.553410
   4	3.0000e-04	0.7597	-9.613685	0.000273	2.729058	0.462315	0.538847
   5	4.0000e-04	0.9541	-9.052993	0.000284	2.839695	0.481057	0.560692
   6	5.0000e-04	1.1523	-8.528709	0.000266	2.655300	0.449820	0.524284
   7	6.0000e-04	1.3621	-7.968017	0.000284	2.839695	0.481057	0.560692
   8	7.0000e-04	1.5497	-7.443734	0.000266	2.655300	0.449820	0.524284
   9	8.0000e-04	1.7532	-6.919450	0.000266	2.655300	0.449820	0.524284
  10	9.0000e-04	1.9553	-6.351476	0.000288	2.876575	0.487305	0.567974
  11	1.0000e-03	2.1518	-5.852679	0.000253	2.526223	0.427954	0.498798
  12	1.1000e-03	2.3547	-5.342959	0.000258	2.581541	0.437325	0.509720
  13	1.2000e-03	2.5589	-4.825957	0.000262	2.618420	0.443572	0.517002
  14	1.3000e-03	2.7502	-4.316237	0.000258	2.581541	0.437325	0.509720
  15	1.4000e-03	2.9550	-3.795594	0.000264	2.636860	0.446696	0.520643
  16	1.5000e-03	3.1519	-3.311360	0.000245	2.452464	0.415459	0.484234
  17	1.6000e-03	3.3517	-2.823485	0.000247	2.470904	0.418582	0.487875
  18	1.7000e-03	3.5550	-2.353815	0.000238	2.378706	0.402964	0.469671
  19	1.8000e-03	3.7595	-1.836813	0.000262	2.618420	0.443572	0.517002
  20	1.9000e-03	3.9499	-1.367142	0.000238	2.378706	0.402964	0.469671
  21	2.0000e-03	4.1537	-0.893831	0.000240	2.397145	0.406087	0.473312
  22	2.1000e-03	4.3503	-0.427801	0.000236	2.360266	0.399840	0.466030
  23	2.2000e-03	4.5529	0.012743	0.000223	2.231189	0.377974	0.440544
  24	2.3000e-03	4.7476	0.504259	0.000249	2.489343	0.421706	0.491516
  25	2.4000e-03	4.9527	0.933880	0.000218	2.175871	0.368602	0.429621
  26	2.5000e-03	5.1608	1.385346	0.000229	2.286508	0.387345	0.451466
  27	2.6000e-03	5.3525	1.829531	0.000225	2.249629	0.381097	0.444185
  28	2.7000e-03	5.5515	2.262793	0.000219	2.194310	0.371726	0.433262
  29	2.8000e-03	5.7541	2.688773	0.000216	2.157431	0.365479	0.425980
  30	2.9000e-03	5.9518	3.103831	0.000210	2.102112	0.356107	0.415058
  31	3.0000e-03	6.1551	3.548016	0.000225	2.249629	0.381097	0.444185
  32	3.1000e-03	6.3593	3.981278	0.000219	2.194310	0.371726	0.433262
  33	3.2000e-03	6.5488	4.367209	0.000195	1.954596	0.331117	0.385931
  34	3.3000e-03	6.7563	4.789548	0.000214	2.138991	0.362355	0.422339
