»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 18:22:10
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 06:20:55 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0069	-13.032735	0.000569	5.685356	0.963125	0.011375
   2	5.0000e-04	0.0048	-12.975861	0.000569	5.685356	0.963125	0.011375
   3	1.0000e-03	0.0162	-12.964315	0.000115	1.154170	0.195522	0.002309
   4	1.5000e-03	0.0240	-12.924974	0.000393	3.932727	0.666222	0.007868
   5	2.0000e-03	0.0337	-12.908297	0.000167	1.667134	0.282420	0.003335
   6	2.5000e-03	0.0465	-12.874514	0.000338	3.377016	0.572082	0.006756
   7	3.0000e-03	0.0560	-12.838594	0.000359	3.590751	0.608290	0.007184
   8	3.5000e-03	0.0651	-12.809087	0.000295	2.949545	0.499667	0.005901
   9	4.0000e-03	0.0739	-12.780864	0.000282	2.821304	0.477942	0.005645
  10	4.5000e-03	0.0842	-12.749220	0.000316	3.163281	0.535874	0.006329
  11	5.0000e-03	0.0939	-12.730404	0.000188	1.880870	0.318628	0.003763
  12	5.5000e-03	0.1021	-12.682083	0.000483	4.830415	0.818294	0.009664
  13	6.0000e-03	0.1177	-12.663695	0.000184	1.838123	0.311386	0.003678
  14	6.5000e-03	0.1256	-12.615801	0.000479	4.787668	0.811053	0.009579
  15	7.0000e-03	0.1353	-12.596130	0.000197	1.966364	0.333111	0.003934
  16	7.5000e-03	0.1450	-12.551229	0.000449	4.488439	0.760362	0.008980
  17	8.0000e-03	0.1574	-12.538401	0.000128	1.282411	0.217246	0.002566
  18	8.5000e-03	0.1685	-12.501625	0.000368	3.676245	0.622773	0.007355
  19	9.0000e-03	0.1752	-12.470408	0.000312	3.120534	0.528633	0.006243
  20	9.5000e-03	0.1852	-12.445178	0.000252	2.522075	0.427251	0.005046
  21	1.0000e-02	0.1985	-12.406692	0.000385	3.847233	0.651739	0.007697
  22	1.0500e-02	0.2052	-12.369489	0.000372	3.718992	0.630014	0.007441
  23	1.1000e-02	0.2152	-12.344259	0.000252	2.522075	0.427251	0.005046
  24	1.1500e-02	0.2271	-12.325443	0.000188	1.880870	0.318628	0.003763
