»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 18:22:53
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 06:22:21 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0028	-14.409132	0.000282	2.824308	0.478451	0.000028
   2	9.9500e-02	0.0087	-14.381025	0.000282	2.824308	0.478451	0.000028
   3	1.9900e-01	0.0175	-14.345994	0.000352	3.520151	0.596330	0.000035
   4	2.9850e-01	0.0248	-14.319924	0.000262	2.619648	0.443780	0.000026
   5	3.9800e-01	0.0342	-14.282448	0.000377	3.765743	0.637934	0.000038
   6	4.9750e-01	0.0420	-14.248231	0.000344	3.438287	0.582462	0.000034
   7	5.9700e-01	0.0534	-14.214829	0.000336	3.356423	0.568594	0.000034
   8	6.9650e-01	0.0654	-14.182242	0.000327	3.274559	0.554725	0.000033
   9	7.9600e-01	0.0742	-14.151691	0.000307	3.069899	0.520055	0.000031
  10	8.9550e-01	0.0869	-14.113401	0.000385	3.847607	0.651802	0.000038
  11	9.9500e-01	0.0953	-14.077962	0.000356	3.561083	0.603264	0.000036
  12	1.0945e+00	0.1052	-14.045375	0.000327	3.274559	0.554725	0.000033
  13	1.1940e+00	0.1160	-14.011158	0.000344	3.438287	0.582462	0.000034
  14	1.2935e+00	0.1225	-13.973275	0.000381	3.806675	0.644868	0.000038
  15	1.3930e+00	0.1376	-13.943132	0.000303	3.028967	0.513121	0.000030
  16	1.4925e+00	0.1414	-13.904842	0.000385	3.847607	0.651802	0.000038
  17	1.5920e+00	0.1553	-13.866959	0.000381	3.806675	0.644868	0.000038
  18	1.6915e+00	0.1618	-13.835593	0.000315	3.151763	0.533923	0.000032
  19	1.7910e+00	0.1748	-13.803413	0.000323	3.233627	0.547791	0.000032
  20	1.8905e+00	0.1858	-13.764716	0.000389	3.888539	0.658736	0.000039
  21	1.9900e+00	0.1958	-13.729684	0.000352	3.520151	0.596330	0.000035
  22	2.0895e+00	0.2076	-13.695875	0.000340	3.397355	0.575528	0.000034
  23	2.1890e+00	0.2137	-13.664102	0.000319	3.192695	0.540857	0.000032
  24	2.2885e+00	0.2232	-13.624590	0.000397	3.970403	0.672605	0.000040
