»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 12:8:46
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 12:07:31 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1522	-12.895918	0.000426	4.259560	0.721589	0.841038
   2	1.0000e-04	0.3493	-12.054880	0.000426	4.259560	0.721589	0.841038
   3	2.0000e-04	0.5338	-10.867960	0.000601	6.011326	1.018346	1.186920
   4	3.0000e-04	0.7644	-10.350958	0.000262	2.618431	0.443574	0.517002
   5	4.0000e-04	0.9538	-9.972309	0.000192	1.917724	0.324871	0.378649
   6	5.0000e-04	1.1438	-9.236856	0.000372	3.724810	0.631000	0.735453
   7	6.0000e-04	1.3537	-8.403100	0.000422	4.222680	0.715341	0.833756
   8	7.0000e-04	1.5503	-7.795076	0.000308	3.079422	0.521668	0.608023
   9	8.0000e-04	1.7520	-7.285356	0.000258	2.581551	0.437327	0.509720
  10	9.0000e-04	1.9461	-6.640924	0.000326	3.263818	0.552906	0.644432
  11	1.0000e-03	2.1464	-5.905471	0.000372	3.724810	0.631000	0.735453
  12	1.1000e-03	2.3532	-5.359343	0.000277	2.765948	0.468564	0.546129
  13	1.2000e-03	2.5583	-4.820496	0.000273	2.729068	0.462317	0.538847
  14	1.3000e-03	2.7432	-4.165141	0.000332	3.319137	0.562277	0.655354
  15	1.4000e-03	2.9550	-3.619013	0.000277	2.765948	0.468564	0.546129
  16	1.5000e-03	3.1537	-3.032834	0.000297	2.968784	0.502926	0.586178
  17	1.6000e-03	3.3482	-2.446656	0.000297	2.968784	0.502926	0.586178
  18	1.7000e-03	3.5559	-1.940577	0.000256	2.563112	0.434203	0.506079
  19	1.8000e-03	3.7570	-1.368962	0.000290	2.895025	0.490431	0.571615
  20	1.9000e-03	3.9484	-0.790066	0.000293	2.931905	0.496678	0.578896
  21	2.0000e-03	4.1568	-0.313114	0.000242	2.415594	0.409213	0.476952
  22	2.1000e-03	4.3472	0.236656	0.000278	2.784387	0.471688	0.549770
  23	2.2000e-03	4.5590	0.771862	0.000271	2.710629	0.459193	0.535206
  24	2.3000e-03	4.7556	1.288864	0.000262	2.618431	0.443574	0.517002
  25	2.4000e-03	4.9509	1.747612	0.000232	2.323396	0.393594	0.458748
  26	2.5000e-03	5.1602	2.250050	0.000254	2.544672	0.431079	0.502438
  27	2.6000e-03	5.3506	2.792538	0.000275	2.747508	0.465440	0.542488
  28	2.7000e-03	5.5551	3.174828	0.000194	1.936163	0.327995	0.382290
  29	2.8000e-03	5.7559	3.644499	0.000238	2.378715	0.402965	0.469671
  30	2.9000e-03	5.9500	4.186986	0.000275	2.747508	0.465440	0.542488
  31	3.0000e-03	6.1569	4.627530	0.000223	2.231198	0.377975	0.440544
  32	3.1000e-03	6.3599	5.078996	0.000229	2.286517	0.387346	0.451466
  33	3.2000e-03	6.5512	5.570512	0.000249	2.489353	0.421708	0.491516
  34	3.3000e-03	6.7569	5.992852	0.000214	2.139000	0.362356	0.422339
  35	3.4000e-03	6.9504	6.429755	0.000221	2.212758	0.374851	0.436903
  36	3.5000e-03	7.1524	6.899425	0.000238	2.378715	0.402965	0.469671
  37	3.6000e-03	7.3557	7.267152	0.000186	1.862405	0.315500	0.367727
  38	3.7000e-03	7.5595	7.740463	0.000240	2.397155	0.406089	0.473312
  39	3.8000e-03	7.7499	8.199212	0.000232	2.323396	0.393594	0.458748
  40	3.9000e-03	7.9535	8.541452	0.000173	1.733327	0.293634	0.342241
  41	4.0000e-03	8.1546	9.003841	0.000234	2.341836	0.396718	0.462389
  42	4.1000e-03	8.3496	9.440744	0.000221	2.212758	0.374851	0.436903
  43	4.2000e-03	8.5556	9.793907	0.000179	1.788646	0.303005	0.353163
  44	4.3000e-03	8.7515	10.208965	0.000210	2.102120	0.356109	0.415058
  45	4.4000e-03	8.9609	10.627664	0.000212	2.120560	0.359233	0.418699
  46	4.5000e-03	9.1458	11.024517	0.000201	2.009922	0.340490	0.396853
  47	4.6000e-03	9.3491	11.374039	0.000177	1.770207	0.299881	0.349522
  48	4.7000e-03	9.5538	11.803661	0.000218	2.175879	0.368604	0.429621
  49	4.8000e-03	9.7537	12.182310	0.000192	1.917724	0.324871	0.378649
  50	4.9000e-03	9.9490	12.520910	0.000171	1.714888	0.290510	0.338600
  51	5.0000e-03	9.8441	12.895918	-0.000190	-1.899284	-0.321747	0.375008
  52	5.1000e-03	9.6371	11.996626	0.000455	4.554594	0.771569	-0.899292
  53	5.2000e-03	9.4315	11.508751	0.000247	2.470913	0.418584	-0.487875
  54	5.3000e-03	9.2383	11.643463	-0.000068	-0.682267	-0.115579	0.134712
  55	5.4000e-03	9.0463	10.988109	0.000332	3.319137	0.562277	-0.655354
  56	5.5000e-03	8.8306	10.543924	0.000225	2.249638	0.381099	-0.444185
  57	5.6000e-03	8.6411	10.416494	0.000065	0.645388	0.109332	-0.127430
  58	5.7000e-03	8.4451	9.917696	0.000253	2.526232	0.427955	-0.498798
  59	5.8000e-03	8.2401	9.382490	0.000271	2.710629	0.459193	-0.535206
  60	5.9000e-03	8.0338	9.156757	0.000114	1.143258	0.193673	-0.225733
  61	6.0000e-03	7.8445	8.723495	0.000219	2.194319	0.371728	-0.433262
  62	6.1000e-03	7.6398	8.282951	0.000223	2.231198	0.377975	-0.440544
  63	6.2000e-03	7.4319	7.904302	0.000192	1.917724	0.324871	-0.378649
  64	6.3000e-03	7.2461	7.478322	0.000216	2.157439	0.365480	-0.425980
  65	6.4000e-03	7.0377	7.045060	0.000219	2.194319	0.371728	-0.433262
  66	6.5000e-03	6.8399	6.644565	0.000203	2.028362	0.343614	-0.400494
  67	6.6000e-03	6.6385	6.193099	0.000229	2.286517	0.387346	-0.451466
  68	6.7000e-03	6.4380	5.803527	0.000197	1.973043	0.334242	-0.389572
  69	6.8000e-03	6.2369	5.304730	0.000253	2.526232	0.427955	-0.498798
  70	6.9000e-03	6.0434	4.831418	0.000240	2.397155	0.406089	-0.473312
  71	7.0000e-03	5.8377	4.449128	0.000194	1.936163	0.327995	-0.382290
  72	7.1000e-03	5.6415	3.961253	0.000247	2.470913	0.418584	-0.487875
  73	7.2000e-03	5.4428	3.433329	0.000267	2.673750	0.452945	-0.527924
  74	7.3000e-03	5.2393	3.018271	0.000210	2.102120	0.356109	-0.415058
  75	7.4000e-03	5.0369	2.548600	0.000238	2.378715	0.402965	-0.469671
  76	7.5000e-03	4.8459	1.984267	0.000286	2.858146	0.484183	-0.564333
  77	7.6000e-03	4.6384	1.565569	0.000212	2.120560	0.359233	-0.418699
  78	7.7000e-03	4.4434	1.034004	0.000269	2.692189	0.456069	-0.531565
  79	7.8000e-03	4.2404	0.480593	0.000280	2.802827	0.474812	-0.553410
  80	7.9000e-03	4.0402	-0.000000	0.000243	2.434034	0.412337	-0.480593
  81	8.0000e-03	3.8449	-0.517002	0.000262	2.618431	0.443574	-0.517002
  82	8.1000e-03	3.6365	-1.081335	0.000286	2.858146	0.484183	-0.564333
  83	8.2000e-03	3.4433	-1.638386	0.000282	2.821267	0.477936	-0.557051
  84	8.3000e-03	3.2394	-2.155388	0.000262	2.618431	0.443574	-0.517002
  85	8.4000e-03	3.0405	-2.723362	0.000288	2.876586	0.487307	-0.567974
  86	8.5000e-03	2.8445	-3.309540	0.000297	2.968784	0.502926	-0.586178
  87	8.6000e-03	2.6395	-3.877513	0.000288	2.876586	0.487307	-0.567974
  88	8.7000e-03	2.4368	-4.438206	0.000284	2.839706	0.481059	-0.560692
  89	8.8000e-03	2.2446	-5.086278	0.000328	3.282258	0.556030	-0.648073
  90	8.9000e-03	2.0438	-5.665175	0.000293	2.931905	0.496678	-0.578896
  91	9.0000e-03	1.8381	-6.236789	0.000290	2.895025	0.490431	-0.571615
  92	9.1000e-03	1.6440	-6.903066	0.000337	3.374456	0.571648	-0.666277
  93	9.2000e-03	1.4421	-7.543857	0.000325	3.245379	0.549782	-0.640791
  94	9.3000e-03	1.2394	-8.217416	0.000341	3.411336	0.577896	-0.673559
  95	9.4000e-03	1.0464	-8.854566	0.000323	3.226939	0.546658	-0.637150
  96	9.5000e-03	0.8424	-9.480793	0.000317	3.171620	0.537287	-0.626228
  97	9.6000e-03	0.6436	-10.154352	0.000341	3.411336	0.577896	-0.673559
  98	9.7000e-03	0.4459	-10.857038	0.000356	3.558853	0.602886	-0.702686
  99	9.8000e-03	0.2438	-11.548801	0.000350	3.503534	0.593515	-0.691763
 100	9.9000e-03	0.0459	-12.229641	0.000345	3.448215	0.584143	-0.680840
 101	1.0000e-02	0.0011	-12.863150	0.000345	3.448215	0.584143	-0.633509

PMax (uC/cm2):	2.55e+01
Pr (uC/cm2):	6.92e-02
-Pr (uC/cm2):	0.00e+00
PLoss (uC/cm2):	0.00e+00
C (Max-Eff) (nF):	2.56e-01
K (Eff):	4.33e+02
Vert. (+/-Pr) Shift (uC/cm2):	3.46e-02
Offset (uC/cm2):	1.29e+01

A (Loop Area - uC/cm2·Volts):	8.03e-02



Hysteresis Version: 5.48.1 - Radiant Technologies, Inc., 1999 - 9/12/24

