»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 15:42:28
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 03:42:03 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0021	-19.747735	0.000244	2.438348	0.413067	0.004875
   2	5.0000e-04	0.0062	-19.723361	0.000244	2.438348	0.413067	0.004875
   3	1.0000e-03	0.0153	-19.676749	0.000466	4.662805	0.789901	0.009322
   4	1.5000e-03	0.0253	-19.617309	0.000595	5.946146	1.007304	0.011888
   5	2.0000e-03	0.0372	-19.564712	0.000526	5.261698	0.891356	0.010520
   6	2.5000e-03	0.0456	-19.507837	0.000569	5.689478	0.963824	0.011375
   7	3.0000e-03	0.0541	-19.452674	0.000552	5.518366	0.934836	0.011033
   8	3.5000e-03	0.0631	-19.394517	0.000582	5.817812	0.985564	0.011631
   9	4.0000e-03	0.0765	-19.332939	0.000616	6.160036	1.043538	0.012316
  10	4.5000e-03	0.0867	-19.287183	0.000458	4.577249	0.775407	0.009151
  11	5.0000e-03	0.0974	-19.233302	0.000539	5.390032	0.913096	0.010776
  12	5.5000e-03	0.1081	-19.173862	0.000595	5.946146	1.007304	0.011888
  13	6.0000e-03	0.1151	-19.116560	0.000573	5.732256	0.971070	0.011460
  14	6.5000e-03	0.1273	-19.057976	0.000586	5.860590	0.992811	0.011717
  15	7.0000e-03	0.1360	-19.015213	0.000428	4.277803	0.724679	0.008553
  16	7.5000e-03	0.1441	-18.955773	0.000595	5.946146	1.007304	0.011888
  17	8.0000e-03	0.1613	-18.900610	0.000552	5.518366	0.934836	0.011033
  18	8.5000e-03	0.1635	-18.841597	0.000590	5.903368	1.000058	0.011802
  19	9.0000e-03	0.1758	-18.787716	0.000539	5.390032	0.913096	0.010776
  20	9.5000e-03	0.1846	-18.729987	0.000578	5.775034	0.978317	0.011546
  21	1.0000e-02	0.1940	-18.671830	0.000582	5.817812	0.985564	0.011631
  22	1.0500e-02	0.2032	-18.623508	0.000483	4.833917	0.818888	0.009664
  23	1.1000e-02	0.2168	-18.568772	0.000548	5.475588	0.927590	0.010947
  24	1.1500e-02	0.2287	-18.518740	0.000501	5.005030	0.847875	0.010006
  25	1.2000e-02	0.2319	-18.455879	0.000629	6.288370	1.065279	0.012572
  26	1.2500e-02	0.2470	-18.400716	0.000552	5.518366	0.934836	0.011033
  27	1.3000e-02	0.2551	-18.348973	0.000518	5.176142	0.876862	0.010349
  28	1.3500e-02	0.2632	-18.288250	0.000607	6.074480	1.029045	0.012145
  29	1.4000e-02	0.2766	-18.234369	0.000539	5.390032	0.913096	0.010776
  30	1.4500e-02	0.2847	-18.192034	0.000424	4.235025	0.717433	0.008467
  31	1.5000e-02	0.2965	-18.125753	0.000663	6.630595	1.123253	0.013256
  32	1.5500e-02	0.3049	-18.078714	0.000471	4.705583	0.797147	0.009408
  33	1.6000e-02	0.3158	-18.023550	0.000552	5.518366	0.934836	0.011033
  34	1.6500e-02	0.3256	-17.958123	0.000655	6.545039	1.108760	0.013085
  35	1.7000e-02	0.3347	-17.911940	0.000462	4.620027	0.782654	0.009237
  36	1.7500e-02	0.3442	-17.843520	0.000684	6.844485	1.159487	0.013684
  37	1.8000e-02	0.3550	-17.789639	0.000539	5.390032	0.913096	0.010776
  38	1.8500e-02	0.3685	-17.740462	0.000492	4.919473	0.833381	0.009835
  39	1.9000e-02	0.3745	-17.672897	0.000676	6.758929	1.144994	0.013513
  40	1.9500e-02	0.3854	-17.627997	0.000449	4.491693	0.760913	0.008980
  41	2.0000e-02	0.3969	-17.574971	0.000530	5.304476	0.898603	0.010605
  42	2.0500e-02	0.4054	-17.525367	0.000496	4.962251	0.840628	0.009921
  43	2.1000e-02	0.4166	-17.467637	0.000578	5.775034	0.978317	0.011546
  44	2.1500e-02	0.4260	-17.411191	0.000565	5.646700	0.956577	0.011289
  45	2.2000e-02	0.4378	-17.356882	0.000543	5.432810	0.920343	0.010862
  46	2.2500e-02	0.4458	-17.294449	0.000625	6.245592	1.058032	0.012487
  47	2.3000e-02	0.4538	-17.243134	0.000513	5.133364	0.869615	0.010263
  48	2.3500e-02	0.4651	-17.184977	0.000582	5.817812	0.985564	0.011631
  49	2.4000e-02	0.4750	-17.136655	0.000483	4.833917	0.818888	0.009664
  50	2.4500e-02	0.4847	-17.085768	0.000509	5.090586	0.862369	0.010177
  51	2.5000e-02	0.4942	-17.033170	0.000526	5.261698	0.891356	0.010520
  52	2.5500e-02	0.5057	-16.975013	0.000582	5.817812	0.985564	0.011631
  53	2.6000e-02	0.5137	-16.918994	0.000560	5.603922	0.949330	0.011204
  54	2.6500e-02	0.5267	-16.866396	0.000526	5.261698	0.891356	0.010520
  55	2.7000e-02	0.5376	-16.807384	0.000590	5.903368	1.000058	0.011802
  56	2.7500e-02	0.5453	-16.754786	0.000526	5.261698	0.891356	0.010520
  57	2.8000e-02	0.5552	-16.707319	0.000475	4.748361	0.804394	0.009493
  58	2.8500e-02	0.5688	-16.645741	0.000616	6.160036	1.043538	0.012316
  59	2.9000e-02	0.5730	-16.591005	0.000548	5.475588	0.927590	0.010947
  60	2.9500e-02	0.5875	-16.540973	0.000501	5.005030	0.847875	0.010006
  61	3.0000e-02	0.5945	-16.485810	0.000552	5.518366	0.934836	0.011033
  62	3.0500e-02	0.6051	-16.428508	0.000573	5.732256	0.971070	0.011460
  63	3.1000e-02	0.6157	-16.376338	0.000522	5.218920	0.884109	0.010434
  64	3.1500e-02	0.6256	-16.323312	0.000530	5.304476	0.898603	0.010605
  65	3.2000e-02	0.6364	-16.265155	0.000582	5.817812	0.985564	0.011631
  66	3.2500e-02	0.6430	-16.204432	0.000607	6.074480	1.029045	0.012145
  67	3.3000e-02	0.6561	-16.162953	0.000415	4.149469	0.702939	0.008296
  68	3.3500e-02	0.6683	-16.108644	0.000543	5.432810	0.920343	0.010862
  69	3.4000e-02	0.6767	-16.061605	0.000471	4.705583	0.797147	0.009408
  70	3.4500e-02	0.6849	-16.000883	0.000607	6.074480	1.029045	0.012145
