»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 16:51:38
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 04:50:31 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1546	-22.899174	0.000199	1.994781	0.337925	0.393213
   2	1.0000e-04	0.3679	-22.505962	0.000199	1.994781	0.337925	0.393213
   3	2.0000e-04	0.5379	-21.581184	0.000469	4.691430	0.794750	0.924778
   4	3.0000e-04	0.7484	-20.849372	0.000371	3.712510	0.628916	0.731812
   5	4.0000e-04	0.9601	-22.644314	-0.000911	-9.105808	-1.542566	-1.794943
   6	5.0000e-04	1.1594	-22.407659	0.000120	1.200563	0.203381	0.236656
   7	6.0000e-04	1.3449	-17.754643	0.002360	23.604913	3.998780	4.653016
   8	7.0000e-04	1.5311	-15.912369	0.000935	9.345920	1.583242	1.842274
   9	8.0000e-04	1.7393	-15.133225	0.000395	3.952622	0.669592	0.779144
  10	9.0000e-04	1.9255	-20.354215	-0.002649	-26.486264	-4.486895	-5.220990
  11	1.0000e-03	2.1207	-18.238877	0.001073	10.731185	1.817912	2.115338
  12	1.1000e-03	2.3386	-11.754509	0.003290	32.895422	5.572635	6.484368
  13	1.2000e-03	2.5436	-9.995975	0.000892	8.921106	1.511276	1.758534
  14	1.3000e-03	2.7322	-9.227754	0.000390	3.897212	0.660206	0.768221
  15	1.4000e-03	2.9330	-10.640407	-0.000717	-7.166437	-1.214027	-1.412653
  16	1.5000e-03	3.1348	-10.753273	-0.000057	-0.572576	-0.096997	-0.112867
  17	1.6000e-03	3.3377	-6.071130	0.002375	23.752674	4.023812	4.682143
  18	1.7000e-03	3.5410	-4.534688	0.000779	7.794423	1.320411	1.536442
  19	1.8000e-03	3.7454	-3.791953	0.000377	3.767920	0.638303	0.742735
  20	1.9000e-03	3.9334	-4.476435	-0.000347	-3.472397	-0.588240	-0.684481
  21	2.0000e-03	4.1409	-4.673041	-0.000100	-0.997391	-0.168963	-0.196606
  22	2.1000e-03	4.3423	-0.901112	0.001914	19.135125	3.241578	3.771929
  23	2.2000e-03	4.5419	0.518822	0.000720	7.203377	1.220285	1.419935
  24	2.3000e-03	4.7397	1.239712	0.000366	3.657099	0.619529	0.720890
  25	2.4000e-03	4.9411	0.697224	-0.000275	-2.752059	-0.466211	-0.542488
  26	2.5000e-03	5.1468	0.620766	-0.000039	-0.387874	-0.065708	-0.076458
  27	2.6000e-03	5.3378	3.948510	0.001688	16.881761	2.859848	3.327744
  28	2.7000e-03	5.5447	5.182761	0.000626	6.261397	1.060709	1.234251
  29	2.8000e-03	5.7480	5.849038	0.000338	3.380046	0.572595	0.666277
  30	2.9000e-03	5.9396	5.448544	-0.000203	-2.031722	-0.344183	-0.400494
  31	3.0000e-03	6.1386	5.463107	0.000007	0.073881	0.012516	0.014563
  32	3.1000e-03	6.3504	8.364871	0.001472	14.720748	2.493762	2.901764
  33	3.2000e-03	6.5402	9.500818	0.000576	5.762702	0.976228	1.135948
  34	3.3000e-03	6.7484	10.127046	0.000318	3.176874	0.538177	0.626228
  35	3.4000e-03	6.9449	9.803009	-0.000164	-1.643848	-0.278475	-0.324036
  36	3.5000e-03	7.1387	9.897672	0.000048	0.480225	0.081352	0.094662
  37	3.6000e-03	7.3453	12.468117	0.001304	13.039960	2.209029	2.570446
  38	3.7000e-03	7.5504	13.520325	0.000534	5.337887	0.904263	1.052208
  39	3.8000e-03	7.7420	14.139271	0.000314	3.139934	0.531919	0.618946
  40	3.9000e-03	7.9443	13.880770	-0.000131	-1.311384	-0.222154	-0.258501
  41	4.0000e-03	8.1442	13.986355	0.000054	0.535636	0.090739	0.105585
  42	4.1000e-03	8.3383	16.352912	0.001201	12.005629	2.033809	2.366558
  43	4.2000e-03	8.5440	17.390557	0.000526	5.264006	0.891747	1.037644
  44	4.3000e-03	8.7405	17.936685	0.000277	2.770530	0.469340	0.546129
  45	4.4000e-03	8.9474	17.714593	-0.000113	-1.126682	-0.190865	-0.222092
  46	4.5000e-03	9.1367	17.867509	0.000078	0.775748	0.131415	0.152916
  47	4.6000e-03	9.3381	20.030179	0.001097	10.971297	1.858588	2.162669
  48	4.7000e-03	9.5447	20.998647	0.000491	4.913073	0.832297	0.968468
  49	4.8000e-03	9.7403	21.584825	0.000297	2.973702	0.503759	0.586178
  50	4.9000e-03	9.9423	21.370014	-0.000109	-1.089742	-0.184607	-0.214811
  51	5.0000e-03	9.8312	21.497444	-0.000065	-0.646457	-0.109513	0.127430
  52	5.1000e-03	9.6143	22.899174	-0.000711	-7.111026	-1.204640	1.401730
  53	5.2000e-03	9.4449	22.556934	0.000174	1.736199	0.294120	-0.342241
  54	5.3000e-03	9.2490	22.116390	0.000223	2.234894	0.378601	-0.440544
