»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 17:5:5
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 05:04:00 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1521	-24.417412	0.000449	4.488519	0.760376	0.884728
   2	1.0000e-04	0.3455	-23.532684	0.000449	4.488519	0.760376	0.884728
   3	2.0000e-04	0.5150	-21.803276	0.000877	8.773853	1.486331	1.729407
   4	3.0000e-04	0.7318	-19.986488	0.000922	9.217164	1.561430	1.816788
   5	4.0000e-04	0.9317	-18.508300	0.000750	7.499336	1.270422	1.478188
   6	5.0000e-04	1.1411	-17.477937	0.000523	5.227369	0.885540	1.030363
   7	6.0000e-04	1.3449	-16.298299	0.000598	5.984692	1.013834	1.179638
   8	7.0000e-04	1.5311	-15.129584	0.000593	5.929278	1.004447	1.168715
   9	8.0000e-04	1.7361	-13.826157	0.000661	6.612715	1.120224	1.303427
  10	9.0000e-04	1.9391	-12.533653	0.000656	6.557301	1.110837	1.292504
  11	1.0000e-03	2.1329	-11.357656	0.000597	5.966220	1.010705	1.175997
  12	1.1000e-03	2.3411	-10.145250	0.000615	6.150933	1.041996	1.212406
  13	1.2000e-03	2.5424	-9.122169	0.000519	5.190427	0.879282	1.023081
  14	1.3000e-03	2.7310	-7.960735	0.000589	5.892335	0.998189	1.161434
  15	1.4000e-03	2.9428	-6.828429	0.000574	5.744565	0.973156	1.132307
  16	1.5000e-03	3.1375	-5.725249	0.000560	5.596795	0.948123	1.103180
  17	1.6000e-03	3.3377	-4.585660	0.000578	5.781508	0.979414	1.139588
  18	1.7000e-03	3.5452	-3.588065	0.000506	5.061128	0.857378	0.997595
  19	1.8000e-03	3.7442	-2.597752	0.000502	5.024185	0.851120	0.990313
  20	1.9000e-03	3.9375	-1.538262	0.000538	5.375140	0.910573	1.059490
  21	2.0000e-03	4.1440	-0.515181	0.000519	5.190427	0.879282	1.023081
  22	2.1000e-03	4.3375	0.460568	0.000495	4.950300	0.838604	0.975750
  23	2.2000e-03	4.5432	1.381705	0.000467	4.673231	0.791667	0.921137
  24	2.3000e-03	4.7397	2.382941	0.000508	5.079599	0.860507	1.001236
