»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 12:35:13
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 12:34:39 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0002	-22.981395	0.000365	3.652258	0.618709	0.000037
   2	9.9500e-02	0.0080	-22.945061	0.000365	3.652258	0.618709	0.000037
   3	1.9900e-01	0.0196	-22.961210	-0.000162	-1.623226	-0.274982	-0.000016
   4	2.9850e-01	0.0282	-22.924875	0.000365	3.652258	0.618709	0.000037
   5	3.9800e-01	0.0381	-22.932950	-0.000081	-0.811613	-0.137491	-0.000008
   6	4.9750e-01	0.0493	-22.864318	0.000690	6.898710	1.168673	0.000069
   7	5.9700e-01	0.0588	-22.880467	-0.000162	-1.623226	-0.274982	-0.000016
   8	6.9650e-01	0.0699	-22.807798	0.000730	7.304516	1.237419	0.000073
   9	7.9600e-01	0.0790	-22.844133	-0.000365	-3.652258	-0.618709	-0.000037
  10	8.9550e-01	0.0887	-22.779538	0.000649	6.492903	1.099928	0.000065
  11	9.9500e-01	0.0999	-22.787613	-0.000081	-0.811613	-0.137491	-0.000008
  12	1.0945e+00	0.1083	-22.743204	0.000446	4.463871	0.756200	0.000045
  13	1.1940e+00	0.1182	-22.686684	0.000568	5.681290	0.962437	0.000057
  14	1.2935e+00	0.1293	-22.678610	0.000081	0.811613	0.137491	0.000008
  15	1.3930e+00	0.1384	-22.654387	0.000243	2.434839	0.412473	0.000024
  16	1.4925e+00	0.1488	-22.630164	0.000243	2.434839	0.412473	0.000024
  17	1.5920e+00	0.1577	-22.630164	0.000000	0.000000	0.000000	0.000000
  18	1.6915e+00	0.1685	-22.626127	0.000041	0.405806	0.068745	0.000004
  19	1.7910e+00	0.1786	-22.585756	0.000406	4.058064	0.687455	0.000041
  20	1.8905e+00	0.1881	-22.557496	0.000284	2.840645	0.481218	0.000028
  21	1.9900e+00	0.1992	-22.496939	0.000609	6.087097	1.031182	0.000061
  22	2.0895e+00	0.2074	-22.484827	0.000122	1.217419	0.206236	0.000012
  23	2.1890e+00	0.2186	-22.440419	0.000446	4.463871	0.756200	0.000045
  24	2.2885e+00	0.2286	-22.464642	-0.000243	-2.434839	-0.412473	-0.000024
  25	2.3880e+00	0.2376	-22.432345	0.000325	3.246452	0.549964	0.000032
  26	2.4875e+00	0.2493	-22.404085	0.000284	2.840645	0.481218	0.000028
  27	2.5870e+00	0.2583	-22.416196	-0.000122	-1.217419	-0.206236	-0.000012
  28	2.6865e+00	0.2682	-22.335453	0.000812	8.116129	1.374909	0.000081
  29	2.7860e+00	0.2778	-22.335453	0.000000	0.000000	0.000000	0.000000
  30	2.8855e+00	0.2880	-22.307194	0.000284	2.840645	0.481218	0.000028
  31	2.9850e+00	0.2986	-22.291045	0.000162	1.623226	0.274982	0.000016
  32	3.0845e+00	0.3073	-22.274896	0.000162	1.623226	0.274982	0.000016
  33	3.1840e+00	0.3178	-22.222414	0.000528	5.275484	0.893691	0.000053
  34	3.2835e+00	0.3272	-22.266822	-0.000446	-4.463871	-0.756200	-0.000045
  35	3.3830e+00	0.3378	-22.194154	0.000730	7.304516	1.237419	0.000073
  36	3.4825e+00	0.3481	-22.161857	0.000325	3.246452	0.549964	0.000032
  37	3.5820e+00	0.3583	-22.161857	0.000000	0.000000	0.000000	0.000000
  38	3.6815e+00	0.3671	-22.129560	0.000325	3.246452	0.549964	0.000032
  39	3.7810e+00	0.3777	-22.105337	0.000243	2.434839	0.412473	0.000024
  40	3.8805e+00	0.3876	-22.109374	-0.000041	-0.405806	-0.068745	-0.000004
  41	3.9800e+00	0.3984	-22.052854	0.000568	5.681290	0.962437	0.000057
  42	4.0795e+00	0.4079	-22.024594	0.000284	2.840645	0.481218	0.000028
  43	4.1790e+00	0.4176	-22.000371	0.000243	2.434839	0.412473	0.000024
  44	4.2785e+00	0.4266	-21.980186	0.000203	2.029032	0.343727	0.000020
  45	4.3780e+00	0.4379	-21.943851	0.000365	3.652258	0.618709	0.000037
  46	4.4775e+00	0.4467	-21.911554	0.000325	3.246452	0.549964	0.000032
  47	4.5770e+00	0.4580	-21.895406	0.000162	1.623226	0.274982	0.000016
  48	4.6765e+00	0.4670	-21.879257	0.000162	1.623226	0.274982	0.000016
  49	4.7760e+00	0.4771	-21.846960	0.000325	3.246452	0.549964	0.000032
  50	4.8755e+00	0.4874	-21.871183	-0.000243	-2.434839	-0.412473	-0.000024
  51	4.9750e+00	0.4974	-21.798514	0.000730	7.304516	1.237419	0.000073
  52	5.0745e+00	0.5066	-21.778329	0.000203	2.029032	0.343727	0.000020
  53	5.1740e+00	0.5161	-21.770254	0.000081	0.811613	0.137491	0.000008
  54	5.2735e+00	0.5270	-21.725846	0.000446	4.463871	0.756200	0.000045
  55	5.3730e+00	0.5372	-21.705660	0.000203	2.029032	0.343727	0.000020
  56	5.4725e+00	0.5481	-21.733920	-0.000284	-2.840645	-0.481218	-0.000028
  57	5.5720e+00	0.5569	-21.665289	0.000690	6.898710	1.168673	0.000069
  58	5.6715e+00	0.5663	-21.641066	0.000243	2.434839	0.412473	0.000024
  59	5.7710e+00	0.5776	-21.624918	0.000162	1.623226	0.274982	0.000016
  60	5.8705e+00	0.5868	-21.616843	0.000081	0.811613	0.137491	0.000008
  61	5.9700e+00	0.5962	-21.576472	0.000406	4.058064	0.687455	0.000041
  62	6.0695e+00	0.6066	-21.604732	-0.000284	-2.840645	-0.481218	-0.000028
  63	6.1690e+00	0.6169	-21.556286	0.000487	4.869677	0.824946	0.000049
  64	6.2685e+00	0.6268	-21.528026	0.000284	2.840645	0.481218	0.000028
  65	6.3680e+00	0.6359	-21.487655	0.000406	4.058064	0.687455	0.000041
  66	6.4675e+00	0.6462	-21.487655	0.000000	0.000000	0.000000	0.000000
  67	6.5670e+00	0.6567	-21.447284	0.000406	4.058064	0.687455	0.000041
  68	6.6665e+00	0.6665	-21.455358	-0.000081	-0.811613	-0.137491	-0.000008
  69	6.7660e+00	0.6754	-21.406912	0.000487	4.869677	0.824946	0.000049
  70	6.8655e+00	0.6861	-21.374615	0.000325	3.246452	0.549964	0.000032
  71	6.9650e+00	0.6967	-21.370578	0.000041	0.405806	0.068745	0.000004
  72	7.0645e+00	0.7066	-21.326170	0.000446	4.463871	0.756200	0.000045
  73	7.1640e+00	0.7163	-21.297910	0.000284	2.840645	0.481218	0.000028
  74	7.2635e+00	0.7262	-21.346355	-0.000487	-4.869677	-0.824946	-0.000049
  75	7.3630e+00	0.7354	-21.277724	0.000690	6.898710	1.168673	0.000069
  76	7.4625e+00	0.7465	-21.225241	0.000528	5.275484	0.893691	0.000053
  77	7.5620e+00	0.7555	-21.245427	-0.000203	-2.029032	-0.343727	-0.000020
  78	7.6615e+00	0.7652	-21.253501	-0.000081	-0.811613	-0.137491	-0.000008
  79	7.7610e+00	0.7761	-21.192944	0.000609	6.087097	1.031182	0.000061
  80	7.8605e+00	0.7859	-21.152573	0.000406	4.058064	0.687455	0.000041
  81	7.9600e+00	0.7962	-21.100090	0.000528	5.275484	0.893691	0.000053
  82	8.0595e+00	0.8054	-21.140461	-0.000406	-4.058064	-0.687455	-0.000041
  83	8.1590e+00	0.8159	-21.067793	0.000730	7.304516	1.237419	0.000073
  84	8.2585e+00	0.8250	-21.063756	0.000041	0.405806	0.068745	0.000004
  85	8.3580e+00	0.8356	-21.039533	0.000243	2.434839	0.412473	0.000024
  86	8.4575e+00	0.8461	-21.023384	0.000162	1.623226	0.274982	0.000016
  87	8.5570e+00	0.8555	-21.011273	0.000122	1.217419	0.206236	0.000012
  88	8.6565e+00	0.8646	-20.983013	0.000284	2.840645	0.481218	0.000028
  89	8.7560e+00	0.8751	-20.942642	0.000406	4.058064	0.687455	0.000041
  90	8.8555e+00	0.8857	-20.946679	-0.000041	-0.405806	-0.068745	-0.000004
  91	8.9550e+00	0.8955	-20.910345	0.000365	3.652258	0.618709	0.000037
  92	9.0545e+00	0.9045	-20.861899	0.000487	4.869677	0.824946	0.000049
  93	9.1540e+00	0.9152	-20.853825	0.000081	0.811613	0.137491	0.000008
