»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 14:10:25
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 02:09:39 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0003	-23.001581	0.000081	0.811548	0.137480	0.000008
   2	9.9500e-02	0.0093	-22.993507	0.000081	0.811548	0.137480	0.000008
   3	1.9900e-01	0.0190	-23.009655	-0.000162	-1.623096	-0.274960	-0.000016
   4	2.9850e-01	0.0287	-22.953135	0.000568	5.680835	0.962360	0.000057
   5	3.9800e-01	0.0391	-22.932950	0.000203	2.028870	0.343700	0.000020
   6	4.9750e-01	0.0484	-22.908727	0.000243	2.434644	0.412440	0.000024
   7	5.9700e-01	0.0589	-22.888541	0.000203	2.028870	0.343700	0.000020
   8	6.9650e-01	0.0687	-22.880467	0.000081	0.811548	0.137480	0.000008
   9	7.9600e-01	0.0784	-22.856244	0.000243	2.434644	0.412440	0.000024
  10	8.9550e-01	0.0880	-22.872393	-0.000162	-1.623096	-0.274960	-0.000016
  11	9.9500e-01	0.0990	-22.827984	0.000446	4.463513	0.756140	0.000045
  12	1.0945e+00	0.1080	-22.807798	0.000203	2.028870	0.343700	0.000020
  13	1.1940e+00	0.1192	-22.803761	0.000041	0.405774	0.068740	0.000004
  14	1.2935e+00	0.1278	-22.775501	0.000284	2.840418	0.481180	0.000028
  15	1.3930e+00	0.1384	-22.739167	0.000365	3.651965	0.618660	0.000037
  16	1.4925e+00	0.1492	-22.727056	0.000122	1.217322	0.206220	0.000012
  17	1.5920e+00	0.1584	-22.706870	0.000203	2.028870	0.343700	0.000020
  18	1.6915e+00	0.1696	-22.698796	0.000081	0.811548	0.137480	0.000008
  19	1.7910e+00	0.1785	-22.646313	0.000528	5.275061	0.893620	0.000053
  20	1.8905e+00	0.1878	-22.662461	-0.000162	-1.623096	-0.274960	-0.000016
  21	1.9900e+00	0.1987	-22.614016	0.000487	4.869287	0.824880	0.000049
  22	2.0895e+00	0.2077	-22.577682	0.000365	3.651965	0.618660	0.000037
  23	2.1890e+00	0.2189	-22.597867	-0.000203	-2.028870	-0.343700	-0.000020
  24	2.2885e+00	0.2274	-22.541347	0.000568	5.680835	0.962360	0.000057
  25	2.3880e+00	0.2378	-22.569607	-0.000284	-2.840418	-0.481180	-0.000028
  26	2.4875e+00	0.2482	-22.517125	0.000528	5.275061	0.893620	0.000053
  27	2.5870e+00	0.2579	-22.464642	0.000528	5.275061	0.893620	0.000053
  28	2.6865e+00	0.2681	-22.452530	0.000122	1.217322	0.206220	0.000012
  29	2.7860e+00	0.2782	-22.420233	0.000325	3.246191	0.549920	0.000032
  30	2.8855e+00	0.2876	-22.452530	-0.000325	-3.246191	-0.549920	-0.000032
  31	2.9850e+00	0.2973	-22.424270	0.000284	2.840418	0.481180	0.000028
  32	3.0845e+00	0.3076	-22.367751	0.000568	5.680835	0.962360	0.000057
  33	3.1840e+00	0.3174	-22.335453	0.000325	3.246191	0.549920	0.000032
  34	3.2835e+00	0.3270	-22.327379	0.000081	0.811548	0.137480	0.000008
  35	3.3830e+00	0.3384	-22.278934	0.000487	4.869287	0.824880	0.000049
  36	3.4825e+00	0.3481	-22.274896	0.000041	0.405774	0.068740	0.000004
  37	3.5820e+00	0.3577	-22.282971	-0.000081	-0.811548	-0.137480	-0.000008
  38	3.6815e+00	0.3679	-22.230488	0.000528	5.275061	0.893620	0.000053
  39	3.7810e+00	0.3770	-22.222414	0.000081	0.811548	0.137480	0.000008
  40	3.8805e+00	0.3866	-22.202228	0.000203	2.028870	0.343700	0.000020
  41	3.9800e+00	0.3981	-22.161857	0.000406	4.057739	0.687400	0.000041
  42	4.0795e+00	0.4073	-22.141671	0.000203	2.028870	0.343700	0.000020
  43	4.1790e+00	0.4179	-22.129560	0.000122	1.217322	0.206220	0.000012
  44	4.2785e+00	0.4270	-22.129560	0.000000	0.000000	0.000000	0.000000
  45	4.3780e+00	0.4373	-22.069003	0.000609	6.086609	1.031099	0.000061
  46	4.4775e+00	0.4472	-22.048817	0.000203	2.028870	0.343700	0.000020
  47	4.5770e+00	0.4565	-22.048817	0.000000	0.000000	0.000000	0.000000
  48	4.6765e+00	0.4678	-22.000371	0.000487	4.869287	0.824880	0.000049
  49	4.7760e+00	0.4769	-21.972111	0.000284	2.840418	0.481180	0.000028
  50	4.8755e+00	0.4874	-22.012483	-0.000406	-4.057739	-0.687400	-0.000041
  51	4.9750e+00	0.4968	-21.947888	0.000649	6.492383	1.099839	0.000065
  52	5.0745e+00	0.5070	-21.927703	0.000203	2.028870	0.343700	0.000020
  53	5.1740e+00	0.5167	-21.895406	0.000325	3.246191	0.549920	0.000032
  54	5.2735e+00	0.5267	-21.871183	0.000243	2.434644	0.412440	0.000024
  55	5.3730e+00	0.5370	-21.846960	0.000243	2.434644	0.412440	0.000024
  56	5.4725e+00	0.5464	-21.855034	-0.000081	-0.811548	-0.137480	-0.000008
  57	5.5720e+00	0.5562	-21.806589	0.000487	4.869287	0.824880	0.000049
  58	5.6715e+00	0.5680	-21.778329	0.000284	2.840418	0.481180	0.000028
