»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 17:15:47
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 05:15:22 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0033	-9.800530	0.000261	2.608464	0.441886	0.005217
   2	5.0000e-04	0.0058	-9.774445	0.000261	2.608464	0.441886	0.005217
   3	1.0000e-03	0.0156	-9.759050	0.000154	1.539422	0.260785	0.003079
   4	1.5000e-03	0.0265	-9.726978	0.000321	3.207128	0.543302	0.006414
   5	2.0000e-03	0.0405	-9.709873	0.000171	1.710468	0.289761	0.003421
   6	2.5000e-03	0.0424	-9.687209	0.000227	2.266371	0.383934	0.004533
   7	3.0000e-03	0.0551	-9.658131	0.000291	2.907796	0.492594	0.005816
   8	3.5000e-03	0.0637	-9.639315	0.000188	1.881515	0.318737	0.003763
   9	4.0000e-03	0.0758	-9.609809	0.000295	2.950558	0.499838	0.005901
  10	4.5000e-03	0.0850	-9.592704	0.000171	1.710468	0.289761	0.003421
  11	5.0000e-03	0.0961	-9.564053	0.000287	2.865035	0.485350	0.005730
  12	5.5000e-03	0.1057	-9.544810	0.000192	1.924277	0.325981	0.003849
  13	6.0000e-03	0.1160	-9.521718	0.000231	2.309132	0.391178	0.004618
  14	6.5000e-03	0.1273	-9.495633	0.000261	2.608464	0.441886	0.005217
  15	7.0000e-03	0.1353	-9.475962	0.000197	1.967039	0.333225	0.003934
  16	7.5000e-03	0.1456	-9.448594	0.000274	2.736750	0.463618	0.005474
  17	8.0000e-03	0.1576	-9.431917	0.000167	1.667707	0.282517	0.003335
  18	8.5000e-03	0.1664	-9.404549	0.000274	2.736750	0.463618	0.005474
  19	9.0000e-03	0.1758	-9.380174	0.000244	2.437418	0.412910	0.004875
  20	9.5000e-03	0.1842	-9.363924	0.000162	1.624945	0.275273	0.003250
  21	1.0000e-02	0.1962	-9.333563	0.000304	3.036082	0.514326	0.006072
  22	1.0500e-02	0.2029	-9.307906	0.000257	2.565703	0.434642	0.005132
  23	1.1000e-02	0.2166	-9.292511	0.000154	1.539422	0.260785	0.003079
  24	1.1500e-02	0.2261	-9.262577	0.000299	2.993320	0.507082	0.005987
  25	1.2000e-02	0.2345	-9.243762	0.000188	1.881515	0.318737	0.003763
  26	1.2500e-02	0.2454	-9.212973	0.000308	3.078843	0.521570	0.006158
  27	1.3000e-02	0.2560	-9.200572	0.000124	1.240090	0.210077	0.002480
  28	1.3500e-02	0.2653	-9.171065	0.000295	2.950558	0.499838	0.005901
  29	1.4000e-02	0.2760	-9.149257	0.000218	2.180847	0.369446	0.004362
  30	1.4500e-02	0.2843	-9.123171	0.000261	2.608464	0.441886	0.005217
  31	1.5000e-02	0.2953	-9.102645	0.000205	2.052562	0.347713	0.004105
  32	1.5500e-02	0.3096	-9.086396	0.000162	1.624945	0.275273	0.003250
  33	1.6000e-02	0.3157	-9.062021	0.000244	2.437418	0.412910	0.004875
  34	1.6500e-02	0.3238	-9.030804	0.000312	3.121605	0.528814	0.006243
  35	1.7000e-02	0.3345	-9.011989	0.000188	1.881515	0.318737	0.003763
  36	1.7500e-02	0.3454	-8.982483	0.000295	2.950558	0.499838	0.005901
  37	1.8000e-02	0.3558	-8.959391	0.000231	2.309132	0.391178	0.004618
  38	1.8500e-02	0.3690	-8.936727	0.000227	2.266371	0.383934	0.004533
  39	1.9000e-02	0.3769	-8.921332	0.000154	1.539422	0.260785	0.003079
  40	1.9500e-02	0.3854	-8.901234	0.000201	2.009800	0.340469	0.004020
  41	2.0000e-02	0.3964	-8.867879	0.000334	3.335414	0.565034	0.006671
  42	2.0500e-02	0.4028	-8.840511	0.000274	2.736750	0.463618	0.005474
  43	2.1000e-02	0.4158	-8.826399	0.000141	1.411136	0.239053	0.002822
  44	2.1500e-02	0.4261	-8.803735	0.000227	2.266371	0.383934	0.004533
  45	2.2000e-02	0.4375	-8.777223	0.000265	2.651226	0.449130	0.005303
  46	2.2500e-02	0.4476	-8.751137	0.000261	2.608464	0.441886	0.005217
  47	2.3000e-02	0.4547	-8.733605	0.000175	1.753230	0.297005	0.003507
  48	2.3500e-02	0.4656	-8.706664	0.000269	2.693988	0.456374	0.005388
  49	2.4000e-02	0.4770	-8.684428	0.000222	2.223609	0.376690	0.004447
  50	2.4500e-02	0.4868	-8.664330	0.000201	2.009800	0.340469	0.004020
  51	2.5000e-02	0.4973	-8.639527	0.000248	2.480179	0.420154	0.004960
  52	2.5500e-02	0.5076	-8.617291	0.000222	2.223609	0.376690	0.004447
  53	2.6000e-02	0.5164	-8.595482	0.000218	2.180847	0.369446	0.004362
  54	2.6500e-02	0.5241	-8.568969	0.000265	2.651226	0.449130	0.005303
  55	2.7000e-02	0.5355	-8.548443	0.000205	2.052562	0.347713	0.004105
  56	2.7500e-02	0.5434	-8.522358	0.000261	2.608464	0.441886	0.005217
  57	2.8000e-02	0.5553	-8.500549	0.000218	2.180847	0.369446	0.004362
  58	2.8500e-02	0.5679	-8.478313	0.000222	2.223609	0.376690	0.004447
  59	2.9000e-02	0.5774	-8.449662	0.000287	2.865035	0.485350	0.005730
  60	2.9500e-02	0.5856	-8.421011	0.000287	2.865035	0.485350	0.005730
  61	3.0000e-02	0.5952	-8.409037	0.000120	1.197328	0.202833	0.002395
  62	3.0500e-02	0.6072	-8.383807	0.000252	2.522941	0.427398	0.005046
  63	3.1000e-02	0.6157	-8.356439	0.000274	2.736750	0.463618	0.005474
  64	3.1500e-02	0.6258	-8.338479	0.000180	1.795992	0.304249	0.003592
  65	3.2000e-02	0.6380	-8.317098	0.000214	2.138086	0.362202	0.004276
  66	3.2500e-02	0.6449	-8.288875	0.000282	2.822273	0.478106	0.005645
  67	3.3000e-02	0.6557	-8.272197	0.000167	1.667707	0.282517	0.003335
