»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 17:54:33
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 05:54:05 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0035	-11.367135	0.000359	3.592230	0.608540	0.007184
   2	5.0000e-04	0.0046	-11.331215	0.000359	3.592230	0.608540	0.007184
   3	1.0000e-03	0.0151	-11.285886	0.000453	4.533053	0.767920	0.009066
   4	1.5000e-03	0.0239	-11.272630	0.000133	1.325704	0.224580	0.002651
   5	2.0000e-03	0.0360	-11.264077	0.000086	0.855293	0.144891	0.001711
   6	2.5000e-03	0.0445	-11.220460	0.000436	4.361994	0.738942	0.008724
   7	3.0000e-03	0.0540	-11.189243	0.000312	3.121819	0.528851	0.006243
   8	3.5000e-03	0.0646	-11.180263	0.000090	0.898058	0.152135	0.001796
   9	4.0000e-03	0.0737	-11.140921	0.000393	3.934348	0.666497	0.007868
  10	4.5000e-03	0.0868	-11.114409	0.000265	2.651408	0.449161	0.005303
  11	5.0000e-03	0.0981	-11.088323	0.000261	2.608644	0.441916	0.005217
  12	5.5000e-03	0.1043	-11.068225	0.000201	2.009938	0.340493	0.004020
  13	6.0000e-03	0.1160	-11.042995	0.000252	2.523114	0.427427	0.005046
  14	6.5000e-03	0.1237	-11.003226	0.000398	3.977112	0.673741	0.007954
  15	7.0000e-03	0.1363	-10.972865	0.000304	3.036290	0.514361	0.006072
  16	7.5000e-03	0.1452	-10.944641	0.000282	2.822467	0.478139	0.005645
  17	8.0000e-03	0.1560	-10.915563	0.000291	2.907996	0.492628	0.005816
  18	8.5000e-03	0.1643	-10.908721	0.000068	0.684234	0.115912	0.001368
  19	9.0000e-03	0.1742	-10.870662	0.000381	3.806054	0.644763	0.007612
  20	9.5000e-03	0.1891	-10.837307	0.000334	3.335643	0.565073	0.006671
  21	1.0000e-02	0.1947	-10.815498	0.000218	2.180997	0.369471	0.004362
  22	1.0500e-02	0.2061	-10.788986	0.000265	2.651408	0.449161	0.005303
  23	1.1000e-02	0.2178	-10.778295	0.000107	1.069116	0.181113	0.002138
  24	1.1500e-02	0.2267	-10.741092	0.000372	3.720524	0.630274	0.007441
  25	1.2000e-02	0.2367	-10.712441	0.000287	2.865231	0.485383	0.005730
  26	1.2500e-02	0.2469	-10.673527	0.000389	3.891583	0.659252	0.007783
  27	1.3000e-02	0.2564	-10.647014	0.000265	2.651408	0.449161	0.005303
  28	1.3500e-02	0.2702	-10.626060	0.000210	2.095468	0.354982	0.004191
  29	1.4000e-02	0.2779	-10.606817	0.000192	1.924409	0.326004	0.003849
  30	1.4500e-02	0.2857	-10.578594	0.000282	2.822467	0.478139	0.005645
  31	1.5000e-02	0.2976	-10.543529	0.000351	3.506701	0.594051	0.007013
  32	1.5500e-02	0.3041	-10.511029	0.000325	3.250113	0.550584	0.006500
  33	1.6000e-02	0.3139	-10.497345	0.000137	1.368469	0.231825	0.002737
  34	1.6500e-02	0.3268	-10.466984	0.000304	3.036290	0.514361	0.006072
  35	1.7000e-02	0.3378	-10.434484	0.000325	3.250113	0.550584	0.006500
  36	1.7500e-02	0.3456	-10.406261	0.000282	2.822467	0.478139	0.005645
  37	1.8000e-02	0.3540	-10.387873	0.000184	1.838880	0.311515	0.003678
  38	1.8500e-02	0.3663	-10.338696	0.000492	4.917935	0.833121	0.009835
  39	1.9000e-02	0.3741	-10.316460	0.000222	2.223762	0.376715	0.004447
  40	1.9500e-02	0.3841	-10.299355	0.000171	1.710586	0.289781	0.003421
  41	2.0000e-02	0.3957	-10.272842	0.000265	2.651408	0.449161	0.005303
  42	2.0500e-02	0.4077	-10.265145	0.000077	0.769764	0.130401	0.001539
  43	2.1000e-02	0.4163	-10.219816	0.000453	4.533053	0.767920	0.009066
  44	2.1500e-02	0.4259	-10.182613	0.000372	3.720524	0.630274	0.007441
  45	2.2000e-02	0.4385	-10.168501	0.000141	1.411233	0.239069	0.002822
  46	2.2500e-02	0.4453	-10.157811	0.000107	1.069116	0.181113	0.002138
  47	2.3000e-02	0.4561	-10.108206	0.000496	4.960699	0.840365	0.009921
  48	2.3500e-02	0.4683	-10.069292	0.000389	3.891583	0.659252	0.007783
  49	2.4000e-02	0.4771	-10.059029	0.000103	1.026352	0.173869	0.002053
  50	2.4500e-02	0.4848	-10.035938	0.000231	2.309291	0.391204	0.004618
  51	2.5000e-02	0.4959	-10.006431	0.000295	2.950761	0.499872	0.005901
  52	2.5500e-02	0.5054	-9.987616	0.000188	1.881645	0.318759	0.003763
  53	2.6000e-02	0.5171	-9.965379	0.000222	2.223762	0.376715	0.004447
  54	2.6500e-02	0.5245	-9.928604	0.000368	3.677760	0.623029	0.007355
  55	2.7000e-02	0.5360	-9.890973	0.000376	3.763289	0.637518	0.007526
  56	2.7500e-02	0.5473	-9.871729	0.000192	1.924409	0.326004	0.003849
  57	2.8000e-02	0.5580	-9.844789	0.000269	2.694173	0.456405	0.005388
  58	2.8500e-02	0.5671	-9.814428	0.000304	3.036290	0.514361	0.006072
  59	2.9000e-02	0.5728	-9.774659	0.000398	3.977112	0.673741	0.007954
  60	2.9500e-02	0.5823	-9.763968	0.000107	1.069116	0.181113	0.002138
  61	3.0000e-02	0.5936	-9.727620	0.000363	3.634995	0.615785	0.007270
  62	3.0500e-02	0.6071	-9.706238	0.000214	2.138232	0.362226	0.004276
  63	3.1000e-02	0.6131	-9.687423	0.000188	1.881645	0.318759	0.003763
  64	3.1500e-02	0.6252	-9.648509	0.000389	3.891583	0.659252	0.007783
  65	3.2000e-02	0.6376	-9.643378	0.000051	0.513176	0.086934	0.001026
  66	3.2500e-02	0.6478	-9.596766	0.000466	4.661347	0.789653	0.009322
  67	3.3000e-02	0.6557	-9.574102	0.000227	2.266526	0.383960	0.004533
  68	3.3500e-02	0.6661	-9.540748	0.000334	3.335643	0.565073	0.006671
  69	3.4000e-02	0.6754	-9.517656	0.000231	2.309291	0.391204	0.004618
  70	3.4500e-02	0.6845	-9.497557	0.000201	2.009938	0.340493	0.004020
  71	3.5000e-02	0.6951	-9.474038	0.000235	2.352056	0.398449	0.004704
  72	3.5500e-02	0.7064	-9.462492	0.000115	1.154646	0.195602	0.002309
  73	3.6000e-02	0.7169	-9.420157	0.000423	4.233700	0.717208	0.008467
  74	3.6500e-02	0.7255	-9.376967	0.000432	4.319229	0.731697	0.008638
  75	3.7000e-02	0.7371	-9.362428	0.000145	1.453998	0.246314	0.002908
  76	3.7500e-02	0.7460	-9.328645	0.000338	3.378407	0.572318	0.006756
  77	3.8000e-02	0.7578	-9.291870	0.000368	3.677760	0.623029	0.007355
  78	3.8500e-02	0.7644	-9.288449	0.000034	0.342117	0.057956	0.000684
  79	3.9000e-02	0.7788	-9.256377	0.000321	3.207349	0.543340	0.006414
  80	3.9500e-02	0.7868	-9.226443	0.000299	2.993525	0.507117	0.005987
