»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 17:36:51
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 05:35:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1505	-11.934732	0.000352	3.522082	0.596657	0.695404
   2	1.0000e-04	0.3620	-11.239328	0.000352	3.522082	0.596657	0.695404
   3	2.0000e-04	0.5417	-10.380085	0.000435	4.351892	0.737231	0.859242
   4	3.0000e-04	0.7678	-10.034204	0.000175	1.751821	0.296767	0.345881
   5	4.0000e-04	0.9525	-9.590019	0.000225	2.249707	0.381111	0.444185
   6	5.0000e-04	1.1494	-8.941947	0.000328	3.282359	0.556047	0.648073
   7	6.0000e-04	1.3602	-8.417663	0.000266	2.655392	0.449836	0.524284
   8	7.0000e-04	1.5497	-7.911584	0.000256	2.563191	0.434216	0.506079
   9	8.0000e-04	1.7546	-7.405505	0.000256	2.563191	0.434216	0.506079
  10	9.0000e-04	1.9537	-6.852094	0.000280	2.802914	0.474826	0.553410
  11	1.0000e-03	2.1518	-6.291402	0.000284	2.839794	0.481074	0.560692
  12	1.1000e-03	2.3560	-5.818091	0.000240	2.397229	0.406102	0.473312
  13	1.2000e-03	2.5586	-5.301089	0.000262	2.618511	0.443588	0.517002
  14	1.3000e-03	2.7487	-4.769524	0.000269	2.692272	0.456083	0.531565
  15	1.4000e-03	2.9575	-4.288930	0.000243	2.434109	0.412349	0.480593
  16	1.5000e-03	3.1543	-3.739161	0.000278	2.784473	0.471703	0.549770
  17	1.6000e-03	3.3487	-3.269490	0.000238	2.378789	0.402978	0.469671
  18	1.7000e-03	3.5538	-2.759770	0.000258	2.581631	0.437340	0.509720
  19	1.8000e-03	3.7558	-2.242768	0.000262	2.618511	0.443588	0.517002
  20	1.9000e-03	3.9505	-1.762175	0.000243	2.434109	0.412349	0.480593
  21	2.0000e-03	4.1562	-1.288864	0.000240	2.397229	0.406102	0.473312
  22	2.1000e-03	4.3497	-0.815552	0.000240	2.397229	0.406102	0.473312
  23	2.2000e-03	4.5547	-0.294909	0.000264	2.636952	0.446712	0.520643
  24	2.3000e-03	4.7522	0.200247	0.000251	2.507870	0.424845	0.495157
  25	2.4000e-03	4.9527	0.666277	0.000236	2.360348	0.399854	0.466030
  26	2.5000e-03	5.1590	1.150511	0.000245	2.452549	0.415473	0.484234
  27	2.6000e-03	5.3506	1.631104	0.000243	2.434109	0.412349	0.480593
  28	2.7000e-03	5.5551	2.024317	0.000199	1.991544	0.337377	0.393213
  29	2.8000e-03	5.7523	2.530396	0.000256	2.563191	0.434216	0.506079
  30	2.9000e-03	5.9500	2.996426	0.000236	2.360348	0.399854	0.466030
  31	3.0000e-03	6.1514	3.451533	0.000231	2.305028	0.390482	0.455107
  32	3.1000e-03	6.3577	3.881154	0.000218	2.175946	0.368615	0.429621
  33	3.2000e-03	6.5457	4.365388	0.000245	2.452549	0.415473	0.484234
  34	3.3000e-03	6.7551	4.758601	0.000199	1.991544	0.337377	0.393213
  35	3.4000e-03	6.9498	5.250117	0.000249	2.489430	0.421721	0.491516
  36	3.5000e-03	7.1500	5.705224	0.000231	2.305028	0.390482	0.455107
  37	3.6000e-03	7.3550	6.080232	0.000190	1.899343	0.321757	0.375008
  38	3.7000e-03	7.5565	6.575389	0.000251	2.507870	0.424845	0.495157
  39	3.8000e-03	7.7481	6.979524	0.000205	2.046865	0.346748	0.404135
  40	3.9000e-03	7.9523	7.409145	0.000218	2.175946	0.368615	0.429621
  41	4.0000e-03	8.1546	7.886098	0.000242	2.415669	0.409225	0.476952
  42	4.1000e-03	8.3496	8.312078	0.000216	2.157506	0.365491	0.425980
  43	4.2000e-03	8.5532	8.650678	0.000171	1.714941	0.290519	0.338600
  44	4.3000e-03	8.7479	9.105785	0.000231	2.305028	0.390482	0.455107
  45	4.4000e-03	8.9572	9.575456	0.000238	2.378789	0.402978	0.469671
  46	4.5000e-03	9.1458	9.997795	0.000214	2.139066	0.362368	0.422339
  47	4.6000e-03	9.3509	10.332754	0.000170	1.696500	0.287395	0.334959
  48	4.7000e-03	9.5486	10.747812	0.000210	2.102185	0.356120	0.415058
  49	4.8000e-03	9.7525	11.173792	0.000216	2.157506	0.365491	0.425980
  50	4.9000e-03	9.9448	11.537878	0.000184	1.844022	0.312386	0.364086
  51	5.0000e-03	9.8447	11.934732	-0.000201	-2.009984	-0.340501	0.396853
  52	5.1000e-03	9.6338	11.177433	0.000384	3.835566	0.649762	-0.757298
  53	5.2000e-03	9.4370	10.587614	0.000299	2.987316	0.506065	-0.589819
  54	5.3000e-03	9.2368	10.598537	-0.000006	-0.055321	-0.009372	0.010923
  55	5.4000e-03	9.0414	10.048767	0.000278	2.784473	0.471703	-0.549770
  56	5.5000e-03	8.8361	9.600942	0.000227	2.268147	0.384235	-0.447825
  57	5.6000e-03	8.6429	9.360645	0.000122	1.217055	0.206175	-0.240297
  58	5.7000e-03	8.4409	8.967433	0.000199	1.991544	0.337377	-0.393213
  59	5.8000e-03	8.2431	8.443149	0.000266	2.655392	0.449836	-0.524284
  60	5.9000e-03	8.0368	8.093627	0.000177	1.770261	0.299890	-0.349522
  61	6.0000e-03	7.8458	7.747745	0.000175	1.751821	0.296767	-0.345881
  62	6.1000e-03	7.6443	7.329047	0.000212	2.120626	0.359244	-0.418699
  63	6.2000e-03	7.4344	6.895784	0.000219	2.194386	0.371739	-0.433262
  64	6.3000e-03	7.2461	6.433396	0.000234	2.341908	0.396730	-0.462389
  65	6.4000e-03	7.0407	6.054746	0.000192	1.917783	0.324881	-0.378649
  66	6.5000e-03	6.8399	5.676097	0.000192	1.917783	0.324881	-0.378649
