»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 17:37:29
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 05:37:01 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0048	-12.381035	0.000329	3.292413	0.557750	0.006585
   2	5.0000e-04	0.0014	-12.348107	0.000329	3.292413	0.557750	0.006585
   3	1.0000e-03	0.0136	-12.334851	0.000133	1.325517	0.224549	0.002651
   4	1.5000e-03	0.0262	-12.291233	0.000436	4.361379	0.738838	0.008724
   5	2.0000e-03	0.0341	-12.271563	0.000197	1.966896	0.333201	0.003934
   6	2.5000e-03	0.0453	-12.248471	0.000231	2.308965	0.391149	0.004618
   7	3.0000e-03	0.0545	-12.210840	0.000376	3.762758	0.637428	0.007526
   8	3.5000e-03	0.0643	-12.179195	0.000316	3.164137	0.536019	0.006329
   9	4.0000e-03	0.0760	-12.150545	0.000286	2.864827	0.485315	0.005730
  10	4.5000e-03	0.0874	-12.112058	0.000385	3.848275	0.651915	0.007697
  11	5.0000e-03	0.0974	-12.106499	0.000056	0.555862	0.094166	0.001112
  12	5.5000e-03	0.1052	-12.056467	0.000500	5.002758	0.847490	0.010006
  13	6.0000e-03	0.1137	-12.057322	-0.000009	-0.085517	-0.014487	-0.000171
  14	6.5000e-03	0.1234	-12.029527	0.000278	2.779310	0.470828	0.005559
  15	7.0000e-03	0.1355	-11.991896	0.000376	3.762758	0.637428	0.007526
  16	7.5000e-03	0.1461	-11.966238	0.000257	2.565517	0.434610	0.005132
  17	8.0000e-03	0.1577	-11.929890	0.000363	3.634482	0.615698	0.007270
  18	8.5000e-03	0.1675	-11.905943	0.000239	2.394482	0.405636	0.004789
  19	9.0000e-03	0.1785	-11.883706	0.000222	2.223448	0.376662	0.004447
  20	9.5000e-03	0.1836	-11.843937	0.000398	3.976551	0.673646	0.007954
  21	1.0000e-02	0.1939	-11.820845	0.000231	2.308965	0.391149	0.004618
  22	1.0500e-02	0.2044	-11.784925	0.000359	3.591723	0.608454	0.007184
  23	1.1000e-02	0.2172	-11.777655	0.000073	0.726896	0.123140	0.001454
  24	1.1500e-02	0.2266	-11.734893	0.000428	4.275861	0.724351	0.008553
