»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 19:4:38
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 07:04:10 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0015	-13.211697	0.000355	3.550441	0.601461	0.007099
   2	5.0000e-04	0.0048	-13.176204	0.000355	3.550441	0.601461	0.007099
   3	1.0000e-03	0.0153	-13.131303	0.000449	4.491522	0.760884	0.008980
   4	1.5000e-03	0.0251	-13.110777	0.000205	2.053267	0.347833	0.004105
   5	2.0000e-03	0.0378	-13.082554	0.000282	2.823242	0.478270	0.005645
   6	2.5000e-03	0.0457	-13.053903	0.000287	2.866019	0.485517	0.005730
   7	3.0000e-03	0.0579	-13.029101	0.000248	2.481031	0.420298	0.004960
   8	3.5000e-03	0.0643	-13.015417	0.000137	1.368845	0.231889	0.002737
   9	4.0000e-03	0.0773	-12.973937	0.000415	4.149311	0.702912	0.008296
  10	4.5000e-03	0.0858	-12.946141	0.000278	2.780466	0.471024	0.005559
  11	5.0000e-03	0.0950	-12.902951	0.000432	4.320416	0.731898	0.008638
  12	5.5000e-03	0.1044	-12.885419	0.000175	1.753832	0.297107	0.003507
  13	6.0000e-03	0.1174	-12.855057	0.000304	3.037124	0.514503	0.006072
  14	6.5000e-03	0.1260	-12.832821	0.000222	2.224373	0.376819	0.004447
  15	7.0000e-03	0.1355	-12.812295	0.000205	2.053267	0.347833	0.004105
  16	7.5000e-03	0.1456	-12.762263	0.000500	5.004839	0.847843	0.010006
  17	8.0000e-03	0.1548	-12.749006	0.000133	1.326068	0.224642	0.002651
  18	8.5000e-03	0.1642	-12.738315	0.000107	1.069410	0.181163	0.002138
  19	9.0000e-03	0.1751	-12.672461	0.000659	6.587565	1.115964	0.013171
  20	9.5000e-03	0.1871	-12.655356	0.000171	1.711056	0.289861	0.003421
  21	1.0000e-02	0.1950	-12.626278	0.000291	2.908795	0.492763	0.005816
  22	1.0500e-02	0.2020	-12.590357	0.000359	3.593217	0.608708	0.007184
  23	1.1000e-02	0.2166	-12.579239	0.000111	1.112186	0.188409	0.002224
  24	1.1500e-02	0.2241	-12.568121	0.000111	1.112186	0.188409	0.002224
  25	1.2000e-02	0.2350	-12.518516	0.000496	4.962062	0.840596	0.009921
  26	1.2500e-02	0.2448	-12.486444	0.000321	3.208230	0.543489	0.006414
  27	1.3000e-02	0.2579	-12.477036	0.000094	0.941081	0.159423	0.001882
  28	1.3500e-02	0.2677	-12.446247	0.000308	3.079901	0.521749	0.006158
  29	1.4000e-02	0.2779	-12.406906	0.000394	3.935429	0.666680	0.007868
  30	1.4500e-02	0.2833	-12.375262	0.000317	3.165453	0.536242	0.006329
  31	1.5000e-02	0.2966	-12.344900	0.000304	3.037124	0.514503	0.006072
  32	1.5500e-02	0.3052	-12.323091	0.000218	2.181596	0.369572	0.004362
  33	1.6000e-02	0.3146	-12.294868	0.000282	2.823242	0.478270	0.005645
  34	1.6500e-02	0.3255	-12.284177	0.000107	1.069410	0.181163	0.002138
  35	1.7000e-02	0.3345	-12.246974	0.000372	3.721547	0.630447	0.007441
  36	1.7500e-02	0.3442	-12.208060	0.000389	3.892652	0.659433	0.007783
  37	1.8000e-02	0.3563	-12.177699	0.000304	3.037124	0.514503	0.006072
  38	1.8500e-02	0.3662	-12.158028	0.000197	1.967714	0.333340	0.003934
  39	1.9000e-02	0.3752	-12.131943	0.000261	2.609360	0.442038	0.005217
  40	1.9500e-02	0.3860	-12.098160	0.000338	3.379335	0.572475	0.006756
  41	2.0000e-02	0.3959	-12.077207	0.000210	2.096043	0.355079	0.004191
  42	2.0500e-02	0.4020	-12.047701	0.000295	2.951571	0.500010	0.005901
  43	2.1000e-02	0.4160	-12.018195	0.000295	2.951571	0.500010	0.005901
  44	2.1500e-02	0.4240	-11.979708	0.000385	3.849876	0.652187	0.007697
  45	2.2000e-02	0.4346	-11.954478	0.000252	2.523807	0.427545	0.005046
  46	2.2500e-02	0.4474	-11.930104	0.000244	2.438255	0.413052	0.004875
  47	2.3000e-02	0.4575	-11.907867	0.000222	2.224373	0.376819	0.004447
  48	2.3500e-02	0.4698	-11.887341	0.000205	2.053267	0.347833	0.004105
  49	2.4000e-02	0.4752	-11.853986	0.000334	3.336559	0.565228	0.006671
  50	2.4500e-02	0.4869	-11.830467	0.000235	2.352702	0.398558	0.004704
  51	2.5000e-02	0.4982	-11.785139	0.000453	4.534298	0.768131	0.009066
  52	2.5500e-02	0.5055	-11.768461	0.000167	1.668280	0.282614	0.003335
  53	2.6000e-02	0.5161	-11.723561	0.000449	4.491522	0.760884	0.008980
  54	2.6500e-02	0.5269	-11.701324	0.000222	2.224373	0.376819	0.004447
  55	2.7000e-02	0.5346	-11.672246	0.000291	2.908795	0.492763	0.005816
  56	2.7500e-02	0.5469	-11.649154	0.000231	2.309925	0.391312	0.004618
  57	2.8000e-02	0.5554	-11.616654	0.000325	3.251006	0.550735	0.006500
  58	2.8500e-02	0.5663	-11.599122	0.000175	1.753832	0.297107	0.003507
  59	2.9000e-02	0.5760	-11.564912	0.000342	3.422112	0.579721	0.006842
  60	2.9500e-02	0.5839	-11.527708	0.000372	3.721547	0.630447	0.007441
  61	3.0000e-02	0.5964	-11.505044	0.000227	2.267149	0.384065	0.004533
  62	3.0500e-02	0.6063	-11.463992	0.000411	4.106534	0.695666	0.008210
  63	3.1000e-02	0.6156	-11.443894	0.000201	2.010491	0.340586	0.004020
  64	3.1500e-02	0.6271	-11.436624	0.000073	0.727199	0.123191	0.001454
  65	3.2000e-02	0.6372	-11.378039	0.000586	5.860366	0.992773	0.011717
  66	3.2500e-02	0.6464	-11.357513	0.000205	2.053267	0.347833	0.004105
  67	3.3000e-02	0.6537	-11.326297	0.000312	3.122677	0.528996	0.006243
  68	3.3500e-02	0.6676	-11.299784	0.000265	2.652137	0.449284	0.005303
  69	3.4000e-02	0.6752	-11.281396	0.000184	1.839385	0.311600	0.003678
  70	3.4500e-02	0.6852	-11.233930	0.000475	4.748180	0.804363	0.009493
  71	3.5000e-02	0.6961	-11.215542	0.000184	1.839385	0.311600	0.003678
  72	3.5500e-02	0.7089	-11.182615	0.000329	3.293783	0.557982	0.006585
  73	3.6000e-02	0.7151	-11.171924	0.000107	1.069410	0.181163	0.002138
  74	3.6500e-02	0.7237	-11.121892	0.000500	5.004839	0.847843	0.010006
  75	3.7000e-02	0.7357	-11.125313	-0.000034	-0.342211	-0.057972	-0.000684
  76	3.7500e-02	0.7452	-11.082123	0.000432	4.320416	0.731898	0.008638
  77	3.8000e-02	0.7561	-11.045775	0.000364	3.635994	0.615954	0.007270
  78	3.8500e-02	0.7658	-11.006861	0.000389	3.892652	0.659433	0.007783
  79	3.9000e-02	0.7760	-10.986762	0.000201	2.010491	0.340586	0.004020
  80	3.9500e-02	0.7881	-10.960677	0.000261	2.609360	0.442038	0.005217
  81	4.0000e-02	0.7996	-10.931171	0.000295	2.951571	0.500010	0.005901
  82	4.0500e-02	0.8057	-10.899527	0.000317	3.165453	0.536242	0.006329
  83	4.1000e-02	0.8169	-10.872586	0.000269	2.694913	0.456531	0.005388
  84	4.1500e-02	0.8253	-10.853771	0.000188	1.882161	0.318847	0.003763
  85	4.2000e-02	0.8369	-10.818706	0.000351	3.507665	0.594214	0.007013
  86	4.2500e-02	0.8482	-10.781502	0.000372	3.721547	0.630447	0.007441
  87	4.3000e-02	0.8573	-10.754989	0.000265	2.652137	0.449284	0.005303
  88	4.3500e-02	0.8660	-10.749430	0.000056	0.556093	0.094205	0.001112
  89	4.4000e-02	0.8764	-10.713937	0.000355	3.550441	0.601461	0.007099
  90	4.4500e-02	0.8881	-10.683576	0.000304	3.037124	0.514503	0.006072
  91	4.5000e-02	0.8970	-10.644662	0.000389	3.892652	0.659433	0.007783
  92	4.5500e-02	0.9056	-10.624136	0.000205	2.053267	0.347833	0.004105
  93	4.6000e-02	0.9145	-10.579663	0.000445	4.448745	0.753638	0.008895
  94	4.6500e-02	0.9257	-10.563413	0.000163	1.625503	0.275368	0.003250
  95	4.7000e-02	0.9359	-10.532624	0.000308	3.079901	0.521749	0.006158
  96	4.7500e-02	0.9470	-10.506539	0.000261	2.609360	0.442038	0.005217
  97	4.8000e-02	0.9540	-10.478316	0.000282	2.823242	0.478270	0.005645
  98	4.8500e-02	0.9665	-10.463349	0.000150	1.497174	0.253628	0.002993
  99	4.9000e-02	0.9745	-10.416310	0.000471	4.705404	0.797117	0.009408
 100	4.9500e-02	0.9885	-10.399633	0.000167	1.668280	0.282614	0.003335
 101	5.0000e-02	0.9985	-10.366278	0.000334	3.336559	0.565228	0.006671
 102	5.0500e-02	1.0083	-10.341903	0.000244	2.438255	0.413052	0.004875
 103	5.1000e-02	1.0170	-10.314535	0.000274	2.737689	0.463777	0.005474
 104	5.1500e-02	1.0262	-10.276477	0.000381	3.807099	0.644940	0.007612
 105	5.2000e-02	1.0388	-10.255951	0.000205	2.053267	0.347833	0.004105
 106	5.2500e-02	1.0477	-10.224307	0.000317	3.165453	0.536242	0.006329
 107	5.3000e-02	1.0574	-10.205491	0.000188	1.882161	0.318847	0.003763
 108	5.3500e-02	1.0664	-10.171709	0.000338	3.379335	0.572475	0.006756
 109	5.4000e-02	1.0772	-10.146479	0.000252	2.523807	0.427545	0.005046
 110	5.4500e-02	1.0870	-10.102433	0.000441	4.405969	0.746391	0.008809
 111	5.5000e-02	1.0974	-10.086611	0.000158	1.582727	0.268121	0.003164
 112	5.5500e-02	1.1073	-10.043849	0.000428	4.277640	0.724652	0.008553
 113	5.6000e-02	1.1139	-10.026744	0.000171	1.711056	0.289861	0.003421
 114	5.6500e-02	1.1267	-9.996810	0.000299	2.994348	0.507256	0.005987
 115	5.7000e-02	1.1335	-9.959179	0.000376	3.764323	0.637694	0.007526
 116	5.7500e-02	1.1469	-9.921548	0.000376	3.764323	0.637694	0.007526
 117	5.8000e-02	1.1553	-9.909574	0.000120	1.197739	0.202903	0.002395
 118	5.8500e-02	1.1652	-9.886055	0.000235	2.352702	0.398558	0.004704
 119	5.9000e-02	1.1771	-9.850990	0.000351	3.507665	0.594214	0.007013
 120	5.9500e-02	1.1836	-9.824904	0.000261	2.609360	0.442038	0.005217
 121	6.0000e-02	1.1960	-9.793688	0.000312	3.122677	0.528996	0.006243
 122	6.0500e-02	1.2074	-9.756912	0.000368	3.678770	0.623201	0.007355
 123	6.1000e-02	1.2187	-9.735103	0.000218	2.181596	0.369572	0.004362
