»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 19:5:33
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 07:04:55 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0048	-19.394801	0.000282	2.824415	0.478469	0.000028
   2	9.9500e-02	0.0066	-19.366694	0.000282	2.824415	0.478469	0.000028
   3	1.9900e-01	0.0150	-19.338180	0.000287	2.865349	0.485403	0.000029
   4	2.9850e-01	0.0243	-19.304778	0.000336	3.356551	0.568615	0.000034
   5	3.9800e-01	0.0343	-19.275042	0.000299	2.988149	0.506206	0.000030
   6	4.9750e-01	0.0436	-19.239196	0.000360	3.602153	0.610221	0.000036
   7	5.9700e-01	0.0531	-19.207423	0.000319	3.192817	0.540878	0.000032
   8	6.9650e-01	0.0644	-19.176873	0.000307	3.070017	0.520075	0.000031
   9	7.9600e-01	0.0729	-19.142249	0.000348	3.479352	0.589418	0.000035
  10	8.9550e-01	0.0853	-19.112920	0.000295	2.947216	0.499272	0.000029
  11	9.9500e-01	0.0970	-19.076259	0.000368	3.684020	0.624090	0.000037
  12	1.0945e+00	0.1043	-19.049374	0.000270	2.701615	0.457666	0.000027
  13	1.1940e+00	0.1158	-19.017194	0.000323	3.233751	0.547812	0.000032
  14	1.2935e+00	0.1257	-18.976867	0.000405	4.052422	0.686499	0.000041
  15	1.3930e+00	0.1346	-18.947539	0.000295	2.947216	0.499272	0.000029
  16	1.4925e+00	0.1450	-18.912915	0.000348	3.479352	0.589418	0.000035
  17	1.5920e+00	0.1567	-18.876254	0.000368	3.684020	0.624090	0.000037
  18	1.6915e+00	0.1629	-18.843666	0.000327	3.274684	0.554747	0.000033
  19	1.7910e+00	0.1755	-18.812301	0.000315	3.151884	0.533944	0.000032
  20	1.8905e+00	0.1821	-18.778084	0.000344	3.438419	0.582484	0.000034
  21	1.9900e+00	0.1951	-18.746312	0.000319	3.192817	0.540878	0.000032
  22	2.0895e+00	0.2044	-18.712909	0.000336	3.356551	0.568615	0.000034
  23	2.1890e+00	0.2151	-18.680729	0.000323	3.233751	0.547812	0.000032
  24	2.2885e+00	0.2246	-18.649364	0.000315	3.151884	0.533944	0.000032
  25	2.3880e+00	0.2351	-18.614740	0.000348	3.479352	0.589418	0.000035
  26	2.4875e+00	0.2450	-18.580930	0.000340	3.397485	0.575550	0.000034
