»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 11:17:32
Configured:	06/27/25 10:20:27 AM
Executed:	06/27/25 11:16:23 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1242
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1537	-9.549970	0.000378	3.778187	0.640042	0.746376
   2	1.0000e-04	0.3566	-8.803594	0.000378	3.778187	0.640042	0.746376
   3	2.0000e-04	0.5475	-8.031732	0.000391	3.907198	0.661897	0.771862
   4	3.0000e-04	0.7681	-7.911584	0.000061	0.608196	0.103031	0.120148
   5	4.0000e-04	0.9491	-7.441913	0.000238	2.377493	0.402758	0.469671
   6	5.0000e-04	1.1516	-6.757432	0.000346	3.464874	0.586966	0.684481
   7	6.0000e-04	1.3679	-6.382424	0.000190	1.898309	0.321582	0.375008
   8	7.0000e-04	1.5491	-5.971007	0.000208	2.082610	0.352804	0.411417
   9	8.0000e-04	1.7535	-5.519540	0.000229	2.285342	0.387147	0.451466
  10	9.0000e-04	1.9614	-5.002538	0.000262	2.617086	0.443346	0.517002
  11	1.0000e-03	2.1567	-4.572917	0.000217	2.174761	0.368415	0.429621
  12	1.1000e-03	2.3569	-4.172423	0.000203	2.027320	0.343437	0.400494
  13	1.2000e-03	2.5607	-3.691830	0.000243	2.432784	0.412125	0.480593
  14	1.3000e-03	2.7512	-3.265849	0.000216	2.156331	0.365292	0.425980
  15	1.4000e-03	2.9590	-2.967299	0.000151	1.511275	0.256017	0.298550
  16	1.5000e-03	3.1549	-2.413889	0.000280	2.801387	0.474568	0.553410
  17	1.6000e-03	3.3557	-2.064366	0.000177	1.769297	0.299727	0.349522
  18	1.7000e-03	3.5571	-1.707562	0.000181	1.806158	0.305971	0.356804
  19	1.8000e-03	3.7607	-1.267018	0.000223	2.230052	0.377781	0.440544
  20	1.9000e-03	3.9545	-0.830116	0.000221	2.211622	0.374659	0.436903
  21	2.0000e-03	4.1592	-0.502438	0.000166	1.658716	0.280994	0.327677
  22	2.1000e-03	4.3491	-0.061895	0.000223	2.230052	0.377781	0.440544
  23	2.2000e-03	4.5615	0.302191	0.000184	1.843018	0.312216	0.364086
  24	2.3000e-03	4.7546	0.669918	0.000186	1.861448	0.315338	0.367727
  25	2.4000e-03	4.9557	1.041285	0.000188	1.879878	0.318460	0.371367
  26	2.5000e-03	5.1675	1.449061	0.000206	2.064180	0.349682	0.407776
  27	2.6000e-03	5.3543	1.827711	0.000192	1.916739	0.324704	0.378649
  28	2.7000e-03	5.5545	2.169951	0.000173	1.732437	0.293483	0.342241
  29	2.8000e-03	5.7584	2.508551	0.000171	1.714007	0.290361	0.338600
  30	2.9000e-03	5.9573	2.858073	0.000177	1.769297	0.299727	0.349522
  31	3.0000e-03	6.1539	3.211236	0.000179	1.787727	0.302849	0.353163
  32	3.1000e-03	6.3623	3.600808	0.000197	1.972029	0.334071	0.389572
  33	3.2000e-03	6.5536	3.913922	0.000158	1.584996	0.268506	0.313114
  34	3.3000e-03	6.7566	4.179705	0.000135	1.345403	0.227917	0.265783
  35	3.4000e-03	6.9540	4.602044	0.000214	2.137901	0.362170	0.422339
  36	3.5000e-03	7.1573	4.922440	0.000162	1.621856	0.274750	0.320395
  37	3.6000e-03	7.3557	5.213708	0.000147	1.474414	0.249773	0.291269
  38	3.7000e-03	7.5595	5.606921	0.000199	1.990459	0.337193	0.393213
  39	3.8000e-03	7.7518	5.887267	0.000142	1.419124	0.240406	0.280346
  40	3.9000e-03	7.9578	6.207662	0.000162	1.621856	0.274750	0.320395
  41	4.0000e-03	8.1564	6.589952	0.000194	1.935169	0.327826	0.382290
